# Long-range Heisenberg model
# L = 18, J = 1.0, Delta = 0.50, Alpha = 2.0
# Integrated spin conductivity I(omega)
# omega, I(omega)

0.0000000000000000 1.42349e-05
9.99999999999999955E-007 1.58726e-05
1.99999999999999991E-006 2.21362e-05
3.00000000000000008E-006 3.31191e-05
3.99999999999999982E-006 3.83426e-05
5.00000000000000041E-006 3.92612e-05
6.00000000000000015E-006 4.64144e-05
6.99999999999999989E-006 5.28874e-05
7.99999999999999964E-006 6.69782e-05
9.00000000000000023E-006 7.46829e-05
1.00000000000000008E-005 7.71509e-05
1.09999999999999997E-005 8.13251e-05
1.20000000000000003E-005 8.3183e-05
1.29999999999999992E-005 8.56026e-05
1.39999999999999998E-005 9.00816e-05
1.50000000000000004E-005 9.03569e-05
1.59999999999999993E-005 0.000115148
1.69999999999999999E-005 0.000127784
1.80000000000000005E-005 0.000135815
1.90000000000000010E-005 0.000146789
2.00000000000000016E-005 0.000191448
2.09999999999999988E-005 0.000194878
2.19999999999999994E-005 0.000211144
2.30000000000000000E-005 0.000219957
2.40000000000000006E-005 0.00022045
2.50000000000000012E-005 0.000232069
2.59999999999999984E-005 0.000247923
2.69999999999999990E-005 0.000258532
2.79999999999999996E-005 0.000264525
2.90000000000000002E-005 0.000269053
3.00000000000000008E-005 0.000275943
3.10000000000000014E-005 0.000280186
3.19999999999999986E-005 0.00028339
3.30000000000000025E-005 0.000293379
3.39999999999999997E-005 0.000324636
3.49999999999999969E-005 0.000329063
3.60000000000000009E-005 0.000333684
3.69999999999999981E-005 0.000337216
3.80000000000000021E-005 0.000338651
3.89999999999999993E-005 0.000351748
4.00000000000000033E-005 0.000359964
4.10000000000000005E-005 0.000364985
4.19999999999999977E-005 0.000373818
4.30000000000000017E-005 0.000385772
4.39999999999999989E-005 0.000395976
4.50000000000000028E-005 0.000406835
4.60000000000000000E-005 0.000421277
4.69999999999999972E-005 0.000431069
4.80000000000000012E-005 0.000441889
4.89999999999999984E-005 0.000447956
5.00000000000000024E-005 0.000450354
5.09999999999999996E-005 0.000456563
5.19999999999999968E-005 0.000461167
5.30000000000000008E-005 0.00046487
5.39999999999999980E-005 0.000467736
5.50000000000000020E-005 0.000485956
5.59999999999999992E-005 0.000488656
5.70000000000000031E-005 0.000490811
5.80000000000000003E-005 0.000493747
5.89999999999999975E-005 0.000504779
6.00000000000000015E-005 0.000513959
6.09999999999999987E-005 0.000516854
6.20000000000000027E-005 0.000519556
6.29999999999999999E-005 0.000527723
6.39999999999999971E-005 0.0005629
6.49999999999999943E-005 0.000567729
6.60000000000000051E-005 0.000576607
6.70000000000000023E-005 0.000579426
6.79999999999999995E-005 0.000585575
6.89999999999999967E-005 0.000591414
6.99999999999999939E-005 0.000591883
7.10000000000000046E-005 0.000596776
7.20000000000000018E-005 0.000613866
7.29999999999999990E-005 0.000616013
7.39999999999999962E-005 0.000617488
7.49999999999999934E-005 0.000623687
7.60000000000000042E-005 0.000649345
7.70000000000000014E-005 0.000650274
7.79999999999999986E-005 0.000656033
7.89999999999999958E-005 0.000660713
8.00000000000000065E-005 0.000673481
8.10000000000000037E-005 0.000684896
8.20000000000000009E-005 0.000693086
8.29999999999999981E-005 0.00069508
8.39999999999999954E-005 0.000700572
8.50000000000000061E-005 0.000704685
8.60000000000000033E-005 0.000760096
8.70000000000000005E-005 0.000761911
8.79999999999999977E-005 0.000767636
8.89999999999999949E-005 0.000771415
9.00000000000000057E-005 0.000794313
9.10000000000000029E-005 0.000808807
9.20000000000000001E-005 0.00081034
9.29999999999999973E-005 0.000811984
9.39999999999999945E-005 0.000831973
9.50000000000000052E-005 0.000843251
9.60000000000000024E-005 0.000848689
9.69999999999999996E-005 0.000853491
9.79999999999999968E-005 0.000867991
9.89999999999999940E-005 0.000899443
1.00000000000000005E-004 0.000907918
1.10000000000000004E-004 0.000982238
1.20000000000000003E-004 0.00106145
1.29999999999999989E-004 0.00120097
1.39999999999999988E-004 0.00126094
1.49999999999999987E-004 0.00137422
1.60000000000000013E-004 0.00142451
1.70000000000000012E-004 0.00149894
1.80000000000000011E-004 0.00168368
1.90000000000000010E-004 0.00174453
2.00000000000000010E-004 0.00186517
2.10000000000000009E-004 0.00202348
2.20000000000000008E-004 0.00211765
2.30000000000000007E-004 0.00225679
2.40000000000000006E-004 0.00233518
2.50000000000000005E-004 0.0024145
2.59999999999999977E-004 0.00262043
2.70000000000000003E-004 0.00268871
2.79999999999999975E-004 0.00275682
2.90000000000000002E-004 0.00283891
2.99999999999999974E-004 0.00290397
3.10000000000000000E-004 0.00299936
3.20000000000000026E-004 0.00307162
3.29999999999999998E-004 0.00321553
3.40000000000000024E-004 0.00328377
3.49999999999999996E-004 0.00335953
3.60000000000000023E-004 0.00344282
3.69999999999999995E-004 0.00352784
3.80000000000000021E-004 0.00358991
3.89999999999999993E-004 0.00372846
4.00000000000000019E-004 0.00386993
4.09999999999999991E-004 0.00394381
4.20000000000000017E-004 0.00459304
4.29999999999999989E-004 0.00472524
4.40000000000000016E-004 0.00480638
4.49999999999999988E-004 0.00486402
4.60000000000000014E-004 0.00492804
4.69999999999999986E-004 0.00499489
4.80000000000000012E-004 0.00512271
4.89999999999999984E-004 0.00524856
5.00000000000000010E-004 0.00535331
5.10000000000000037E-004 0.00541365
5.19999999999999954E-004 0.00549335
5.29999999999999981E-004 0.0055676
5.40000000000000007E-004 0.00566033
5.50000000000000033E-004 0.00574403
5.59999999999999951E-004 0.0058932
5.69999999999999977E-004 0.00597908
5.80000000000000003E-004 0.00606465
5.90000000000000030E-004 0.00626849
5.99999999999999947E-004 0.00635933
6.09999999999999974E-004 0.00646843
6.20000000000000000E-004 0.00660194
6.30000000000000026E-004 0.0067286
6.40000000000000052E-004 0.00688285
6.49999999999999970E-004 0.00699521
6.59999999999999996E-004 0.00708297
6.70000000000000023E-004 0.00715988
6.80000000000000049E-004 0.00727313
6.89999999999999967E-004 0.00740206
6.99999999999999993E-004 0.00752127
7.10000000000000019E-004 0.00759743
7.20000000000000045E-004 0.00767637
7.29999999999999963E-004 0.00775673
7.39999999999999989E-004 0.00785069
7.50000000000000016E-004 0.00796112
7.60000000000000042E-004 0.00804914
7.69999999999999960E-004 0.0082861
7.79999999999999986E-004 0.00843699
7.90000000000000012E-004 0.00861346
8.00000000000000038E-004 0.00873102
8.09999999999999956E-004 0.00891119
8.19999999999999982E-004 0.0089713
8.30000000000000009E-004 0.00908451
8.40000000000000035E-004 0.00925678
8.49999999999999953E-004 0.00931108
8.59999999999999979E-004 0.00939706
8.70000000000000005E-004 0.00952867
8.80000000000000031E-004 0.00961862
8.89999999999999949E-004 0.00967412
8.99999999999999975E-004 0.00987412
9.10000000000000002E-004 0.00994832
9.20000000000000028E-004 0.00999826
9.30000000000000054E-004 0.010144
9.39999999999999972E-004 0.0104453
9.49999999999999998E-004 0.0105401
9.60000000000000024E-004 0.010605
9.70000000000000051E-004 0.0107678
9.79999999999999968E-004 0.0109148
9.89999999999999995E-004 0.0109626
1.00000000000000002E-003 0.0110892
1.10000000000000007E-003 0.0122765
1.19999999999999989E-003 0.013437
1.29999999999999994E-003 0.0145316
1.39999999999999999E-003 0.0154538
1.50000000000000003E-003 0.0164871
1.60000000000000008E-003 0.0173827
