# Long-range Heisenberg model
# L = 20, J = 1.0, Delta = 0.50, Alpha = 12.0
# Integrated spin conductivity I(omega)
# omega, I(omega)

0.0000000000000000 0.0867927
9.99999999999999955E-007 0.154705
1.99999999999999991E-006 0.206462
3.00000000000000008E-006 0.243937
3.99999999999999982E-006 0.279783
5.00000000000000041E-006 0.307602
6.00000000000000015E-006 0.334632
6.99999999999999989E-006 0.357836
7.99999999999999964E-006 0.376772
9.00000000000000023E-006 0.39189
1.00000000000000008E-005 0.403774
1.09999999999999997E-005 0.415466
1.20000000000000003E-005 0.427107
1.29999999999999992E-005 0.438669
1.39999999999999998E-005 0.449093
1.50000000000000004E-005 0.458438
1.59999999999999993E-005 0.467419
1.69999999999999999E-005 0.474885
1.80000000000000005E-005 0.480837
1.90000000000000010E-005 0.486242
2.00000000000000016E-005 0.490878
2.09999999999999988E-005 0.495519
2.19999999999999994E-005 0.499313
2.30000000000000000E-005 0.503295
2.40000000000000006E-005 0.506825
2.50000000000000012E-005 0.510193
2.59999999999999984E-005 0.513222
2.69999999999999990E-005 0.516111
2.79999999999999996E-005 0.518917
2.90000000000000002E-005 0.521596
3.00000000000000008E-005 0.524132
3.10000000000000014E-005 0.52656
3.19999999999999986E-005 0.529107
3.30000000000000025E-005 0.531576
3.39999999999999997E-005 0.534069
3.49999999999999969E-005 0.536222
3.60000000000000009E-005 0.538163
3.69999999999999981E-005 0.540665
3.80000000000000021E-005 0.542746
3.89999999999999993E-005 0.544691
4.00000000000000033E-005 0.546484
4.10000000000000005E-005 0.548198
4.19999999999999977E-005 0.550131
4.30000000000000017E-005 0.551678
4.39999999999999989E-005 0.553161
4.50000000000000028E-005 0.554501
4.60000000000000000E-005 0.55567
4.69999999999999972E-005 0.556965
4.80000000000000012E-005 0.558014
4.89999999999999984E-005 0.55906
5.00000000000000024E-005 0.560065
5.09999999999999996E-005 0.561081
5.19999999999999968E-005 0.562061
5.30000000000000008E-005 0.562853
5.39999999999999980E-005 0.563693
5.50000000000000020E-005 0.564574
5.59999999999999992E-005 0.565231
5.70000000000000031E-005 0.566178
5.80000000000000003E-005 0.566913
5.89999999999999975E-005 0.56767
6.00000000000000015E-005 0.56841
6.09999999999999987E-005 0.569111
6.20000000000000027E-005 0.569849
6.29999999999999999E-005 0.570547
6.39999999999999971E-005 0.571095
6.49999999999999943E-005 0.571703
6.60000000000000051E-005 0.572295
6.70000000000000023E-005 0.572851
6.79999999999999995E-005 0.573336
6.89999999999999967E-005 0.573827
6.99999999999999939E-005 0.574369
7.10000000000000046E-005 0.574868
7.20000000000000018E-005 0.575332
7.29999999999999990E-005 0.575807
7.39999999999999962E-005 0.57619
7.49999999999999934E-005 0.5765
7.60000000000000042E-005 0.576841
7.70000000000000014E-005 0.577223
7.79999999999999986E-005 0.577584
7.89999999999999958E-005 0.577889
8.00000000000000065E-005 0.578173
8.10000000000000037E-005 0.578453
8.20000000000000009E-005 0.578719
8.29999999999999981E-005 0.578974
8.39999999999999954E-005 0.579236
8.50000000000000061E-005 0.579503
8.60000000000000033E-005 0.579694
8.70000000000000005E-005 0.57992
8.79999999999999977E-005 0.580093
8.89999999999999949E-005 0.580248
9.00000000000000057E-005 0.580357
9.10000000000000029E-005 0.580576
9.20000000000000001E-005 0.580697
9.29999999999999973E-005 0.580791
9.39999999999999945E-005 0.580923
9.50000000000000052E-005 0.580997
9.60000000000000024E-005 0.581109
9.69999999999999996E-005 0.581258
9.79999999999999968E-005 0.581309
9.89999999999999940E-005 0.581396
1.00000000000000005E-004 0.581494
1.10000000000000004E-004 0.581927
1.20000000000000003E-004 0.58227
1.29999999999999989E-004 0.582514
1.39999999999999988E-004 0.582791
1.49999999999999987E-004 0.583048
1.60000000000000013E-004 0.583255
1.70000000000000012E-004 0.583462
1.80000000000000011E-004 0.583667
1.90000000000000010E-004 0.583857
2.00000000000000010E-004 0.584003
2.10000000000000009E-004 0.584112
2.20000000000000008E-004 0.584225
2.30000000000000007E-004 0.584321
2.40000000000000006E-004 0.584406
2.50000000000000005E-004 0.584465
2.59999999999999977E-004 0.584514
2.70000000000000003E-004 0.584549
2.79999999999999975E-004 0.584577
2.90000000000000002E-004 0.584606
2.99999999999999974E-004 0.584634
3.10000000000000000E-004 0.584656
3.20000000000000026E-004 0.584678
3.29999999999999998E-004 0.584692
3.40000000000000024E-004 0.584699
3.49999999999999996E-004 0.584705
3.60000000000000023E-004 0.584715
3.69999999999999995E-004 0.584718
3.80000000000000021E-004 0.58472
3.89999999999999993E-004 0.584724
4.00000000000000019E-004 0.584728
4.09999999999999991E-004 0.584732
4.20000000000000017E-004 0.584734
4.29999999999999989E-004 0.584734
4.40000000000000016E-004 0.584736
4.49999999999999988E-004 0.584737
4.60000000000000014E-004 0.584738
4.69999999999999986E-004 0.584739
4.80000000000000012E-004 0.584739
4.89999999999999984E-004 0.58474
5.00000000000000010E-004 0.58474
5.10000000000000037E-004 0.58474
5.19999999999999954E-004 0.584741
5.29999999999999981E-004 0.584741
5.40000000000000007E-004 0.584741
5.50000000000000033E-004 0.584741
5.59999999999999951E-004 0.584741
5.69999999999999977E-004 0.584741
5.80000000000000003E-004 0.584741
5.90000000000000030E-004 0.584741
5.99999999999999947E-004 0.584742
6.09999999999999974E-004 0.584742
6.20000000000000000E-004 0.584742
6.30000000000000026E-004 0.584742
6.40000000000000052E-004 0.584742
6.49999999999999970E-004 0.584742
6.59999999999999996E-004 0.584742
6.70000000000000023E-004 0.584742
6.80000000000000049E-004 0.584742
6.89999999999999967E-004 0.584742
6.99999999999999993E-004 0.584742
7.10000000000000019E-004 0.584742
7.20000000000000045E-004 0.584742
7.29999999999999963E-004 0.584742
7.39999999999999989E-004 0.584742
7.50000000000000016E-004 0.584742
7.60000000000000042E-004 0.584742
7.69999999999999960E-004 0.584742
7.79999999999999986E-004 0.584743
7.90000000000000012E-004 0.584743
8.00000000000000038E-004 0.584743
8.09999999999999956E-004 0.584743
8.19999999999999982E-004 0.584743
8.30000000000000009E-004 0.584743
8.40000000000000035E-004 0.584743
8.49999999999999953E-004 0.584743
8.59999999999999979E-004 0.584743
8.70000000000000005E-004 0.584743
8.80000000000000031E-004 0.584743
8.89999999999999949E-004 0.584743
8.99999999999999975E-004 0.584743
9.10000000000000002E-004 0.584743
9.20000000000000028E-004 0.584743
9.30000000000000054E-004 0.584743
9.39999999999999972E-004 0.584743
9.49999999999999998E-004 0.584743
9.60000000000000024E-004 0.584743
9.70000000000000051E-004 0.584743
9.79999999999999968E-004 0.584743
9.89999999999999995E-004 0.584743
1.00000000000000002E-003 0.584743
1.10000000000000007E-003 0.584743
1.19999999999999989E-003 0.584744
1.29999999999999994E-003 0.584744
1.39999999999999999E-003 0.584744
1.50000000000000003E-003 0.584744
1.60000000000000008E-003 0.584744
1.69999999999999991E-003 0.584744
1.79999999999999995E-003 0.584744
1.90000000000000000E-003 0.584744
2.00000000000000004E-003 0.584744
2.09999999999999987E-003 0.584744
2.20000000000000013E-003 0.584745
2.29999999999999996E-003 0.584745
2.39999999999999979E-003 0.584745
2.50000000000000005E-003 0.584745
2.59999999999999988E-003 0.584745
2.70000000000000014E-003 0.584745
2.79999999999999997E-003 0.584745
2.89999999999999980E-003 0.584745
3.00000000000000006E-003 0.584745
3.09999999999999989E-003 0.584745
3.20000000000000015E-003 0.584745
3.29999999999999998E-003 0.584745
3.39999999999999981E-003 0.584745
3.50000000000000007E-003 0.584745
3.59999999999999990E-003 0.584745
3.70000000000000016E-003 0.584745
3.79999999999999999E-003 0.584745
3.89999999999999982E-003 0.584745
4.00000000000000008E-003 0.584745
4.10000000000000035E-003 0.584745
4.19999999999999974E-003 0.584745
4.30000000000000000E-003 0.584745
4.40000000000000027E-003 0.584745
4.49999999999999966E-003 0.584745
4.59999999999999992E-003 0.584745
4.70000000000000018E-003 0.584745
4.79999999999999958E-003 0.584745
4.89999999999999984E-003 0.584745
5.00000000000000010E-003 0.584745
5.10000000000000037E-003 0.584745
5.19999999999999976E-003 0.584745
5.30000000000000002E-003 0.584745
5.40000000000000029E-003 0.584745
5.49999999999999968E-003 0.584745
5.59999999999999994E-003 0.584745
5.70000000000000021E-003 0.584745
5.79999999999999960E-003 0.584745
5.89999999999999986E-003 0.584745
6.00000000000000012E-003 0.584745
6.10000000000000039E-003 0.584745
6.19999999999999978E-003 0.584745
6.30000000000000004E-003 0.584745
6.40000000000000031E-003 0.584745
6.49999999999999970E-003 0.584745
6.59999999999999996E-003 0.584745
6.70000000000000023E-003 0.584745
6.79999999999999962E-003 0.584745
6.89999999999999988E-003 0.584745
7.00000000000000015E-003 0.584746
7.10000000000000041E-003 0.584746
7.19999999999999980E-003 0.584746
7.30000000000000007E-003 0.584746
7.40000000000000033E-003 0.584746
7.49999999999999972E-003 0.584746
7.59999999999999998E-003 0.584746
7.70000000000000025E-003 0.584746
7.79999999999999964E-003 0.584746
7.90000000000000077E-003 0.584746
8.00000000000000017E-003 0.584746
8.09999999999999956E-003 0.584746
8.20000000000000069E-003 0.584746
8.30000000000000009E-003 0.584746
8.39999999999999948E-003 0.584746
8.50000000000000061E-003 0.584746
8.60000000000000001E-003 0.584746
8.69999999999999940E-003 0.584746
8.80000000000000053E-003 0.584746
8.89999999999999993E-003 0.584746
8.99999999999999932E-003 0.584746
9.10000000000000045E-003 0.584746
9.19999999999999984E-003 0.584746
9.29999999999999924E-003 0.584746
9.40000000000000037E-003 0.584746
9.49999999999999976E-003 0.584746
9.59999999999999916E-003 0.584746
