# Long-range Heisenberg model
# L = 14, J = 1.0, Delta = 0.50, Alpha = 2.0
# Integrated spin conductivity I(omega)
# omega, I(omega)

0.0000000000000000 2.99778e-26
9.99999999999999955E-007 2.99778e-26
1.99999999999999991E-006 2.99778e-26
3.00000000000000008E-006 2.99778e-26
3.99999999999999982E-006 2.99778e-26
5.00000000000000041E-006 2.99778e-26
6.00000000000000015E-006 2.99778e-26
6.99999999999999989E-006 2.99778e-26
7.99999999999999964E-006 2.99778e-26
9.00000000000000023E-006 2.99778e-26
1.00000000000000008E-005 2.99778e-26
1.09999999999999997E-005 2.99778e-26
1.20000000000000003E-005 2.99778e-26
1.29999999999999992E-005 2.99778e-26
1.39999999999999998E-005 2.99778e-26
1.50000000000000004E-005 2.99778e-26
1.59999999999999993E-005 2.99778e-26
1.69999999999999999E-005 2.99778e-26
1.80000000000000005E-005 2.99778e-26
1.90000000000000010E-005 2.99778e-26
2.00000000000000016E-005 2.99778e-26
2.09999999999999988E-005 2.99778e-26
2.19999999999999994E-005 2.99778e-26
2.30000000000000000E-005 2.99778e-26
2.40000000000000006E-005 2.99778e-26
2.50000000000000012E-005 2.99778e-26
2.59999999999999984E-005 2.99778e-26
2.69999999999999990E-005 2.99778e-26
2.79999999999999996E-005 2.99778e-26
2.90000000000000002E-005 2.99778e-26
3.00000000000000008E-005 2.99778e-26
3.10000000000000014E-005 2.99778e-26
3.19999999999999986E-005 2.99778e-26
3.30000000000000025E-005 2.99778e-26
3.39999999999999997E-005 2.99778e-26
3.49999999999999969E-005 2.99778e-26
3.60000000000000009E-005 2.99778e-26
3.69999999999999981E-005 2.99778e-26
3.80000000000000021E-005 2.99778e-26
3.89999999999999993E-005 2.99778e-26
4.00000000000000033E-005 2.99778e-26
4.10000000000000005E-005 2.99778e-26
4.19999999999999977E-005 2.99778e-26
4.30000000000000017E-005 2.99778e-26
4.39999999999999989E-005 2.99778e-26
4.50000000000000028E-005 2.99778e-26
4.60000000000000000E-005 2.99778e-26
4.69999999999999972E-005 2.99778e-26
4.80000000000000012E-005 2.99778e-26
4.89999999999999984E-005 2.99778e-26
5.00000000000000024E-005 2.99778e-26
5.09999999999999996E-005 2.99778e-26
5.19999999999999968E-005 2.99778e-26
5.30000000000000008E-005 2.99778e-26
5.39999999999999980E-005 2.99778e-26
5.50000000000000020E-005 2.99778e-26
5.59999999999999992E-005 2.99778e-26
5.70000000000000031E-005 2.99778e-26
5.80000000000000003E-005 2.99778e-26
5.89999999999999975E-005 2.99778e-26
6.00000000000000015E-005 2.99778e-26
6.09999999999999987E-005 2.99778e-26
6.20000000000000027E-005 2.99778e-26
6.29999999999999999E-005 2.99778e-26
6.39999999999999971E-005 2.99778e-26
6.49999999999999943E-005 2.99778e-26
6.60000000000000051E-005 2.99778e-26
6.70000000000000023E-005 2.99778e-26
6.79999999999999995E-005 2.99778e-26
6.89999999999999967E-005 2.99778e-26
6.99999999999999939E-005 5.08115e-05
7.10000000000000046E-005 7.77927e-05
7.20000000000000018E-005 7.77927e-05
7.29999999999999990E-005 7.77927e-05
7.39999999999999962E-005 7.77927e-05
7.49999999999999934E-005 7.77927e-05
7.60000000000000042E-005 7.77927e-05
7.70000000000000014E-005 7.77927e-05
7.79999999999999986E-005 7.77927e-05
7.89999999999999958E-005 7.77927e-05
8.00000000000000065E-005 7.77927e-05
8.10000000000000037E-005 7.77927e-05
8.20000000000000009E-005 7.77927e-05
8.29999999999999981E-005 7.77927e-05
8.39999999999999954E-005 7.77927e-05
8.50000000000000061E-005 7.77927e-05
8.60000000000000033E-005 7.77927e-05
8.70000000000000005E-005 7.77927e-05
8.79999999999999977E-005 9.22804e-05
8.89999999999999949E-005 9.22804e-05
9.00000000000000057E-005 9.22804e-05
9.10000000000000029E-005 9.22804e-05
9.20000000000000001E-005 9.22804e-05
9.29999999999999973E-005 9.22804e-05
9.39999999999999945E-005 9.22804e-05
9.50000000000000052E-005 9.22804e-05
9.60000000000000024E-005 9.22804e-05
9.69999999999999996E-005 9.22804e-05
9.79999999999999968E-005 9.22804e-05
9.89999999999999940E-005 9.22804e-05
1.00000000000000005E-004 9.22804e-05
1.10000000000000004E-004 9.22804e-05
1.20000000000000003E-004 9.22804e-05
1.29999999999999989E-004 0.00108195
1.39999999999999988E-004 0.00108195
1.49999999999999987E-004 0.00108195
1.60000000000000013E-004 0.00128158
1.70000000000000012E-004 0.00128158
1.80000000000000011E-004 0.00128181
1.90000000000000010E-004 0.00128181
2.00000000000000010E-004 0.00129135
2.10000000000000009E-004 0.00130457
2.20000000000000008E-004 0.00130457
2.30000000000000007E-004 0.00137208
2.40000000000000006E-004 0.00151902
2.50000000000000005E-004 0.00151902
2.59999999999999977E-004 0.00157497
2.70000000000000003E-004 0.00157497
2.79999999999999975E-004 0.00213835
2.90000000000000002E-004 0.00213835
2.99999999999999974E-004 0.00213835
3.10000000000000000E-004 0.00217335
3.20000000000000026E-004 0.00217335
3.29999999999999998E-004 0.002185
3.40000000000000024E-004 0.0022001
3.49999999999999996E-004 0.0022001
3.60000000000000023E-004 0.0022001
3.69999999999999995E-004 0.00333842
3.80000000000000021E-004 0.00333842
3.89999999999999993E-004 0.00344004
4.00000000000000019E-004 0.00344004
4.09999999999999991E-004 0.00344004
4.20000000000000017E-004 0.00344004
4.29999999999999989E-004 0.00344004
4.40000000000000016E-004 0.00344004
4.49999999999999988E-004 0.00344004
4.60000000000000014E-004 0.00344004
4.69999999999999986E-004 0.00344004
4.80000000000000012E-004 0.00344004
4.89999999999999984E-004 0.00344004
5.00000000000000010E-004 0.00344004
5.10000000000000037E-004 0.00344004
5.19999999999999954E-004 0.00344004
5.29999999999999981E-004 0.00344004
5.40000000000000007E-004 0.00344004
5.50000000000000033E-004 0.00344004
5.59999999999999951E-004 0.00344004
5.69999999999999977E-004 0.0034407
5.80000000000000003E-004 0.0034407
5.90000000000000030E-004 0.00386845
5.99999999999999947E-004 0.00386845
6.09999999999999974E-004 0.00386845
6.20000000000000000E-004 0.0040764
6.30000000000000026E-004 0.0041465
6.40000000000000052E-004 0.00429045
6.49999999999999970E-004 0.00556501
6.59999999999999996E-004 0.0056593
6.70000000000000023E-004 0.0056593
6.80000000000000049E-004 0.0056593
6.89999999999999967E-004 0.00613377
6.99999999999999993E-004 0.00613377
7.10000000000000019E-004 0.00613377
7.20000000000000045E-004 0.00613377
7.29999999999999963E-004 0.00613377
7.39999999999999989E-004 0.00613377
7.50000000000000016E-004 0.00614432
7.60000000000000042E-004 0.00614432
7.69999999999999960E-004 0.00615526
7.79999999999999986E-004 0.00615643
7.90000000000000012E-004 0.00615643
8.00000000000000038E-004 0.00615768
8.09999999999999956E-004 0.00615768
8.19999999999999982E-004 0.00621022
8.30000000000000009E-004 0.0062247
8.40000000000000035E-004 0.0062247
8.49999999999999953E-004 0.0062247
8.59999999999999979E-004 0.0062247
8.70000000000000005E-004 0.0063907
8.80000000000000031E-004 0.00649035
8.89999999999999949E-004 0.00649035
8.99999999999999975E-004 0.00649035
9.10000000000000002E-004 0.00649035
9.20000000000000028E-004 0.00649035
9.30000000000000054E-004 0.00823238
9.39999999999999972E-004 0.00827964
9.49999999999999998E-004 0.00827964
9.60000000000000024E-004 0.00827964
9.70000000000000051E-004 0.00828256
9.79999999999999968E-004 0.00832663
9.89999999999999995E-004 0.00892658
1.00000000000000002E-003 0.00896768
1.10000000000000007E-003 0.00918957
1.19999999999999989E-003 0.0106988
1.29999999999999994E-003 0.0113455
1.39999999999999999E-003 0.0114818
1.50000000000000003E-003 0.0117077
1.60000000000000008E-003 0.0120599
1.69999999999999991E-003 0.0120696
1.79999999999999995E-003 0.0121281
1.90000000000000000E-003 0.0154253
2.00000000000000004E-003 0.0207913
2.09999999999999987E-003 0.0240756
2.20000000000000013E-003 0.0257813
2.29999999999999996E-003 0.0266684
2.39999999999999979E-003 0.0294841
2.50000000000000005E-003 0.0300493
2.59999999999999988E-003 0.0338809
2.70000000000000014E-003 0.0340995
2.79999999999999997E-003 0.0344676
2.89999999999999980E-003 0.0376144
3.00000000000000006E-003 0.03766
3.09999999999999989E-003 0.0376858
3.20000000000000015E-003 0.0382351
3.29999999999999998E-003 0.0385465
3.39999999999999981E-003 0.0385901
3.50000000000000007E-003 0.038784
3.59999999999999990E-003 0.0400011
3.70000000000000016E-003 0.04006
3.79999999999999999E-003 0.0413398
3.89999999999999982E-003 0.0414281
4.00000000000000008E-003 0.0419133
4.10000000000000035E-003 0.0423538
4.19999999999999974E-003 0.0426837
4.30000000000000000E-003 0.0434137
4.40000000000000027E-003 0.0439649
4.49999999999999966E-003 0.0441979
4.59999999999999992E-003 0.0454035
4.70000000000000018E-003 0.045418
4.79999999999999958E-003 0.0459006
4.89999999999999984E-003 0.0464729
5.00000000000000010E-003 0.0466506
5.10000000000000037E-003 0.046813
5.19999999999999976E-003 0.0475858
5.30000000000000002E-003 0.0496658
5.40000000000000029E-003 0.0505378
5.49999999999999968E-003 0.0508178
5.59999999999999994E-003 0.0509586
5.70000000000000021E-003 0.0519016
5.79999999999999960E-003 0.0587833
5.89999999999999986E-003 0.0605776
6.00000000000000012E-003 0.0625619
6.10000000000000039E-003 0.0639971
6.19999999999999978E-003 0.0644138
6.30000000000000004E-003 0.0648397
6.40000000000000031E-003 0.0648936
6.49999999999999970E-003 0.0655056
6.59999999999999996E-003 0.0659565
6.70000000000000023E-003 0.0660676
6.79999999999999962E-003 0.0664047
6.89999999999999988E-003 0.0664955
7.00000000000000015E-003 0.0675049
7.10000000000000041E-003 0.0689194
7.19999999999999980E-003 0.0689211
7.30000000000000007E-003 0.0702079
7.40000000000000033E-003 0.0738451
7.49999999999999972E-003 0.0750983
7.59999999999999998E-003 0.075128
7.70000000000000025E-003 0.0758542
7.79999999999999964E-003 0.0762396
7.90000000000000077E-003 0.0764906
8.00000000000000017E-003 0.076832
8.09999999999999956E-003 0.0768639
8.20000000000000069E-003 0.0787536
8.30000000000000009E-003 0.0791377
8.39999999999999948E-003 0.0803877
8.50000000000000061E-003 0.080635
8.60000000000000001E-003 0.081307
8.69999999999999940E-003 0.0827862
8.80000000000000053E-003 0.0828791
8.89999999999999993E-003 0.0833592
8.99999999999999932E-003 0.0873988
9.10000000000000045E-003 0.088398
9.19999999999999984E-003 0.0891161
9.29999999999999924E-003 0.0908852
9.40000000000000037E-003 0.0937574
9.49999999999999976E-003 0.0937595
9.59999999999999916E-003 0.0965588
9.70000000000000029E-003 0.0969575
9.79999999999999968E-003 0.0982165
9.90000000000000081E-003 0.0983485
1.00000000000000002E-002 0.0984321
1.09999999999999994E-002 0.105861
1.20000000000000002E-002 0.115818
1.29999999999999994E-002 0.122692
1.40000000000000003E-002 0.128891
1.49999999999999994E-002 0.135836
1.60000000000000003E-002 0.146714
1.70000000000000012E-002 0.155147
1.79999999999999986E-002 0.170638
1.89999999999999995E-002 0.177088
2.00000000000000004E-002 0.18579
2.10000000000000013E-002 0.198987
2.19999999999999987E-002 0.208634
2.29999999999999996E-002 0.216546
2.40000000000000005E-002 0.227182
2.50000000000000014E-002 0.23416
2.59999999999999988E-002 0.244746
2.69999999999999997E-002 0.254533
2.80000000000000006E-002 0.267573
2.90000000000000015E-002 0.272798
2.99999999999999989E-002 0.281043
3.09999999999999998E-002 0.290189
3.20000000000000007E-002 0.295201
3.30000000000000016E-002 0.303914
3.40000000000000024E-002 0.309595
3.50000000000000033E-002 0.313691
3.59999999999999973E-002 0.317938
3.69999999999999982E-002 0.322599
3.79999999999999991E-002 0.327835
3.89999999999999999E-002 0.337024
4.00000000000000008E-002 0.341775
4.10000000000000017E-002 0.349102
4.20000000000000026E-002 0.353549
4.29999999999999966E-002 0.358191
4.39999999999999974E-002 0.365137
4.49999999999999983E-002 0.369418
4.59999999999999992E-002 0.375455
4.70000000000000001E-002 0.381367
4.80000000000000010E-002 0.386694
4.90000000000000019E-002 0.395202
5.00000000000000028E-002 0.399771
5.09999999999999967E-002 0.407102
5.19999999999999976E-002 0.414271
5.29999999999999985E-002 0.420319
5.39999999999999994E-002 0.425985
5.50000000000000003E-002 0.428893
5.60000000000000012E-002 0.432709
