# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2, W=1.5
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e2
1.010000000000000000e+02 6.110276937720522383e+00
2.010000000000000000e+02 7.745307422512468953e+00
3.010000000000000000e+02 8.563656574066371263e+00
4.010000000000000000e+02 8.928020666885435830e+00
5.010000000000000000e+02 9.252335395458732847e+00
6.010000000000000000e+02 9.467156941182045315e+00
7.010000000000000000e+02 9.615568655920986529e+00
8.010000000000000000e+02 9.686759600316758423e+00
9.010000000000000000e+02 9.759157946124735972e+00
1.001000000000000000e+03 9.822388615497523290e+00
1.101000000000000000e+03 9.890427293971944422e+00
1.201000000000000000e+03 9.928847710399322679e+00
1.301000000000000000e+03 9.949447828641973857e+00
1.401000000000000000e+03 9.983861657512610677e+00
1.501000000000000000e+03 1.000551164854505259e+01
1.601000000000000000e+03 1.003265723985102298e+01
1.701000000000000000e+03 1.003840035053734603e+01
1.801000000000000000e+03 1.006614247606559154e+01
1.901000000000000000e+03 1.007715175420116971e+01
2.001000000000000000e+03 1.011172902052940614e+01
2.101000000000000000e+03 1.013812324549015820e+01
2.201000000000000000e+03 1.015185847529221341e+01
2.301000000000000000e+03 1.016186907788791238e+01
2.401000000000000000e+03 1.018549724386016209e+01
2.501000000000000000e+03 1.020200974315537401e+01
2.601000000000000000e+03 1.022219978784254124e+01
2.701000000000000000e+03 1.022831725237113076e+01
2.801000000000000000e+03 1.022888220396546366e+01
2.901000000000000000e+03 1.025426679756415282e+01
3.001000000000000000e+03 1.026524711888406749e+01
