# Heisenberg model
# L=14, J=1, W=2.0
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e3
1.010000000000000000e+02 8.406697881492736224e-01
2.010000000000000000e+02 1.086282855074318654e+00
3.010000000000000000e+02 1.240021898875235840e+00
4.010000000000000000e+02 1.285383212300431177e+00
5.010000000000000000e+02 1.359495559539805276e+00
6.010000000000000000e+02 1.396143310805965099e+00
7.010000000000000000e+02 1.434571963890697743e+00
8.010000000000000000e+02 1.433861041111356149e+00
9.010000000000000000e+02 1.451303179597250415e+00
1.001000000000000000e+03 1.445376512658156587e+00
1.101000000000000000e+03 1.432107065191408957e+00
