# Interacting fermions (standard model)
# Delta=1, W=100.0
# Medians of eigenstate-to-eigenstate fluctuations <delta A>
# L median
1.000000000000000000e+01 1.020324557655101660e+00
1.200000000000000000e+01 1.007994293595082080e+00
1.400000000000000000e+01 1.004289020441168523e+00
1.600000000000000000e+01 1.001546055837992721e+00
