# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2, W=4.5
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e4
1.010000000000000000e+02 1.302642539040770042e-01
2.010000000000000000e+02 2.606521645757594596e-01
3.010000000000000000e+02 3.803509790071612495e-01
4.010000000000000000e+02 5.061037987814293038e-01
5.010000000000000000e+02 6.117160587553329698e-01
6.010000000000000000e+02 7.248456889077761200e-01
7.010000000000000000e+02 8.530472398857790184e-01
8.010000000000000000e+02 9.798534753901838590e-01
9.010000000000000000e+02 1.123219461711848277e+00
1.001000000000000000e+03 1.233420492144494229e+00
1.101000000000000000e+03 1.324042444423509712e+00
1.201000000000000000e+03 1.452548697924090915e+00
1.301000000000000000e+03 1.577308446544337661e+00
1.401000000000000000e+03 1.706432027740781621e+00
1.501000000000000000e+03 1.834168483540297601e+00
1.601000000000000000e+03 1.948315988015175471e+00
1.701000000000000000e+03 2.069665969287016960e+00
1.801000000000000000e+03 2.215156922340559387e+00
1.901000000000000000e+03 2.344804587644348626e+00
2.001000000000000000e+03 2.462390383762610657e+00
2.101000000000000000e+03 2.589882721618622430e+00
2.201000000000000000e+03 2.720188327047956989e+00
2.301000000000000000e+03 2.840490162831057042e+00
2.401000000000000000e+03 2.966207760803192262e+00
2.501000000000000000e+03 3.074509722723213656e+00
2.601000000000000000e+03 3.185430524953383635e+00
2.701000000000000000e+03 3.302178714878158061e+00
2.801000000000000000e+03 3.412857588014890808e+00
2.901000000000000000e+03 3.530273095344311773e+00
3.001000000000000000e+03 3.624868782281668977e+00
