# Long-range Heisenberg model
# L = 45, S_z^tot = -35/2, J = 1
# Dependence of average velocity on Alpha for the Delta = 0.5
# Alpha, average velocity, standard deviation of average velocity

2 0.58658983188145097 1.0809601671841234E-002
2.1 0.60611928146131477 5.5677235125805424E-003
2.2 0.64943133419139787 7.4495437494239642E-003
2.3 0.68828637646517365 2.8939643119892141E-003
2.4 0.70691024933634961 1.3866006314981459E-003
2.5 0.70625568917200110 2.8437644749893794E-003
2.6 0.69489892581883250 2.7145183586616949E-003
2.7 0.68085224410118395 2.6863089649352412E-003
2.8 0.66858136274894875 3.3921559026341280E-003
2.9 0.65936860459602675 4.5272861979431282E-003
3 0.65268438535835172 5.4624122555568767E-003
3.1 0.64739247017859958 5.7211135314764712E-003
3.2 0.64246584216493574 5.1716892553835018E-003
3.3 0.63726740684083383 4.0189827382392735E-003
3.4 0.63155847434670687 2.7725419265121807E-003
3.5 0.62538614862659125 2.3134607414689963E-003
3.6 0.61894905176544546 2.9466605466212212E-003
3.7 0.61248983259958967 3.7949926472847532E-003
3.8 0.60622792167495032 4.3659927971729127E-003
3.9 0.60032784236083103 4.5583318065445322E-003
4 0.59489213835109056 4.4243602984656771E-003
4.1 0.58996818037715815 4.0979538049970704E-003
4.2 0.58556082399107434 3.7722422165845267E-003
4.3 0.58164591745995153 3.6669988841774781E-003
4.4 0.57818208241403790 3.9261089550480400E-003
4.5 0.57511980626799608 4.5218604749773239E-003
4.6 0.57240781062803348 5.3221627432125948E-003
4.7 0.56999709731476256 6.2036039606420844E-003
4.8 0.56784321373563107 7.0854574890436006E-003
4.9 0.56590725998997615 7.9214180403091462E-003
5 0.56415607319895644 8.6872039570833493E-003
