time,Ckappa_U0.08,C3-_U0.08,C3+_U0.08,Ckappa_U0.32,C3-_U0.32,C3+_U0.32,Ckappa_U1.28,C3-_U1.28,C3+_U1.28
1.199999999999999956e+00,9.993161711033362593e-01,9.980565367782604502e-01,9.979809789510906137e-01,9.915856629767578756e-01,9.686043389895253597e-01,9.697390973306385664e-01,9.298179328769214935e-01,5.737693377857862043e-01,5.879624118146175027e-01
1.300000000000000044e+00,9.992424046282550876e-01,9.977677404842907327e-01,9.977292465321957460e-01,9.904714563653771453e-01,9.640836584043129820e-01,9.657861431339158642e-01,9.224399524581357035e-01,5.245285502992640403e-01,5.454836403596793337e-01
1.399999999999999911e+00,9.991683165642862852e-01,9.974659600655751968e-01,9.974773055681303013e-01,9.893561696740673650e-01,9.593785293853600571e-01,9.618429390845320004e-01,9.154994151858486529e-01,4.762828113751437775e-01,5.058643679815733041e-01
1.500000000000000000e+00,9.990945349901575456e-01,9.971512984732440188e-01,9.972274384889495691e-01,9.882491658334581208e-01,9.544918039709404667e-01,9.579456881813638303e-01,9.090526701522178010e-01,4.292800508672523496e-01,4.694541356004954813e-01
1.600000000000000089e+00,9.990215784465537041e-01,9.968236394494932595e-01,9.969815506320534038e-01,9.871580899141012555e-01,9.494227076722191461e-01,9.541243322605026389e-01,9.031311414682215988e-01,3.837084366858410367e-01,4.364482031109613303e-01
1.699999999999999956e+00,9.989498561650356212e-01,9.964827472920708695e-01,9.967411653939612926e-01,9.860889025464681934e-01,9.441685582098041651e-01,9.504025357283917286e-01,8.977452608470990469e-01,3.397262153850376665e-01,4.069104832057604537e-01
1.800000000000000044e+00,9.988796731203972712e-01,9.961283668417949544e-01,9.965074358274457200e-01,9.850459830333008204e-01,9.387264757482611799e-01,9.467979366152030618e-01,8.928888788112966379e-01,2.974854756278124679e-01,3.807997932673948260e-01
1.900000000000001021e+00,9.988112389626789822e-01,9.957603133012716823e-01,9.962811699691945799e-01,9.840322856909554661e-01,9.330949036766563731e-01,9.433226160277019545e-01,8.885436846746429529e-01,2.571474402420000360e-01,3.579966093606663513e-01
2.000000000000000000e+00,9.987446797505606932e-01,9.953785433612474254e-01,9.960628667041191431e-01,9.830495318993295317e-01,9.272747938058268913e-01,9.399837301191564798e-01,8.846832545110584478e-01,2.188884837247370430e-01,3.383279903624186735e-01
2.100000000000000977e+00,9.986800513680254010e-01,9.949832017656693450e-01,9.958527587613352772e-01,9.820984207352364548e-01,9.212703583000076968e-01,9.367842463423420307e-01,8.812764615863515338e-01,1.828975525998727814e-01,3.215889921106267479e-01
2.200000000000001066e+00,9.986173535555356029e-01,9.945746405486012298e-01,9.956508594800741463e-01,9.811788426855829748e-01,9.150893463977394227e-01,9.337237276613917780e-01,8.782901076807800855e-01,1.493668334338937032e-01,3.075596100455474380e-01
2.300000000000001155e+00,9.985565436124446137e-01,9.941534113551296903e-01,9.954570102485265082e-01,9.802900834770311711e-01,9.087428601919186333e-01,9.307991139180151752e-01,8.756907502912636421e-01,1.184782390106315642e-01,2.960169789723954281e-01
2.400000000000000799e+00,9.984975490099632367e-01,9.937202341562365593e-01,9.952709259581397072e-01,9.794310081687149783e-01,9.022447739772032627e-01,9.280054578102975293e-01,8.734457971057060233e-01,9.038852306643202494e-02,2.867431424874717361e-01
