# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 5.631295
1.000000 1.740119
1.500000 0.732877
2.000000 0.266106
2.500000 0.083949
3.000000 0.026636
3.500000 0.004533
4.000000 0.002229
4.500000 0.001783
5.000000 0.001004
 
