# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 7.957525
1.000000 2.595421
1.500000 1.127400
2.000000 0.508947
2.500000 0.233768
3.000000 0.101092
3.500000 0.035251
4.000000 0.013393
4.500000 0.005896
5.000000 0.002524
