# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 8.749300
1.000000 3.044659
1.500000 1.359895
2.000000 0.556264
2.500000 0.209814
3.000000 0.098696
3.500000 0.053418
4.000000 0.031370
4.500000 0.015323
5.000000 0.007432
