# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 7.028859
1.000000 2.079010
1.500000 0.847626
2.000000 0.335106
2.500000 0.123257
3.000000 0.027914
3.500000 0.008261
4.000000 0.003138
4.500000 0.001572
5.000000 0.001369
 
