# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 7.081486
1.000000 2.015237
1.500000 0.816614
2.000000 0.327616
2.500000 0.134870
3.000000 0.037488
3.500000 0.009055
4.000000 0.003572
4.500000 0.001776
5.000000 0.001239
