# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 7.985180
1.000000 2.644705
1.500000 1.105648
2.000000 0.437181
2.500000 0.210096
3.000000 0.072144
3.500000 0.025026
4.000000 0.012214
4.500000 0.005483
5.000000 0.002499
 
