# Hubbard model
# L=10, t_h=1, n_{av}=1
# Spin stiffness D_s from perturbation approach
# m_{av} D_s

0 0.0000
0.1 0.2802
0.2 0.5148
0.3 0.6485
0.4 0.7062
0.5 0.6901
0.6 0.6329
0.7 0.5204
0.8 0.3840
0.9 0.2000
1 0.0000
