# Hubbard model
# L=12, t_h=1, n_{av}=1
# Spin stiffness D_s from perturbation approach
# m_{av} D_s

0 0.0000
0.0833333 0.2435
0.166667 0.4651
0.25 0.6090
0.333333 0.6897
0.416667 0.7109
0.5 0.6966
0.583333 0.6396
0.666667 0.5622
0.75 0.4497
0.833333 0.3241
0.916667 0.1667
1 0.0000
