# Hubbard model
# L=14, t_h=1, n_{av}=1, U=0
# Spin stiffness D_s
# m_{av} D_s

0 1.0750
0.0714286 1.0659
0.142857 1.0549
0.214286 1.0220
0.285714 0.9890
0.357143 0.9341
0.428571 0.8791
0.5 0.8022
0.571429 0.7253
0.642857 0.6264
0.714286 0.5275
0.785714 0.4066
0.857143 0.2857
0.928571 0.1429
1 0.0000
