# Heisenberg model
# L=14, J=1, W=1.0
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e4
1.010000000000000000e+02 1.578693815751835983e-01
2.010000000000000000e+02 3.215144464540505842e-01
3.010000000000000000e+02 4.863385856914678729e-01
4.010000000000000000e+02 6.371922636822990871e-01
5.010000000000000000e+02 7.780582849330429651e-01
6.010000000000000000e+02 9.793905843459684846e-01
7.010000000000000000e+02 1.095614696194135984e+00
8.010000000000000000e+02 1.252218013083920001e+00
9.010000000000000000e+02 1.453188927680071352e+00
1.001000000000000000e+03 1.644678886167502130e+00
1.101000000000000000e+03 1.811346078848711905e+00
