# Long-range Heisenberg model
# L = 45, S_z^tot = -35/2, J = 1
# Dependence of average velocity on Alpha for the Delta = 0.0
# Alpha, average velocity, standard deviation of average velocity

2 0.44218536068775793 2.6236426347138297E-002
2.1 0.45096720824039649 2.8589026585811285E-002
2.2 0.45672041729098017 2.9376609541817533E-002
2.3 0.46058131550978382 2.8803476118466266E-002
2.4 0.46370471003267738 2.7086890725153880E-002
2.5 0.46720598407628439 2.4752384020555195E-002
2.6 0.47184305685770039 2.2401710569016364E-002
2.7 0.47787861441677010 2.0396323616237649E-002
2.8 0.48518518329982868 1.8777861806071446E-002
2.9 0.49344502731333678 1.7386480488266159E-002
3 0.50232171641009848 1.6016075389809127E-002
3.1 0.51155464955069430 1.4512750336319819E-002
3.2 0.52098150379126951 1.2811440204859498E-002
3.3 0.53051677247056683 1.0932360714657752E-002
3.4 0.54011548299476964 8.9559187080653392E-003
3.5 0.54974146974741345 6.9910962094505225E-003
3.6 0.55934835475064459 5.1491367922489725E-003
3.7 0.56887334652685306 3.5309422475898605E-003
3.8 0.57824007539501321 2.2388541818217154E-003
3.9 0.58736593113464575 1.4359158457831044E-003
4 0.59617028287775253 1.3073114763794880E-003
4.1 0.60458137361580933 1.5836037977188682E-003
4.2 0.61254094099858203 1.8788025527847999E-003
4.3 0.62000648073341991 2.0709435889860344E-003
4.4 0.62695153877255194 2.1473880326646480E-003
4.5 0.63336459318670113 2.1239885687215662E-003
4.6 0.63924707974930994 2.0228773540852552E-003
4.7 0.64461101949675448 1.8656703505970180E-003
4.8 0.64947658302726030 1.6712202125027883E-003
4.9 0.65386980912473092 1.4550273106285103E-003
5 0.65782059991002828 1.2293539103417372E-003
