# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the projection of I1 on A2 (cf. Chapter V in the paper)
# Alpha, Delta, Projection

2.40 0.5 7.438874914080808587e-01
2.50 0.5 7.420471452038275295e-01
2.60 0.5 7.357399079093446259e-01
2.70 0.5 7.295459007953909447e-01
2.80 0.5 7.240954102080735533e-01
2.90 0.5 7.218334026130470704e-01
3.00 0.5 7.196605112139378146e-01
3.10 0.5 7.161138437762929465e-01
3.20 0.5 7.184188982458762363e-01
3.30 0.5 7.134283208456740910e-01
3.40 0.5 7.104937181728530060e-01
3.50 0.5 7.066741745984514989e-01
3.60 0.5 7.069389075666689948e-01
3.70 0.5 7.064042698373649287e-01
3.80 0.5 7.072789391382648949e-01
3.90 0.5 7.080854956829144564e-01
4.00 0.5 7.048039458801331758e-01
4.10 0.5 7.026387257522177521e-01
4.20 0.5 6.950097090598821303e-01
4.30 0.5 6.935476680514861547e-01
4.40 0.5 6.911783528890369510e-01
4.50 0.5 6.908489901279764034e-01
4.60 0.5 6.852183979247851164e-01
4.70 0.5 6.847373421369610247e-01
4.80 0.5 6.814569570616535454e-01
4.90 0.5 6.812080185774959107e-01
5.00 0.5 6.792475118795404665e-01
 
2.00 0.6 5.762288365166526871e-01
2.10 0.6 6.243558256289621911e-01
2.20 0.6 6.481504678165314060e-01
2.30 0.6 6.553042499785953767e-01
2.40 0.6 6.508749141325000931e-01
2.50 0.6 6.451109659361997650e-01
2.60 0.6 6.373959350667589563e-01
2.70 0.6 6.283440560224626825e-01
2.80 0.6 6.291028045213086228e-01
2.90 0.6 6.249854347728303061e-01
3.00 0.6 6.215019886495766199e-01
3.10 0.6 6.217911688266940518e-01
3.20 0.6 6.186781961346295988e-01
3.30 0.6 6.165728875892055871e-01
3.40 0.6 6.145556526274391640e-01
3.50 0.6 6.129996017679730791e-01
3.60 0.6 6.155714683922355324e-01
3.70 0.6 6.113415495295210222e-01
3.80 0.6 6.075009268044702093e-01
3.90 0.6 6.054681822939405045e-01
4.00 0.6 6.044665281271365265e-01
4.10 0.6 6.036998508256324891e-01
4.20 0.6 6.040657617144933322e-01
4.30 0.6 6.061203380542545816e-01
4.40 0.6 6.032385401591887630e-01
4.50 0.6 6.005159559939330371e-01
4.60 0.6 5.975242903384457849e-01
4.70 0.6 5.964253858253431018e-01
4.80 0.6 5.964935162714743999e-01
4.90 0.6 5.955180606864177717e-01
5.00 0.6 5.940292422892144986e-01
 
2.00 0.7 5.379618791397071664e-01
2.10 0.7 5.657412100170378100e-01
2.20 0.7 5.492552141694316825e-01
2.30 0.7 5.520336705228948704e-01
2.40 0.7 5.463055814033099811e-01
2.50 0.7 5.403346480043119682e-01
2.60 0.7 5.345982433259658384e-01
2.70 0.7 5.330764570929471535e-01
2.80 0.7 5.330908027282473816e-01
2.90 0.7 5.315375086207227984e-01
3.00 0.7 5.300390156721246360e-01
3.10 0.7 5.279706286031176088e-01
3.20 0.7 5.297512356879059414e-01
3.30 0.7 5.308316810939982533e-01
3.40 0.7 5.322402927194048727e-01
3.50 0.7 5.306345368686465891e-01
3.60 0.7 5.280175738650484396e-01
3.70 0.7 5.256167714849723227e-01
3.80 0.7 5.234058879819323273e-01
3.90 0.7 5.225042874993196529e-01
4.00 0.7 5.245586671672148871e-01
4.10 0.7 5.210930879555769613e-01
4.20 0.7 5.185956688064552456e-01
4.30 0.7 5.169992000091121476e-01
4.40 0.7 5.179935472957954978e-01
4.50 0.7 5.169835448216908436e-01
4.60 0.7 5.169861663522736794e-01
4.70 0.7 5.196948959108229626e-01
4.80 0.7 5.208375004384691032e-01
4.90 0.7 5.184544385321765425e-01
5.00 0.7 5.160423553368970184e-01
 
2.00 0.8 4.761985718875862972e-01
2.10 0.8 4.671906312196206223e-01
2.20 0.8 4.614891436958720727e-01
2.30 0.8 4.546204348798831840e-01
2.40 0.8 4.502298857766408591e-01
2.50 0.8 4.512368450077010595e-01
2.60 0.8 4.422938521795777289e-01
2.70 0.8 4.457137899590581376e-01
2.80 0.8 4.458299287441366832e-01
2.90 0.8 4.487449892125947026e-01
3.00 0.8 4.511024518991846310e-01
3.10 0.8 4.480312991606667516e-01
3.20 0.8 4.463639883405418063e-01
3.30 0.8 4.492225759338857594e-01
3.40 0.8 4.491670418122135078e-01
3.50 0.8 4.508445070074090233e-01
3.60 0.8 4.492577794952737347e-01
3.70 0.8 4.452202032482882599e-01
3.80 0.8 4.440099620491620436e-01
3.90 0.8 4.438399411220154689e-01
4.00 0.8 4.444389465846834142e-01
4.10 0.8 4.466625060647118062e-01
4.20 0.8 4.447974522176778023e-01
4.30 0.8 4.441344452928409625e-01
4.40 0.8 4.441776560314799616e-01
4.50 0.8 4.441634853144126871e-01
4.60 0.8 4.447976280323264753e-01
4.70 0.8 4.453708617079183418e-01
4.80 0.8 4.435354119162269182e-01
4.90 0.8 4.404056939428365736e-01
5.00 0.8 4.436944383879151688e-01
 
2.00 0.9 3.855918979964726989e-01
2.10 0.9 3.732388423163842672e-01
2.20 0.9 3.663027783059613074e-01
2.30 0.9 3.691092654988224475e-01
2.40 0.9 3.687710476015798600e-01
2.50 0.9 3.698257226457288827e-01
2.60 0.9 3.747313439432413129e-01
2.70 0.9 3.738044904585840489e-01
2.80 0.9 3.736692229554895439e-01
2.90 0.9 3.756660168143450274e-01
3.00 0.9 3.765265882024670385e-01
3.10 0.9 3.784861702512557491e-01
3.20 0.9 3.782985557892619699e-01
3.30 0.9 3.802668327670038484e-01
3.40 0.9 3.837399443972278057e-01
3.50 0.9 3.868062262434132648e-01
3.60 0.9 3.822051350961854777e-01
3.70 0.9 3.826458439288586977e-01
3.80 0.9 3.848534090089663073e-01
3.90 0.9 3.823413095624468294e-01
4.00 0.9 3.836981548458172075e-01
4.10 0.9 3.836804622604046422e-01
4.20 0.9 3.846230503206130025e-01
4.30 0.9 3.840014536766522268e-01
4.40 0.9 3.839769542596133678e-01
4.50 0.9 3.848012665414526356e-01
4.60 0.9 3.836535743577958457e-01
4.70 0.9 3.856836931908843025e-01
4.80 0.9 3.827420585969159017e-01
4.90 0.9 3.823972830992961591e-01
5.00 0.9 3.829245217016999381e-01
 
2.00 1 2.999199767747680601e-01
2.10 1 2.977393140457341714e-01
2.20 1 2.988367904348178672e-01
2.30 1 3.070228947273817011e-01
2.40 1 3.109161425002207046e-01
2.50 1 3.132802982038504491e-01
2.60 1 3.160442039382539980e-01
2.70 1 3.184851199893756202e-01
2.80 1 3.205145484863389238e-01
2.90 1 3.222345108705141903e-01
3.00 1 3.236554177259427512e-01
3.10 1 3.249090155487576181e-01
3.20 1 3.260072202378300199e-01
3.30 1 3.269739959007090246e-01
3.40 1 3.277090493178341224e-01
3.50 1 3.286300984745185727e-01
3.60 1 3.295686649561656023e-01
3.70 1 3.306523435453084248e-01
3.80 1 3.304917346906183773e-01
3.90 1 3.309946350830832995e-01
4.00 1 3.316362570199553605e-01
4.10 1 3.320267380455556028e-01
4.20 1 3.323204765504159663e-01
4.30 1 3.325495051205411556e-01
4.40 1 3.327313216108546690e-01
4.50 1 3.328929815282661853e-01
4.60 1 3.329886103993771052e-01
4.70 1 3.330781128244629796e-01
4.80 1 3.331491509383825433e-01
4.90 1 3.331995487655915467e-01
5.00 1 3.332301513928592196e-01
 
