# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the stifness of I2 (cf. Chapter V in the paper)
# Alpha, Delta, stifness

2.40 0.5 5.563365720829153149e-01
2.50 0.5 5.828930834380792181e-01
2.60 0.5 5.737075475803858904e-01
2.70 0.5 5.569393467708992906e-01
2.80 0.5 5.491373100553443853e-01
2.90 0.5 5.478927927590701019e-01
3.00 0.5 5.439476495685251489e-01
3.10 0.5 5.457080871468762417e-01
3.20 0.5 5.448534933637890765e-01
3.30 0.5 5.465654215026736207e-01
3.40 0.5 5.434845833173098661e-01
3.50 0.5 5.414616062469647106e-01
3.60 0.5 5.310834384937221930e-01
3.70 0.5 5.318227593496120953e-01
3.80 0.5 5.194808688792910134e-01
3.90 0.5 5.183178840732980408e-01
4.00 0.5 5.203216739584619610e-01
4.10 0.5 5.163732311684922083e-01
4.20 0.5 5.168522901004257708e-01
4.30 0.5 5.182688898173680725e-01
4.40 0.5 5.168917760854329080e-01
4.50 0.5 5.144280487932547663e-01
4.60 0.5 5.124202697035699083e-01
4.70 0.5 5.116125514875150548e-01
4.80 0.5 5.139499019148637826e-01
4.90 0.5 5.113208096372777733e-01
5.00 0.5 5.082439124317911228e-01
 
2.00 0.6 4.475723779632228005e-01
2.10 0.6 4.969829737782897050e-01
2.20 0.6 5.354846876487999729e-01
2.30 0.6 5.629132581724823892e-01
2.40 0.6 5.612593173979480987e-01
2.50 0.6 5.594350285174305437e-01
2.60 0.6 5.447612985555357890e-01
2.70 0.6 5.240060338826616482e-01
2.80 0.6 5.137276998853504972e-01
2.90 0.6 5.099217786404685038e-01
3.00 0.6 5.082761370404264012e-01
3.10 0.6 5.047950417515909560e-01
3.20 0.6 4.976132474839994879e-01
3.30 0.6 5.008503278990857899e-01
3.40 0.6 4.965544717117783002e-01
3.50 0.6 4.898590957255190004e-01
3.60 0.6 4.865271201254078859e-01
3.70 0.6 4.870342611470786509e-01
3.80 0.6 4.868908326470509085e-01
3.90 0.6 4.853252126439264735e-01
4.00 0.6 4.843998935217243562e-01
4.10 0.6 4.824884473047500455e-01
4.20 0.6 4.821904490804186372e-01
4.30 0.6 4.800228028670000535e-01
4.40 0.6 4.803869075055839932e-01
4.50 0.6 4.777550524266533372e-01
4.60 0.6 4.736548883713983527e-01
4.70 0.6 4.763474671653968873e-01
4.80 0.6 4.804377003674136781e-01
4.90 0.6 4.798721461124841881e-01
5.00 0.6 4.801640756069597837e-01
 
2.00 0.7 4.834798983348204682e-01
2.10 0.7 5.323336164172839391e-01
2.20 0.7 5.465528081689918771e-01
2.30 0.7 5.339123041614872722e-01
2.40 0.7 5.124704706295469814e-01
2.50 0.7 4.987699572305349660e-01
2.60 0.7 4.949702033292877057e-01
2.70 0.7 4.863341374488458491e-01
2.80 0.7 4.755877421147200468e-01
2.90 0.7 4.761665593120140705e-01
3.00 0.7 4.734700471337763839e-01
3.10 0.7 4.706540856804757866e-01
3.20 0.7 4.651200314209505415e-01
3.30 0.7 4.659266869861941052e-01
3.40 0.7 4.610946439048910772e-01
3.50 0.7 4.586882929902018624e-01
3.60 0.7 4.576180762955686099e-01
3.70 0.7 4.575963169683152088e-01
3.80 0.7 4.608009514292709663e-01
3.90 0.7 4.602298281652304479e-01
4.00 0.7 4.499744662363723835e-01
4.10 0.7 4.585394230426671491e-01
4.20 0.7 4.592008001238301884e-01
4.30 0.7 4.593325452913230578e-01
4.40 0.7 4.579262966899200760e-01
4.50 0.7 4.606593290250368122e-01
4.60 0.7 4.585187531211979972e-01
4.70 0.7 4.600796874730976871e-01
4.80 0.7 4.583600770122449597e-01
4.90 0.7 4.592390104312009669e-01
5.00 0.7 4.599562809633530591e-01
 
2.00 0.8 5.127672085684367165e-01
2.10 0.8 5.053706112908750159e-01
2.20 0.8 4.764081541851462043e-01
2.30 0.8 4.631731388459488508e-01
2.40 0.8 4.550875697191703595e-01
2.50 0.8 4.482510552189422626e-01
2.60 0.8 4.413473889295746466e-01
2.70 0.8 4.364080920009597575e-01
2.80 0.8 4.352606686750349341e-01
2.90 0.8 4.301053834820631749e-01
3.00 0.8 4.278877037313866816e-01
3.10 0.8 4.225399504486955227e-01
3.20 0.8 4.265818098436930939e-01
3.30 0.8 4.231884796608904598e-01
3.40 0.8 4.202779296303069678e-01
3.50 0.8 4.185126366349963822e-01
3.60 0.8 4.214836886603565702e-01
3.70 0.8 4.257285836503927334e-01
3.80 0.8 4.245615826270104365e-01
3.90 0.8 4.271727670283711475e-01
4.00 0.8 4.268966657812538479e-01
4.10 0.8 4.268301603304186509e-01
4.20 0.8 4.294972360455348026e-01
4.30 0.8 4.307744815654643844e-01
4.40 0.8 4.326794773052144438e-01
4.50 0.8 4.306562055153102531e-01
4.60 0.8 4.343032580935133335e-01
4.70 0.8 4.351359171028642558e-01
4.80 0.8 4.370591799775446762e-01
4.90 0.8 4.374477745760249059e-01
5.00 0.8 4.387824929427883713e-01
 
2.00 0.9 4.252526837917411373e-01
2.10 0.9 3.992531031846201506e-01
2.20 0.9 3.918427394353678483e-01
2.30 0.9 3.830458002158736441e-01
2.40 0.9 3.837890808631541084e-01
2.50 0.9 3.842382324139150818e-01
2.60 0.9 3.780549006320849670e-01
2.70 0.9 3.807585614905372173e-01
2.80 0.9 3.857326782105317542e-01
2.90 0.9 3.902203195175629191e-01
3.00 0.9 3.927268732068802670e-01
3.10 0.9 4.020309896364989144e-01
3.20 0.9 4.024937699833878169e-01
3.30 0.9 4.080332305453683861e-01
3.40 0.9 4.117854699636826488e-01
3.50 0.9 4.123880982146274077e-01
3.60 0.9 4.165299360179234300e-01
3.70 0.9 4.161780677022869357e-01
3.80 0.9 4.190903544016513771e-01
3.90 0.9 4.237133032226135243e-01
4.00 0.9 4.279530967128253316e-01
4.10 0.9 4.312114573657063188e-01
4.20 0.9 4.328592655381172105e-01
4.30 0.9 4.337389913988070611e-01
4.40 0.9 4.352079134281489625e-01
4.50 0.9 4.361128977416929842e-01
4.60 0.9 4.370615009626390157e-01
4.70 0.9 4.362603002185615475e-01
4.80 0.9 4.385423651484801622e-01
