# Interacting fermions (standard model)
# Delta=1, W=2.0
# Medians of eigenstate-to-eigenstate fluctuations <delta A>
# L median
1.000000000000000000e+01 4.365393227773059492e-01
1.200000000000000000e+01 3.788399727340109879e-01
1.400000000000000000e+01 2.965747776175902128e-01
1.600000000000000000e+01 2.052708521471547920e-01
