# Interacting fermions (rescaled model)
# L=14, W=20.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
1.023739313913392679e-01 1.256916031937224676e-01
1.417307503146734149e-01 4.587743516570871871e-01
1.810875692380075341e-01 1.156362749382246369e+00
2.204443881613416534e-01 1.841381986788036329e+00
2.598012070846758004e-01 2.834345652018440909e+00
2.991580260080098919e-01 3.154859240162433132e+00
3.385148449313440389e-01 3.330827484633648972e+00
3.778716638546781859e-01 2.991460156010594229e+00
4.172284827780122773e-01 2.369286720201667862e+00
4.565853017013464243e-01 1.992211910620503179e+00
4.959421206246805158e-01 1.558575879602160263e+00
5.352989395480146628e-01 1.212923970819419717e+00
5.746557584713487543e-01 8.421337413979415043e-01
6.140125773946829568e-01 5.656122143717516870e-01
6.533693963180170483e-01 3.707902294214807104e-01
6.927262152413511398e-01 2.325294659083868287e-01
7.320830341646853423e-01 1.194070230340364830e-01
7.714398530880194338e-01 8.169954207591946516e-02
8.107966720113535253e-01 9.426870239529196172e-02
8.501534909346877278e-01 3.770748095811678191e-02
8.895103098580218193e-01 1.885374047905833891e-02
9.288671287813559108e-01 1.256916031937226064e-02
9.682239477046901133e-01 0.000000000000000000e+00
1.007580766628024094e+00 0.000000000000000000e+00
1.046937585551358296e+00 6.284580159686112971e-03
