# Interacting fermions (rescaled model)
# L=12, W=20.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
1.508224261004703637e-01 1.119838515395848583e-01
1.864705656597062111e-01 2.939576102914102096e-01
2.221187052189421141e-01 6.649041185162850587e-01
2.577668447781780170e-01 1.217824385492984218e+00
2.934149843374138644e-01 1.693755754536222291e+00
3.290631238966497119e-01 2.288669965840267384e+00
3.647112634558855593e-01 2.715608399834930520e+00
4.003594030151215177e-01 3.051559954453685108e+00
4.360075425743573652e-01 2.603624548295349950e+00
4.716556821335932126e-01 2.736605371998606984e+00
5.073038216928291710e-01 2.372657854494948371e+00
5.429519612520650185e-01 1.973715383385184596e+00
5.786001008113008659e-01 1.735749698863566559e+00
6.142482403705367133e-01 1.259818329820330707e+00
6.498963799297725608e-01 1.056847598904829821e+00
6.855445194890085192e-01 7.418930164497502533e-01
7.211926590482443666e-01 5.739172391403728479e-01
7.568407986074802141e-01 2.869586195701864240e-01
7.924889381667161725e-01 2.799596288489615281e-01
8.281370777259520199e-01 1.889727494730495949e-01
8.637852172851878674e-01 1.259818329820330540e-01
8.994333568444237148e-01 4.199394432734422644e-02
9.350814964036596733e-01 2.799596288489623538e-02
9.707296359628955207e-01 0.000000000000000000e+00
1.006377775522131479e+00 6.998990721224037162e-03
