# Interacting fermions (rescaled model)
# L=10, W=20.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
1.712180529317634536e-01 3.483280446583580242e-02
2.141949539014290638e-01 1.451366852743158353e-01
2.571718548710947294e-01 4.760483276997556357e-01
3.001487558407603951e-01 1.103038808084799705e+00
3.431256568104260607e-01 1.648752744716228902e+00
3.861025577800916708e-01 2.043524528662365558e+00
4.290794587497572810e-01 2.223494018402520034e+00
4.720563597194229466e-01 2.589238465293792757e+00
5.150332606890886122e-01 2.589238465293792757e+00
5.580101616587542779e-01 2.293159627334194539e+00
6.009870626284198325e-01 2.130606539826954915e+00
6.439639635980854981e-01 1.666169146949144642e+00
6.869408645677511638e-01 1.312035634879814117e+00
7.299177655374168294e-01 8.127654375361681449e-01
7.728946665070824951e-01 7.489052960154691796e-01
8.158715674767481607e-01 6.618232848508797117e-01
8.588484684464138263e-01 3.076897727815493533e-01
9.018253694160794920e-01 1.741640223291788803e-01
9.448022703857450466e-01 1.044984133975078722e-01
9.877791713554106012e-01 6.386014152069892369e-02
1.030756072325076378e+00 6.386014152069892369e-02
1.073732973294741821e+00 4.063827187680840031e-02
1.116709874264407709e+00 5.805467410972629111e-03
1.159686775234073153e+00 1.161093482194525822e-02
1.202663676203739040e+00 1.741640223291789080e-02
