# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=3, W=8.0
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# L <r>
1.000000000000000000e+01 4.751674217554000546e-01
1.200000000000000000e+01 4.886950308767000206e-01
1.400000000000000000e+01 5.071740435557999804e-01
1.600000000000000000e+01 5.219489674089250464e-01
