# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=3, W=5.0
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# L <r>
1.000000000000000000e+01 5.159430079585499707e-01
1.200000000000000000e+01 5.270269843274749677e-01
1.400000000000000000e+01 5.304099922357750074e-01
1.600000000000000000e+01 5.307824360961750365e-01
