# Interacting fermions (standard model)
# L=16, Delta=1, W=20.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-6.568138567547289197e-01 9.929785920999999460e-01
-6.563966443333770773e-01 -9.999372064999999532e-01
-6.554960702948852136e-01 -9.999980897000000368e-01
-6.547337689899912494e-01 -9.978134505000000321e-01
-6.542953521254749605e-01 9.932964248000000218e-01
-6.539127049577996287e-01 -9.978156018999999599e-01
-6.537314972615320130e-01 9.932949616999999787e-01
-6.532441294393065423e-01 -9.999805315999999999e-01
-6.530266322837080528e-01 9.941327986000000339e-01
-6.522615553847530556e-01 -9.999999949000000221e-01
-6.516154919849006522e-01 -9.999986544000000199e-01
-6.507344891327100367e-01 9.994979018999999854e-01
-6.505291271443901513e-01 -9.976853441999999905e-01
-6.504448223280099306e-01 9.973430399999999585e-01
-6.502286017673485352e-01 9.941283078999999523e-01
-6.501261892249776686e-01 -9.980366603000000447e-01
-6.493112884382492567e-01 -9.999363499000000211e-01
-6.491175410181752037e-01 9.930089413999999559e-01
-6.490450366163801332e-01 -9.960519029000000080e-01
-6.487068483768333449e-01 9.942193420999999587e-01
-6.471443887785489624e-01 -9.953037743000000548e-01
-6.463949495943667189e-01 9.974754754000000334e-01
-6.454863200915142984e-01 -9.952248445000000387e-01
-6.449045512454341100e-01 -9.999918530000000416e-01
-6.445385093653854813e-01 -9.999350994000000270e-01
-6.442735568119616341e-01 -9.999905126999999450e-01
-6.440832422629267917e-01 9.932928653999999469e-01
-6.436664138900419774e-01 -9.999616056000000253e-01
-6.404177705819807942e-01 -9.953699389000000286e-01
-6.396858548351265217e-01 -9.998141249999999980e-01
-6.391961776269292628e-01 9.929970095000000274e-01
-6.385650542856462497e-01 9.930008900000000249e-01
-6.383792099843387247e-01 9.973275244000000539e-01
-6.382702943486407987e-01 -9.999347398000000275e-01
-6.371537143835396266e-01 9.930083973000000119e-01
-6.367709785598997252e-01 9.932970925999999867e-01
-6.367367022023834311e-01 -9.980393982999999913e-01
-6.364986315130920502e-01 9.941134624999999891e-01
-6.363416381045077230e-01 9.930123849999999974e-01
-6.362896167971314743e-01 9.932964279999999535e-01
-6.357694947995387036e-01 9.930128242000000327e-01
-6.357415868954724436e-01 9.941139842999999754e-01
-6.357225606376426530e-01 9.941230800999999451e-01
-6.355580997473588845e-01 -9.998605005999999795e-01
-6.349108526120494922e-01 -9.998589603999999964e-01
-6.349011585408967928e-01 -9.998595042000000266e-01
-6.338452372159890658e-01 9.930089415999999725e-01
-6.336515543771995551e-01 -9.998909340999999618e-01
-6.331247259889819512e-01 9.974863876999999768e-01
-6.328783980665831921e-01 -9.999902422999999985e-01
-6.327311915886316696e-01 -9.978144383000000506e-01
-6.326834790120817731e-01 -9.978165814999999661e-01
-6.320937888320011799e-01 9.930125729000000012e-01
-6.319264275159821587e-01 -9.978165897999999867e-01
-6.317934313408232194e-01 -9.999602764999999671e-01
-6.314599847942053978e-01 9.939237680000000408e-01
-6.308793641447688616e-01 9.956186327999999586e-01
-6.308147003185239354e-01 9.932876414000000320e-01
-6.294812035377296278e-01 -9.952807006999999651e-01
-6.291496832202715384e-01 9.970988670999999526e-01
-6.291199343037700009e-01 -9.953037589000000018e-01
-6.288271916720946653e-01 -9.976307773000000489e-01
-6.287980062814363391e-01 -9.918410024999999575e-01
-6.285102086399878552e-01 9.971311945999999926e-01
-6.281315782498765321e-01 -9.952956643999999464e-01
-6.280223795774643181e-01 -9.976240148999999668e-01
-6.272501271500722231e-01 9.930006178000000405e-01
-6.265075563829327621e-01 9.944339935999999547e-01
-6.247093170113362515e-01 -9.953649808000000210e-01
-6.243862666503485759e-01 9.930126286999999552e-01
-6.242757462907414512e-01 9.929903487000000251e-01
-6.239925453846247860e-01 -9.978134519000000369e-01
-6.237458847476005097e-01 -9.960518208999999956e-01
-6.235174078819847310e-01 9.932948230000000489e-01
-6.229355617166941750e-01 -9.999986543000000117e-01
-6.209040900295929033e-01 9.973084338000000049e-01
-6.207711727021955062e-01 -9.999601830000000025e-01
-6.207255130971683910e-01 -9.999797606000000449e-01
-6.205008029636305267e-01 9.930128244000000493e-01
-6.204269441381708994e-01 -9.998849042999999881e-01
-6.203741292580089439e-01 9.973277249999999983e-01
-6.202797748549631063e-01 9.973432073000000342e-01
-6.202463547408281208e-01 -9.999349588999999483e-01
-6.201445931064724082e-01 9.974014955000000127e-01
-6.197732128890441894e-01 9.932878765000000554e-01
-6.197462533235635895e-01 9.939276201000000199e-01
-6.195192464146005440e-01 9.930086897000000024e-01
-6.193993224085521110e-01 -9.980366610999999999e-01
-6.188953011493398826e-01 9.930125724999999681e-01
-6.183878777174900421e-01 9.930089447000000069e-01
-6.176041596282062507e-01 -9.999902425000000150e-01
-6.174209366646765673e-01 9.971307048999999978e-01
-6.172938885914117657e-01 -9.960552527999999572e-01
-6.170601987296076008e-01 -9.952957596999999490e-01
-6.169776070368861998e-01 -9.952841426999999852e-01
-6.166534683475067835e-01 -9.960190569000000327e-01
-6.162930356131431919e-01 -9.999368265000000422e-01
-6.156540994649886134e-01 -9.999353864000000147e-01
-6.156518449794775583e-01 9.974754799999999699e-01
-6.154844105477637051e-01 -9.999915851999999772e-01
-6.153673965208948937e-01 -9.999372163999999952e-01
-6.153497907965653768e-01 9.930125811000000136e-01
-6.133413188359094770e-01 9.932928665000000379e-01
-6.132374768434903922e-01 9.944410192999999509e-01
-6.119758887116952817e-01 9.930006180999999543e-01
-6.119509265803804166e-01 -9.953013666000000148e-01
-6.098562685390631621e-01 9.929967379999999899e-01
-6.095947809562519693e-01 -9.998605004999999712e-01
-6.093045270605456087e-01 -9.917442109999999866e-01
-6.092603394502393854e-01 9.941336632999999701e-01
-6.086212692991040951e-01 9.941379672000000278e-01
-6.084837009728104595e-01 -9.917617121999999785e-01
-6.080552342117582221e-01 -9.999363572999999672e-01
-6.076804157733618483e-01 9.938996852000000493e-01
-6.075607470353491246e-01 -9.952231945999999718e-01
-6.072890511513150402e-01 9.932971007999999991e-01
-6.068621626192860496e-01 9.930128207999999734e-01
-6.063455624034556068e-01 9.930126288999999717e-01
-6.062707126947376457e-01 9.929905535999999922e-01
-6.060441237171244611e-01 9.932970936999999667e-01
-6.057574122386203408e-01 9.941135787999999529e-01
-6.045654083390999967e-01 -9.999113262000000057e-01
-6.035841980068968882e-01 -9.918397895999999658e-01
-6.032781237345599124e-01 -9.999980941999999651e-01
-6.032128022491990427e-01 9.941408667000000143e-01
-6.029084576598245926e-01 -9.998909320000000100e-01
-6.027510440270636982e-01 -9.978144314000000348e-01
-6.027011061348531706e-01 -9.999799654000000038e-01
-6.023838184115579697e-01 9.930082011999999958e-01
-6.023185010023333064e-01 9.932921927000000206e-01
-6.021283511546807743e-01 -9.999902449999999998e-01
-6.020062665416354708e-01 -9.978144396000000471e-01
-6.019228533800705661e-01 -9.978166984999999878e-01
-6.017492750645410116e-01 9.932878790000000402e-01
-6.003288206669116223e-01 -9.980361870999999718e-01
-5.999835377847573259e-01 9.998252145999999563e-01
-5.993964823172769352e-01 9.971307025000000213e-01
-5.988801222113503409e-01 9.974002657999999633e-01
-5.987421162099216820e-01 -9.998065900000000505e-01
-5.987198746448276765e-01 -9.952806882000000410e-01
-5.986518162887006778e-01 9.941197726999999595e-01
-5.984096578715977222e-01 9.970990130000000340e-01
-5.982397741914853295e-01 9.974357182999999960e-01
-5.981022192400138326e-01 -9.976307786000000455e-01
-5.978372822268597231e-01 -9.999616238999999851e-01
-5.975319891715202836e-01 9.941377638999999711e-01
-5.965000802381698053e-01 9.930006184999999874e-01
-5.957644516406643831e-01 9.944339814999999527e-01
-5.956566752850619428e-01 -9.978140624000000347e-01
-5.955688694497388580e-01 -9.953790917999999488e-01
-5.953888398842407392e-01 -9.960149238000000071e-01
-5.948367924407422791e-01 -9.978162171000000136e-01
-5.945955855467066620e-01 -9.953708635000000360e-01
-5.943026049705748548e-01 9.929907972999999499e-01
-5.941924764295696271e-01 -9.980366497999999531e-01
-5.939687230416486052e-01 -9.998579593999999959e-01
-5.939498878527079695e-01 -9.953651258000000279e-01
-5.938632423150580486e-01 -9.999527335000000239e-01
-5.935966437668450668e-01 -9.999986543000000117e-01
-5.920167399611319103e-01 9.932971009000000073e-01
-5.914209023306162827e-01 9.973086291999999631e-01
-5.907330074546177645e-01 -9.999721206999999668e-01
-5.906417456926095211e-01 -9.999994302000000390e-01
-5.905251027215230319e-01 -9.999602846999999795e-01
-5.904335567763872028e-01 9.974772285999999877e-01
-5.904012905909624687e-01 9.930089444999999904e-01
-5.902321481307601925e-01 9.939239834999999967e-01
-5.901945606767766694e-01 -9.952940020999999637e-01
-5.901791332651610267e-01 9.973086487000000222e-01
-5.896753347922734090e-01 9.938999886999999589e-01
-5.896081520411751153e-01 9.939280351999999485e-01
-5.894777698157970258e-01 9.932876471999999568e-01
-5.887943383090458171e-01 9.930086926000000203e-01
-5.881247001927712992e-01 9.932853982999999554e-01
-5.874969610636505690e-01 -9.952840239000000366e-01
-5.874915192943122033e-01 -9.999915851999999772e-01
-5.873375969996705859e-01 9.971128859000000233e-01
-5.871732987727009689e-01 9.971311927999999547e-01
-5.869230817067560002e-01 -9.980389812000000083e-01
-5.868638990100404351e-01 -9.952957564000000090e-01
-5.868096286944611828e-01 9.941293817999999893e-01
-5.867516085882455990e-01 -9.953004227999999731e-01
-5.865526821822453218e-01 -9.960552526999999490e-01
-5.865409541190795828e-01 -9.999116296000000181e-01
-5.862751032871188483e-01 -9.999363951999999944e-01
-5.862332463351207501e-01 -9.952843567000000391e-01
-5.859996121380528500e-01 -9.953013697000000493e-01
-5.856463455060610945e-01 9.932966698999999844e-01
-5.855530105192277013e-01 -9.999368265000000422e-01
-5.851047702936105210e-01 9.930004224999999796e-01
-5.848556433393670151e-01 9.930084030000000395e-01
-5.846072489432438957e-01 -9.999372158999999538e-01
-5.843594111944842018e-01 9.930082014000000123e-01
-5.837556691714095303e-01 -9.978264413999999860e-01
-5.818633772856116604e-01 9.929967378999999816e-01
-5.813155696607603673e-01 9.932948456000000315e-01
-5.812113293533971436e-01 -9.998131197999999831e-01
-5.807826375131937002e-01 9.932973421999999886e-01
-5.795075346967412111e-01 9.941377640999999876e-01
-5.785793126078720983e-01 -9.999363694999999774e-01
-5.785633034551791454e-01 -9.917442123999999914e-01
-5.785203143563240058e-01 9.941336667000000293e-01
-5.784905287545957231e-01 -9.953021049000000398e-01
-5.780725357531426578e-01 9.973433879999999974e-01
-5.773173576238100901e-01 9.930086976999999981e-01
-5.773101553457284929e-01 -9.999363568000000368e-01
-5.767877251085774537e-01 -9.978144300000000300e-01
-5.767489256409413789e-01 9.930089408000000173e-01
-5.765533374631905961e-01 9.932971292000000174e-01
-5.761485968724998630e-01 9.973086489000000388e-01
-5.761015509989932948e-01 9.930128210999999983e-01
-5.749614476513114081e-01 -9.918582095000000320e-01
-5.748723208930689443e-01 9.941301852999999689e-01
-5.746350938366120431e-01 9.930125811000000136e-01
-5.744816467939870552e-01 -9.999368267999999560e-01
-5.744269133274209072e-01 -9.999353108999999851e-01
-5.741408080468118902e-01 -9.999902449999999998e-01
-5.737604160015439270e-01 -9.999602616999999638e-01
-5.735265145627899130e-01 -9.952798162999999532e-01
-5.731794105393649419e-01 9.971004639999999641e-01
-5.731647573388877204e-01 -9.999994372999999603e-01
-5.728056508773722300e-01 -9.976320547000000483e-01
-5.726329556822477018e-01 -9.999616056000000253e-01
-5.725338114369130649e-01 -9.999980966999999499e-01
-5.723001555853710620e-01 9.929863714000000119e-01
-5.722227210967224531e-01 -9.952840428000000461e-01
-5.719921138129941962e-01 9.932928723999999709e-01
-5.704768139652742764e-01 9.944284076999999611e-01
-5.701407144908221536e-01 -9.999526420000000027e-01
-5.701026317862781800e-01 -9.952956590000000547e-01
-5.699756479121601549e-01 9.932949616999999787e-01
-5.697232995364479580e-01 9.973281328999999973e-01
-5.696213688698151811e-01 -9.999272164000000407e-01
-5.695857025498208825e-01 -9.980361880000000463e-01
-5.694029829891241734e-01 -9.959771326999999896e-01
-5.693843137753583639e-01 -9.953699388000000203e-01
-5.693241799377133372e-01 9.953463165000000501e-01
-5.692696779192614187e-01 9.941327986000000339e-01
-5.687457439699538098e-01 -9.953639871999999666e-01
-5.687304047047857525e-01 -9.999805367999999861e-01
-5.685125370029217029e-01 9.930006184999999874e-01
-5.681389155474253494e-01 9.974009153999999766e-01
-5.679807874443988380e-01 -9.998069330000000088e-01
-5.674483439236710502e-01 9.940996291999999457e-01
-5.672844162429668824e-01 9.941380297999999893e-01
-5.669775357872975929e-01 9.994979006999999971e-01
-5.667721767287006163e-01 -9.976853428999999940e-01
-5.666889697941566162e-01 9.973430398999999502e-01
-5.664241572305388495e-01 -9.952940944999999484e-01
-5.662020093308025581e-01 9.994972185999999592e-01
-5.660427257705146209e-01 9.932948342999999847e-01
-5.659511156262320153e-01 -9.976995959000000136e-01
-5.657312203013179497e-01 -9.978264326000000350e-01
-5.656027639229618265e-01 -9.999986544000000199e-01
-5.653092013509941616e-01 9.930123851000000057e-01
-5.652759244111466019e-01 -9.999529875999999540e-01
-5.652758068400902669e-01 -9.960519027999999997e-01
-5.649166328675674364e-01 -9.978140638000000395e-01
-5.649076281729662474e-01 9.973093436000000089e-01
-5.648973747794856504e-01 -9.998889989000000478e-01
-5.648281868240867531e-01 -9.998239251999999633e-01
-5.647381761811637313e-01 9.930128242000000327e-01
-5.647080644885315026e-01 9.941139843999999837e-01
-5.646282294103615040e-01 -9.960152292999999712e-01
-5.644021332631027343e-01 9.932847224999999947e-01
-5.639693818459041719e-01 9.930125804999999639e-01
-5.639331749283332806e-01 9.941235997999999796e-01
-5.638553595756993220e-01 -9.998595042000000266e-01
-5.638383722776738605e-01 9.932805828999999864e-01
