# XXZ spin chain 
# MCLM for L=32, Delta=0.375
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.00426 0.62738 1.87738
0.00428 0.60987 1.85987
0.00430 0.59345 1.84345
0.00432 0.57777 1.82777
0.00434 0.56253 1.81253
0.00436 0.54774 1.79774
0.00438 0.53354 1.78354
0.00440 0.51988 1.76988
0.00442 0.50660 1.7566
0.00444 0.49373 1.74373
0.00446 0.48131 1.73131
0.00448 0.46927 1.71927
0.00450 0.45766 1.70766
0.00452 0.44652 1.69652
0.00454 0.43559 1.68559
0.00456 0.42480 1.6748
0.00458 0.41442 1.66442
0.00460 0.40455 1.65455
0.00462 0.39526 1.64526
0.00464 0.38654 1.63654
0.00466 0.37827 1.62827
0.00468 0.37029 1.62029
0.00470 0.36253 1.61253
0.00472 0.35507 1.60507
0.00474 0.34803 1.59803
0.00476 0.34138 1.59138
0.00478 0.33510 1.5851
0.00480 0.32921 1.57921
0.00482 0.32376 1.57376
0.00484 0.31866 1.56866
0.00486 0.31381 1.56381
0.00488 0.30911 1.55911
0.00490 0.30452 1.55452
0.00492 0.29998 1.54998
0.00494 0.29555 1.54555
0.00496 0.29137 1.54137
0.00498 0.28748 1.53748
0.00500 0.28383 1.53383
0.00502 0.28040 1.5304
0.00504 0.27713 1.52713
0.00506 0.27399 1.52399
0.00508 0.27098 1.52098
0.00510 0.26806 1.51806
0.00512 0.26523 1.51523
0.00514 0.26247 1.51247
0.00516 0.25977 1.50977
0.00518 0.25712 1.50712
0.00520 0.25452 1.50452
0.00522 0.25199 1.50199
0.00524 0.24954 1.49954
0.00526 0.24721 1.49721
0.00528 0.24504 1.49504
0.00530 0.24299 1.49299
0.00532 0.24103 1.49103
0.00534 0.23915 1.48915
0.00536 0.23736 1.48736
0.00538 0.23565 1.48565
0.00540 0.23397 1.48397
0.00542 0.23233 1.48233
0.00544 0.23078 1.48078
0.00546 0.22933 1.47933
0.00548 0.22798 1.47798
0.00550 0.22670 1.4767
0.00552 0.22548 1.47548
0.00554 0.22430 1.4743
0.00556 0.22318 1.47318
0.00558 0.22214 1.47214
0.00560 0.22115 1.47115
0.00562 0.22021 1.47021
0.00564 0.21932 1.46932
0.00566 0.21846 1.46846
0.00568 0.21764 1.46764
0.00570 0.21686 1.46686
0.00572 0.21612 1.46612
0.00574 0.21540 1.4654
0.00576 0.21473 1.46473
0.00578 0.21412 1.46412
0.00580 0.21359 1.46359
0.00582 0.21310 1.4631
0.00584 0.21266 1.46266
0.00586 0.21228 1.46228
0.00588 0.21193 1.46193
0.00590 0.21162 1.46162
0.00592 0.21134 1.46134
0.00594 0.21108 1.46108
0.00596 0.21084 1.46084
0.00598 0.21062 1.46062
0.00600 0.21042 1.46042
0.00602 0.21026 1.46026
0.00604 0.21013 1.46013
0.00606 0.21003 1.46003
0.00608 0.20996 1.45996
0.00610 0.20991 1.45991
0.00612 0.20989 1.45989
0.00614 0.20990 1.4599
0.00616 0.20991 1.45991
0.00618 0.20995 1.45995
0.00620 0.21001 1.46001
0.00622 0.21008 1.46008
0.00624 0.21018 1.46018
0.00626 0.21029 1.46029
0.00628 0.21040 1.4604
0.00630 0.21053 1.46053
0.00632 0.21069 1.46069
0.00634 0.21087 1.46087
0.00636 0.21108 1.46108
0.00638 0.21130 1.4613
0.00640 0.21155 1.46155
0.00642 0.21182 1.46182
0.00644 0.21210 1.4621
0.00646 0.21239 1.46239
0.00648 0.21270 1.4627
0.00650 0.21301 1.46301
0.00652 0.21333 1.46333
0.00654 0.21365 1.46365
0.00656 0.21399 1.46399
0.00658 0.21432 1.46432
0.00660 0.21467 1.46467
0.00662 0.21501 1.46501
0.00664 0.21537 1.46537
0.00666 0.21572 1.46572
0.00668 0.21607 1.46607
0.00670 0.21642 1.46642
0.00672 0.21677 1.46677
0.00674 0.21713 1.46713
0.00676 0.21750 1.4675
0.00678 0.21787 1.46787
0.00680 0.21824 1.46824
0.00682 0.21861 1.46861
0.00684 0.21899 1.46899
0.00686 0.21937 1.46937
0.00688 0.21974 1.46974
0.00690 0.22012 1.47012
0.00692 0.22049 1.47049
0.00694 0.22086 1.47086
0.00696 0.22124 1.47124
0.00698 0.22161 1.47161
0.00700 0.22197 1.47197
0.00702 0.22234 1.47234
0.00704 0.22270 1.4727
0.00706 0.22307 1.47307
0.00708 0.22342 1.47342
0.00710 0.22378 1.47378
0.00712 0.22413 1.47413
0.00714 0.22448 1.47448
0.00716 0.22483 1.47483
0.00718 0.22518 1.47518
0.00720 0.22552 1.47552
0.00722 0.22586 1.47586
0.00724 0.22619 1.47619
0.00726 0.22651 1.47651
0.00728 0.22683 1.47683
0.00730 0.22714 1.47714
0.00732 0.22744 1.47744
0.00734 0.22773 1.47773
0.00736 0.22803 1.47803
0.00738 0.22832 1.47832
0.00740 0.22860 1.4786
0.00742 0.22889 1.47889
0.00744 0.22916 1.47916
0.00746 0.22943 1.47943
0.00748 0.22969 1.47969
0.00750 0.22994 1.47994
0.00752 0.23018 1.48018
0.00754 0.23042 1.48042
0.00756 0.23064 1.48064
0.00758 0.23086 1.48086
0.00760 0.23107 1.48107
