# Interacting fermions with random potentials (interaction = pair hopping)
# L=10, t=1, V=6
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W <r>
2.000000000000000000e+00 5.267820263613750553e-01
3.000000000000000000e+00 5.206122832991000315e-01
4.000000000000000000e+00 5.107345133837000173e-01
5.000000000000000000e+00 5.044418163028500102e-01
6.000000000000000000e+00 4.972601130946500136e-01
7.000000000000000000e+00 4.886860173089500048e-01
8.000000000000000000e+00 4.814649944840500018e-01
1.000000000000000000e+01 4.674504282056750060e-01
