# Interacting fermions with random potentials (interaction = pair hopping)
# L=12, t=1, V=6
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W <r>
2.000000000000000000e+00 5.295123741611250656e-01
3.000000000000000000e+00 5.281943130628499183e-01
4.000000000000000000e+00 5.266680156447001160e-01
5.000000000000000000e+00 5.237183924494499543e-01
6.000000000000000000e+00 5.191586753902750484e-01
7.000000000000000000e+00 5.131485138638499643e-01
8.000000000000000000e+00 5.052018568187750525e-01
1.000000000000000000e+01 4.860630019333500029e-01
