# Interacting fermions with random potentials (interaction = pair hopping)
# L=14, t=1, V=6
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W <r>
2.000000000000000000e+00 5.307027078468750103e-01
3.000000000000000000e+00 5.307485050878749666e-01
4.000000000000000000e+00 5.308065145220750569e-01
5.000000000000000000e+00 5.304493259006999306e-01
6.000000000000000000e+00 5.298537572169500498e-01
7.000000000000000000e+00 5.282535666769999638e-01
8.000000000000000000e+00 5.248728102043499488e-01
1.000000000000000000e+01 5.108679958201000071e-01
