# Interacting fermions (standard model)
# W=2.0
# Medians of eigenstate-to-eigenstate fluctuations <delta A>
# L median
1.000000000000000000e+01 2.476263703024071117e-01
1.200000000000000000e+01 1.505568777631202393e-01
1.400000000000000000e+01 8.760124207447529676e-02
1.600000000000000000e+01 4.858916109714963433e-02
