# Heisenberg model
# L=inf, J=1
# Values of V in the thermodynamic limit as a function of W
# W V_inf
1.000000000000000000e+00 8.571428571428572063e-01
2.000000000000000000e+00 3.157894736842105643e-01
2.500000000000000000e+00 2.142857142857143016e-01
3.500000000000000000e+00 1.153846153846153910e-01
6.000000000000000000e+00 4.081632653061224164e-02
1.000000000000000000e+01 1.488833746898263199e-02
