# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the projection of I3 on A3 (cf. Chapter V in the paper)
# Alpha, Delta, Projection

2.40 0.5 5.861151498814257677e-01
2.50 0.5 6.250438719740113447e-01
2.60 0.5 5.770431586557908110e-01
2.70 0.5 5.487405844424315671e-01
2.80 0.5 2.659622708488625665e-28
2.90 0.5 2.398819176419587231e-29
3.00 0.5 2.041142433970379046e-28
3.10 0.5 0.000000000000000000e+00
3.20 0.5 5.091313057090898361e-28
3.30 0.5 9.651365118400336799e-30
3.40 0.5 8.852898151254100482e-23
3.50 0.5 8.437885777448642853e-30
3.60 0.5 3.560380378785984091e-26
3.70 0.5 2.709903158224602691e-28
3.80 0.5 2.437294203261164618e-30
3.90 0.5 3.566878342993149495e-30
4.00 0.5 9.368988263020070493e-28
4.10 0.5 0.000000000000000000e+00
4.20 0.5 2.488906040430507971e-30
4.30 0.5 0.000000000000000000e+00
4.40 0.5 0.000000000000000000e+00
4.50 0.5 0.000000000000000000e+00
4.60 0.5 0.000000000000000000e+00
4.70 0.5 5.256025382320698085e-30
4.80 0.5 0.000000000000000000e+00
4.90 0.5 0.000000000000000000e+00
5.00 0.5 0.000000000000000000e+00
 
2.00 0.6 2.116172333803592598e-01
2.10 0.6 3.109076726776063837e-01
2.20 0.6 4.743099195948083380e-01
2.30 0.6 5.273497064234216047e-01
2.40 0.6 4.753430000104902353e-01
2.50 0.6 4.399070867465276202e-01
2.60 0.6 5.913644519727583640e-30
2.70 0.6 5.016349066966955312e-29
2.80 0.6 1.706828659907017346e-29
2.90 0.6 1.487723291406264395e-30
3.00 0.6 0.000000000000000000e+00
3.10 0.6 1.020931672833194147e-30
3.20 0.6 0.000000000000000000e+00
3.30 0.6 0.000000000000000000e+00
3.40 0.6 0.000000000000000000e+00
3.50 0.6 0.000000000000000000e+00
3.60 0.6 0.000000000000000000e+00
3.70 0.6 0.000000000000000000e+00
3.80 0.6 0.000000000000000000e+00
3.90 0.6 0.000000000000000000e+00
4.00 0.6 0.000000000000000000e+00
4.10 0.6 1.331847323095829131e-29
4.20 0.6 3.243770416941076982e-29
4.30 0.6 4.665271708460910189e-29
4.40 0.6 8.998647598516998640e-28
4.50 0.6 0.000000000000000000e+00
4.60 0.6 5.377421114790118315e-30
4.70 0.6 0.000000000000000000e+00
4.80 0.6 5.114449562867922154e-30
4.90 0.6 0.000000000000000000e+00
5.00 0.6 3.261057057865928255e-30
 
2.00 0.7 2.733209854197634070e-01
2.10 0.7 3.735905195296821413e-01
2.20 0.7 3.476469299613093034e-01
2.30 0.7 6.982198115562107706e-26
2.40 0.7 9.647413042628092781e-29
2.50 0.7 6.800710321528389166e-30
2.60 0.7 5.006513278415832591e-30
2.70 0.7 1.583074835474433318e-30
2.80 0.7 0.000000000000000000e+00
2.90 0.7 3.596998797457149545e-30
3.00 0.7 0.000000000000000000e+00
3.10 0.7 2.919477749296279006e-30
3.20 0.7 0.000000000000000000e+00
3.30 0.7 0.000000000000000000e+00
3.40 0.7 2.203158628095827320e-30
3.50 0.7 0.000000000000000000e+00
3.60 0.7 3.175275310392030691e-29
3.70 0.7 4.746047369846532541e-30
3.80 0.7 0.000000000000000000e+00
3.90 0.7 7.527877394295069962e-30
4.00 0.7 5.196070038132242440e-30
4.10 0.7 4.410177046606868107e-30
4.20 0.7 2.944309189084969517e-30
4.30 0.7 1.108599149588643354e-30
4.40 0.7 0.000000000000000000e+00
4.50 0.7 1.356765517048217568e-29
4.60 0.7 0.000000000000000000e+00
4.70 0.7 1.281247862563223547e-29
4.80 0.7 1.041300813205664236e-29
4.90 0.7 0.000000000000000000e+00
5.00 0.7 0.000000000000000000e+00
 
2.00 0.8 2.577652962340422071e-01
2.10 0.8 1.970138575979715756e-01
2.20 0.8 0.000000000000000000e+00
2.30 0.8 2.124245145642744294e-30
2.40 0.8 0.000000000000000000e+00
2.50 0.8 0.000000000000000000e+00
2.60 0.8 0.000000000000000000e+00
2.70 0.8 0.000000000000000000e+00
2.80 0.8 0.000000000000000000e+00
2.90 0.8 0.000000000000000000e+00
3.00 0.8 0.000000000000000000e+00
3.10 0.8 0.000000000000000000e+00
3.20 0.8 1.245526838182380484e-30
3.30 0.8 0.000000000000000000e+00
3.40 0.8 0.000000000000000000e+00
3.50 0.8 3.018274874952077714e-30
3.60 0.8 6.846597883893093290e-29
3.70 0.8 7.579959985982246976e-30
3.80 0.8 0.000000000000000000e+00
3.90 0.8 3.345052634861540235e-30
4.00 0.8 4.907941899645376144e-29
4.10 0.8 6.452614980253566555e-27
4.20 0.8 4.595495253025861510e-02
