# Interacting fermions (standard model)
# Delta=1, W=20.0
# Medians of eigenstate-to-eigenstate fluctuations <delta A>
# L median
1.000000000000000000e+01 1.003159735361224936e+00
1.200000000000000000e+01 9.824526572721313800e-01
1.400000000000000000e+01 9.832479010411679932e-01
1.600000000000000000e+01 9.858047007185588573e-01
