# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=3, W=6.0
# Mean gap ratio for middle Z/3 levels.
# L <r>
1.000000000000000000e+01 4.583762755411500134e-01
1.200000000000000000e+01 4.725529586559499839e-01
1.400000000000000000e+01 4.888813202235500199e-01
1.600000000000000000e+01 5.040752321531000169e-01
