# Interacting fermions with random potentials (interaction = pair hopping)
# L=12, t=1,
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W V <r>
8.000000000000000000e+00 6.000000000000000000e+00 5.052018568187750525e-01
8.000000000000000000e+00 7.000000000000000000e+00 5.025236163188000482e-01
8.000000000000000000e+00 8.000000000000000000e+00 4.978649135661499803e-01
8.000000000000000000e+00 9.000000000000000000e+00 4.921242246961500255e-01
8.000000000000000000e+00 1.000000000000000000e+01 4.863585396294999863e-01
8.000000000000000000e+00 1.200000000000000000e+01 4.742844553504499960e-01
8.000000000000000000e+00 1.400000000000000000e+01 4.649267888175500074e-01
8.000000000000000000e+00 1.600000000000000000e+01 4.588884359556000270e-01
8.000000000000000000e+00 2.000000000000000000e+01 4.500671544557500181e-01
1.000000000000000000e+01 1.000000000000000000e+00 4.038690052589666846e-01
1.000000000000000000e+01 2.000000000000000000e+00 4.318816030773000025e-01
1.000000000000000000e+01 3.000000000000000000e+00 4.569022005091250005e-01
1.000000000000000000e+01 4.000000000000000000e+00 4.735285508071999661e-01
1.000000000000000000e+01 5.000000000000000000e+00 4.825212599873999753e-01
1.000000000000000000e+01 6.000000000000000000e+00 4.860630019333500029e-01
1.000000000000000000e+01 7.000000000000000000e+00 4.870314863894500412e-01
1.000000000000000000e+01 8.000000000000000000e+00 4.838136859089000041e-01
1.000000000000000000e+01 9.000000000000000000e+00 4.817233324531000060e-01
1.000000000000000000e+01 1.000000000000000000e+01 4.764981008436500187e-01
1.000000000000000000e+01 1.200000000000000000e+01 4.662200644746000155e-01
1.000000000000000000e+01 1.400000000000000000e+01 4.577194340173499354e-01
1.000000000000000000e+01 1.600000000000000000e+01 4.499318364979000284e-01
1.000000000000000000e+01 2.000000000000000000e+01 4.402625897992499815e-01
1.200000000000000000e+01 1.000000000000000000e+00 3.976774588807500121e-01
1.200000000000000000e+01 2.000000000000000000e+00 4.148639182591999930e-01
1.200000000000000000e+01 3.000000000000000000e+00 4.341390494638500130e-01
1.200000000000000000e+01 4.000000000000000000e+00 4.505401440310999872e-01
1.200000000000000000e+01 5.000000000000000000e+00 4.599106694000499873e-01
1.200000000000000000e+01 6.000000000000000000e+00 4.664391301860500438e-01
1.200000000000000000e+01 7.000000000000000000e+00 4.695586291022499914e-01
1.200000000000000000e+01 8.000000000000000000e+00 4.701840188031000123e-01
1.200000000000000000e+01 9.000000000000000000e+00 4.680267653149000062e-01
1.200000000000000000e+01 1.000000000000000000e+01 4.653061659227999969e-01
1.200000000000000000e+01 1.200000000000000000e+01 4.581320725984500131e-01
1.200000000000000000e+01 1.400000000000000000e+01 4.512067461797499845e-01
1.200000000000000000e+01 1.600000000000000000e+01 4.457112089954999856e-01
1.200000000000000000e+01 2.000000000000000000e+01 4.345271695603999951e-01
1.400000000000000000e+01 1.000000000000000000e+00 3.939780173413000020e-01
1.400000000000000000e+01 2.000000000000000000e+00 4.052333032586499795e-01
1.400000000000000000e+01 3.000000000000000000e+00 4.184890967666500261e-01
1.400000000000000000e+01 4.000000000000000000e+00 4.316196703078499786e-01
1.400000000000000000e+01 5.000000000000000000e+00 4.418539477384499370e-01
1.400000000000000000e+01 6.000000000000000000e+00 4.491675037076000021e-01
1.400000000000000000e+01 7.000000000000000000e+00 4.542011784013000320e-01
1.400000000000000000e+01 8.000000000000000000e+00 4.561149384943999907e-01
1.400000000000000000e+01 9.000000000000000000e+00 4.551704190496500546e-01
1.400000000000000000e+01 1.000000000000000000e+01 4.546136285469000171e-01
1.400000000000000000e+01 1.200000000000000000e+01 4.508617952907500448e-01
1.400000000000000000e+01 1.400000000000000000e+01 4.445348572984499924e-01
1.400000000000000000e+01 1.600000000000000000e+01 4.394968227223499668e-01
1.400000000000000000e+01 2.000000000000000000e+01 4.302583225274499990e-01
1.600000000000000000e+01 1.000000000000000000e+00 3.926328470147000260e-01
1.600000000000000000e+01 2.000000000000000000e+00 3.994674087415500119e-01
1.600000000000000000e+01 3.000000000000000000e+00 4.103967575541500046e-01
1.600000000000000000e+01 4.000000000000000000e+00 4.199974165091500122e-01
1.600000000000000000e+01 5.000000000000000000e+00 4.294403107204499692e-01
1.600000000000000000e+01 6.000000000000000000e+00 4.362112241739499741e-01
1.600000000000000000e+01 7.000000000000000000e+00 4.405914773750500557e-01
1.600000000000000000e+01 8.000000000000000000e+00 4.439132006072000203e-01
1.600000000000000000e+01 9.000000000000000000e+00 4.454125607919000585e-01
1.600000000000000000e+01 1.000000000000000000e+01 4.457711280372000373e-01
1.600000000000000000e+01 1.200000000000000000e+01 4.429092759489500208e-01
1.600000000000000000e+01 1.400000000000000000e+01 4.407513038921499482e-01
1.600000000000000000e+01 1.600000000000000000e+01 4.348760062031500340e-01
1.600000000000000000e+01 2.000000000000000000e+01 4.271817836942999325e-01
2.000000000000000000e+01 1.000000000000000000e+00 3.907079353142500211e-01
2.000000000000000000e+01 2.000000000000000000e+00 3.942689575805500279e-01
2.000000000000000000e+01 3.000000000000000000e+00 3.993781123641499953e-01
2.000000000000000000e+01 4.000000000000000000e+00 4.052464624582750030e-01
2.000000000000000000e+01 5.000000000000000000e+00 4.112700640279000064e-01
2.000000000000000000e+01 6.000000000000000000e+00 4.161772146603500144e-01
2.000000000000000000e+01 7.000000000000000000e+00 4.211061316479000616e-01
2.000000000000000000e+01 8.000000000000000000e+00 4.236784188413499908e-01
2.000000000000000000e+01 9.000000000000000000e+00 4.284779683496000025e-01
2.000000000000000000e+01 1.000000000000000000e+01 4.293693769512500480e-01
2.000000000000000000e+01 1.200000000000000000e+01 4.290982012142500190e-01
2.000000000000000000e+01 1.400000000000000000e+01 4.293360057314499767e-01
2.000000000000000000e+01 1.600000000000000000e+01 4.283741444579000079e-01
2.000000000000000000e+01 2.000000000000000000e+01 4.224595552074499882e-01
