# Heisenberg model
# L=16, J=1, W=7.0
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e4
1.010000000000000000e+02 1.325254590022635071e-01
2.010000000000000000e+02 2.593246755744593179e-01
3.010000000000000000e+02 3.929951862987344224e-01
4.010000000000000000e+02 5.135920781006039215e-01
5.010000000000000000e+02 6.218094459998489976e-01
6.010000000000000000e+02 7.772580007479740205e-01
7.010000000000000000e+02 8.935919463501844628e-01
8.010000000000000000e+02 1.006957871841910102e+00
9.010000000000000000e+02 1.120166515525909734e+00
1.001000000000000000e+03 1.268942015314215688e+00
1.101000000000000000e+03 1.435814149267462314e+00
1.201000000000000000e+03 1.601236256604618324e+00
1.301000000000000000e+03 1.741045788664451921e+00
1.401000000000000000e+03 1.827242581477040329e+00
1.501000000000000000e+03 2.000437910033412869e+00
1.601000000000000000e+03 2.105046574857847741e+00
1.701000000000000000e+03 2.219232473349502577e+00
1.801000000000000000e+03 2.372143927076996395e+00
1.901000000000000000e+03 2.601772158125752465e+00
2.001000000000000000e+03 2.728378540879449421e+00
2.101000000000000000e+03 2.809137905790205725e+00
2.201000000000000000e+03 2.919734506212656733e+00
2.301000000000000000e+03 3.133161111802690080e+00
2.401000000000000000e+03 3.246909036890701650e+00
2.501000000000000000e+03 3.426943853684365049e+00
2.601000000000000000e+03 3.540559523183743451e+00
2.701000000000000000e+03 3.728714026287556660e+00
2.801000000000000000e+03 3.769417188270169028e+00
2.901000000000000000e+03 3.868155591228570778e+00
3.001000000000000000e+03 3.937029749234509435e+00
