# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 7.768665
1.000000 2.460347
1.500000 1.037947
2.000000 0.422681
2.500000 0.182947
3.000000 0.064875
3.500000 0.018663
4.000000 0.005413
4.500000 0.001914
5.000000 0.000969
 
