# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 7.481736
1.000000 2.565146
1.500000 1.095205
2.000000 0.393826
2.500000 0.138826
3.000000 0.048404
3.500000 0.020045
4.000000 0.007683
4.500000 0.004571
5.000000 0.002386
