# Random transverse-field Ising model
# L=22, J=1=gamma, W_J=0.2
# The energy conductivity sigma^E_0
# W sigma^E_0

0.500000 6.894702
1.000000 2.083964
1.500000 0.875947
2.000000 0.323815
2.500000 0.139060
3.000000 0.043828
3.500000 0.015204
4.000000 0.008194
4.500000 0.004581
5.000000 0.002252
