# Interacting fermions (standard model)
# L=12, Delta=1, W=2.0
# Probability density functions f of ||N_i^perp||
# ||N_i^perp|| f(||N_i^perp||) 
7.676784028920000114e-02 1.797216561768024898e-02
7.908161262759999532e-02 8.986082808840070713e-03
8.139538496600000339e-02 6.290257966188086969e-02
8.370915730440001146e-02 9.884691089724076396e-02
8.602292964280000565e-02 6.290257966188086969e-02
8.833670198119999983e-02 5.391649685304041734e-02
9.065047431960000790e-02 8.087474527956110826e-02
9.296424665800000209e-02 1.527634077502821042e-01
9.527801899640001015e-02 1.527634077502811882e-01
9.759179133480000434e-02 2.156659874121629739e-01
9.990556367319999853e-02 2.336381530298418385e-01
1.022193360116000066e-01 2.965407326917240960e-01
1.045331083500000008e-01 3.414711467359247132e-01
1.068468806883999950e-01 3.864015607801253305e-01
1.091606530268000030e-01 4.493041404420035079e-01
1.114744253651999972e-01 4.942345544862037920e-01
1.137881977036000053e-01 4.942345544862068452e-01
1.161019700419999995e-01 7.728031215602506609e-01
1.184157423803999937e-01 7.188866247072098759e-01
1.207295147188000017e-01 7.997613699867662795e-01
1.230432870571999959e-01 9.884691089724075841e-01
1.253570593955999901e-01 1.213121179193416665e+00
1.276708317340000121e-01 1.087316019869654982e+00
1.299846040723999785e-01 1.015427357398934083e+00
1.322983764108000004e-01 9.884691089724016999e-01
1.346121487492000224e-01 1.195149013575736552e+00
1.369259210875999888e-01 1.347912421326018517e+00
1.392396934260000108e-01 1.572564491547021603e+00
1.415534657643999772e-01 1.527634077502820986e+00
1.438672381027999991e-01 1.905049555474083167e+00
1.461810104412000211e-01 1.869105224238745810e+00
1.484947827795999875e-01 1.914035638282946428e+00
1.508085551180000095e-01 2.363339778724952822e+00
1.531223274563999759e-01 2.300437199063071869e+00
1.554360997947999978e-01 2.300437199063044336e+00
1.577498721332000198e-01 2.444214524004513667e+00
1.600636444715999862e-01 2.183618122548149909e+00
1.623774168100000082e-01 2.821630001975798940e+00
1.646911891483999746e-01 2.938449078490720900e+00
1.670049614867999965e-01 2.911490830064165536e+00
1.693187338252000185e-01 3.154115065902883153e+00
1.716325061635999849e-01 3.405725384550406520e+00
1.739462785020000068e-01 3.846043442183572747e+00
1.762600508403999733e-01 3.935904270271974426e+00
1.785738231787999952e-01 4.528985735655368217e+00
1.808875955172000172e-01 4.142584174875296732e+00
1.832013678555999836e-01 4.618846563743823630e+00
1.855151401940000055e-01 5.337733188450969557e+00
1.878289125323999997e-01 5.175983697891973101e+00
1.901426848707999939e-01 5.975745067878611039e+00
1.924564572092000159e-01 6.766520355056612424e+00
1.947702295475999823e-01 6.937255928424575835e+00
1.970840018860000042e-01 8.096460610764854238e+00
1.993977742243999984e-01 8.716500324575024550e+00
2.017115465627999926e-01 9.570178191414617785e+00
2.040253189011999868e-01 1.025312048488670413e+01
2.063390912395999810e-01 1.122361742824118025e+01
2.086528635780000029e-01 1.197844838418374103e+01
2.109666359163999971e-01 1.305677832124485604e+01
2.132804082547999913e-01 1.373073453190754378e+01
2.155941805931999855e-01 1.467427322683609958e+01
2.179079529315999797e-01 1.544707634839598676e+01
2.202217252700000016e-01 1.651642020264795008e+01
2.225354976083999958e-01 1.651642020264834443e+01
2.248492699467999900e-01 1.797216561768003373e+01
2.271630422851999842e-01 1.843045584093131595e+01
2.294768146235999784e-01 1.810695685981263381e+01
2.317905869620000003e-01 1.813391510823915098e+01
2.341043593003999945e-01 1.906846772035897075e+01
2.364181316387999887e-01 1.911339813440271485e+01
2.387319039771999829e-01 1.846640017216667573e+01
2.410456763155999771e-01 1.809797077700379120e+01
2.433594486539999990e-01 1.722632074454631024e+01
2.456732209923999932e-01 1.391944227089351749e+01
2.479869933307999874e-01 3.270934142417766033e+00
