# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=3.0, h_i in [-W,W]
# Cumulative distribution function (CDF) of the fitting parameter tau_max; for 10^3 realizations of the disorder
# tau_max CDF

171.0863508611256 0.00123916
247.77916799745728 0.00247831
367.3158246683788 0.00371747
468.4071349301525 0.00495663
559.5759273530342 0.00619579
568.0460217186748 0.00743494
609.4779462648086 0.0086741
657.8388015089658 0.00991326
748.8726070321636 0.0111524
758.6665389524674 0.0123916
776.6278921659398 0.0136307
777.4096830771248 0.0148699
788.3450276432483 0.016109
808.4534066307608 0.0173482
820.4360504254958 0.0185874
833.3546224437765 0.0198265
834.6640435452239 0.0210657
858.4150559234557 0.0223048
875.340690606348 0.023544
896.0108556242578 0.0247831
896.5954841532465 0.0260223
920.9073412179625 0.0272615
930.9068899536371 0.0285006
931.3398903956916 0.0297398
937.1573039174274 0.0309789
941.0898489081545 0.0322181
953.0928732733936 0.0334572
971.931662610247 0.0346964
973.811489656446 0.0359356
982.4386905813532 0.0371747
986.9370523083307 0.0384139
991.0057017947008 0.039653
993.1572177351102 0.0408922
1017.2899401100991 0.0421314
1031.6231509587046 0.0433705
1044.4391160678017 0.0446097
1048.4293333958785 0.0458488
1058.290718352412 0.047088
1064.8668465182195 0.0483271
1072.1677092715263 0.0495663
1079.4644216203562 0.0508055
1082.3003544280616 0.0520446
1097.1636438573428 0.0532838
1105.11006576526 0.0545229
1122.2549227309312 0.0557621
1124.414338008434 0.0570012
1131.6429794450353 0.0582404
1134.2319110391459 0.0594796
1145.7185315344466 0.0607187
1152.6261788834267 0.0619579
1184.4417658501309 0.063197
1191.0113433400154 0.0644362
1192.971344534669 0.0656753
1214.665562317827 0.0669145
1229.5898270763603 0.0681537
1230.2851663492618 0.0693928
1259.1585573041036 0.070632
1270.309116454901 0.0718711
1270.9118934072474 0.0731103
1271.8869230278542 0.0743494
1275.1956420911968 0.0755886
1295.8916130896687 0.0768278
1303.9233089818729 0.0780669
1332.6286716714876 0.0793061
1343.1732409307915 0.0805452
1343.780360375674 0.0817844
1357.939390095502 0.0830235
1372.3246985916485 0.0842627
1372.5271515468162 0.0855019
1378.6653410915103 0.086741
1390.2447076667054 0.0879802
1390.3735195019026 0.0892193
1390.4850545891006 0.0904585
1405.2199495755872 0.0916976
1411.5120414861603 0.0929368
1414.617217836023 0.094176
1415.3698632835615 0.0954151
1443.6906124839227 0.0966543
1446.7112234387207 0.0978934
1457.0703788831129 0.0991326
1460.5065434624605 0.100372
1464.4143545917211 0.101611
1485.5333056531304 0.10285
1490.917805378351 0.104089
1493.5333995833598 0.105328
1502.1778862593537 0.106568
1515.9732335165645 0.107807
1516.040916442917 0.109046
1539.1316897867782 0.110285
1541.9435911700364 0.111524
1550.3024897890577 0.112763
1559.5640272919231 0.114002
1562.185204441715 0.115242
1564.8400208619307 0.116481
1590.1681071108142 0.11772
1595.2129714757198 0.118959
1608.6995682392276 0.120198
1609.60510556011 0.121437
1614.4895476105642 0.122677
