# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=2.5, h_i in [-W,W]
# Cumulative distribution function (CDF) of the fitting parameter tau_max; for 10^3 realizations of the disorder
# tau_max CDF

72.503765517369 0.00121212
87.28219737587582 0.00242424
123.52755974263624 0.00363636
137.15372212738433 0.00484848
140.14404597392488 0.00606061
172.35564118964746 0.00727273
217.08147663519313 0.00848485
224.29973589998616 0.00969697
245.5009088631991 0.0109091
247.1071235728585 0.0121212
264.5879992766612 0.0133333
281.53848564597433 0.0145455
286.8760531145926 0.0157576
291.7129040058256 0.0169697
293.55453987447544 0.0181818
296.10178123717253 0.0193939
307.01610941409194 0.0206061
310.05111669830023 0.0218182
341.0404084473603 0.0230303
352.060740998131 0.0242424
352.59357183149854 0.0254545
366.9600004543824 0.0266667
371.68205177965194 0.0278788
372.95975089566826 0.0290909
373.7308955797419 0.030303
383.64429715008384 0.0315152
402.9175984328018 0.0327273
404.0045715412012 0.0339394
408.0274822183042 0.0351515
410.64627566499473 0.0363636
412.80020622894403 0.0375758
413.86274936396495 0.0387879
414.6734419873696 0.04
434.9986749684125 0.0412121
444.13109370567093 0.0424242
450.378071998329 0.0436364
462.64103241672586 0.0448485
464.65432977371427 0.0460606
471.6033496093265 0.0472727
479.40256318451867 0.0484848
480.6624895247473 0.049697
481.0478791636497 0.0509091
502.33708547379683 0.0521212
510.20347256585774 0.0533333
510.7786377599227 0.0545455
512.168909783682 0.0557576
519.7725102493015 0.0569697
520.1544308856049 0.0581818
553.6731111036854 0.0593939
555.8495059406736 0.0606061
566.3157555753969 0.0618182
571.2690733798881 0.0630303
576.4607600934371 0.0642424
578.8697777541967 0.0654545
583.4285431028591 0.0666667
583.8696086489621 0.0678788
591.3772873525646 0.0690909
597.1600689608788 0.070303
598.2530616106774 0.0715152
600.4962475298125 0.0727273
604.4194227647292 0.0739394
627.3094675486298 0.0751515
628.562648506948 0.0763636
630.2801792761088 0.0775758
630.8400283616492 0.0787879
630.9990070837423 0.08
634.9809695246253 0.0812121
635.6091905122245 0.0824242
638.8258483420411 0.0836364
645.0581516662501 0.0848485
660.2773888987654 0.0860606
660.9814028069561 0.0872727
663.5871027885958 0.0884848
665.6353993832165 0.089697
666.2373753465307 0.0909091
670.8330864274285 0.0921212
674.0801754233296 0.0933333
682.1115467928641 0.0945455
683.3017588178319 0.0957576
684.8885259308139 0.0969697
694.0100018780888 0.0981818
695.2059420562402 0.0993939
706.5126585548076 0.100606
712.2703456755728 0.101818
718.3642689537038 0.10303
718.5892377993022 0.104242
725.9404733774655 0.105455
729.9448300318276 0.106667
739.8185374852557 0.107879
741.5795010077203 0.109091
744.2005859305657 0.110303
747.6687553666275 0.111515
747.8591814043544 0.112727
748.7124154533172 0.113939
750.6390899167957 0.115152
758.291587815036 0.116364
759.5007853049157 0.117576
769.2719294450288 0.118788
771.1692833270025 0.12
776.587536459919 0.121212
779.4778853220238 0.122424
781.866439824145 0.123636
782.5308998100984 0.124848
784.2991848744066 0.126061
784.4803579971865 0.127273
789.5611561193645 0.128485
789.5787512853693 0.129697
795.7706852998863 0.130909
796.9859684359632 0.132121
797.6287753456248 0.133333
806.0924250336495 0.134545
818.8447806541421 0.135758
820.3876974408798 0.13697
823.5787989010553 0.138182
824.3626518439984 0.139394
828.4130487474938 0.140606
837.9048878126164 0.141818
841.0046078528048 0.14303
851.5116681539797 0.144242
851.9075090142449 0.145455
864.5949857256343 0.146667
865.5404487870456 0.147879
873.8108462583473 0.149091
874.8045970116415 0.150303
876.0426682595036 0.151515
876.8793213455665 0.152727
878.6774514527144 0.153939
879.5800699939927 0.155152
885.3795732430738 0.156364
889.9097892347834 0.157576
893.6628980787713 0.158788
896.1751587601549 0.16
898.0746699965383 0.161212
901.2890382352031 0.162424
901.4552869727289 0.163636
902.0942938338039 0.164848
905.2611372507812 0.166061
923.9805163134289 0.167273
925.5934038112931 0.168485
931.6292739638727 0.169697
935.2993350252119 0.170909
944.3241319069397 0.172121
945.8676594455195 0.173333
950.5494905793669 0.174545
951.6697271086662 0.175758
954.8578366438957 0.17697
961.2670872678711 0.178182
964.7534794146108 0.179394
971.2677285740888 0.180606
976.7669481246104 0.181818
978.7103745731473 0.18303
990.8455958582202 0.184242
991.0412271860233 0.185455
993.1609884400701 0.186667
993.4347304874884 0.187879
994.162374971769 0.189091
