# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=1.5, h_i in [-W,W]
# Cumulative distribution function (CDF) of the fitting parameter tau_max; for 10^3 realizations of the disorder
# tau_max CDF

20.442874195124176 0.030303
21.87789852137871 0.0315657
21.88612873663387 0.0328283
22.81803860331807 0.0340909
23.47897814248202 0.0353535
23.58382921014558 0.0366162
23.695179635725783 0.0378788
24.645540751843825 0.0391414
25.44201625948721 0.040404
26.102733420049965 0.0416667
28.89835193824877 0.0429293
29.65297378469402 0.0441919
29.780981785307954 0.0454545
31.112111716075887 0.0467172
31.178311859738525 0.0479798
31.339210105369904 0.0492424
31.418898099448505 0.0505051
31.51427941834241 0.0517677
31.747981898331684 0.0530303
32.585406179359296 0.0542929
32.64856764911999 0.0555556
32.65709816825249 0.0568182
32.6823618857448 0.0580808
32.705012748540945 0.0593434
33.59271609243033 0.0606061
34.11909218623701 0.0618687
34.21681651658796 0.0631313
34.710343571123985 0.0643939
35.3052108210881 0.0656566
35.35516333517007 0.0669192
35.60364229483238 0.0681818
35.61094127374928 0.0694444
35.62709917110377 0.0707071
35.67419438040072 0.0719697
35.77264892978005 0.0732323
35.9569276109761 0.0744949
36.35296543579845 0.0757576
37.19623775927986 0.0770202
37.700199892769255 0.0782828
37.80703410453531 0.0795455
37.8161073195491 0.0808081
38.04069194714356 0.0820707
38.16303944997941 0.0833333
38.22785219773825 0.084596
38.97568299920906 0.0858586
39.50592574166952 0.0871212
40.00349097254738 0.0883838
40.52483413861169 0.0896465
40.5974933154629 0.0909091
40.96991287271251 0.0921717
41.01288474864747 0.0934343
41.028830687516916 0.094697
41.20159599068542 0.0959596
41.50029529209853 0.0972222
41.61442945224866 0.0984848
41.911801574835586 0.0997475
41.99983956589746 0.10101
42.213611254518156 0.102273
42.36850182950189 0.103535
43.19311978556924 0.104798
43.46850435919005 0.106061
43.59513399532526 0.107323
43.608405776400716 0.108586
43.68173327162286 0.109848
44.39160780439743 0.111111
44.428985031729276 0.112374
44.68643648841295 0.113636
44.91539655042924 0.114899
44.97886060145757 0.116162
45.237163201948896 0.117424
45.57586636916071 0.118687
45.66072262817158 0.119949
46.09270680038928 0.121212
46.370749902002174 0.122475
46.57241588819382 0.123737
47.8217066365151 0.125
48.03689202197818 0.126263
48.15996944477708 0.127525
49.11521518851485 0.128788
49.55560047353013 0.130051
49.736923801852804 0.131313
50.299096695842955 0.132576
50.29920145151636 0.133838
50.64996378525497 0.135101
51.02551401599202 0.136364
51.13770833951679 0.137626
51.26306048220225 0.138889
51.32736032197682 0.140152
51.63022619095117 0.141414
51.63356787019889 0.142677
52.169646450232754 0.143939
52.89216063339562 0.145202
53.40127173395554 0.146465
54.64136017072403 0.147727
55.255173543015154 0.14899
55.31560333874456 0.150253
55.85145530406 0.151515
56.24678711894495 0.152778
56.561961402376795 0.15404
56.97982102052851 0.155303
57.03089406151486 0.156566
57.417820604129474 0.157828
57.486521372609786 0.159091
57.85491832903761 0.160354
58.67080162993463 0.161616
58.72953432257016 0.162879
59.214650409220276 0.164141
59.22406573103198 0.165404
60.51807972663026 0.166667
60.552969761090566 0.167929
61.18435070660642 0.169192
61.185851992614396 0.170455
61.213491119763646 0.171717
61.68640999600578 0.17298
61.87550913765519 0.174242
61.95911905818469 0.175505
62.2355097996608 0.176768
62.46030144128846 0.17803
62.588077787577966 0.179293
63.00529619830862 0.180556
63.30001621461734 0.181818
63.43115560487501 0.183081
63.48292867172018 0.184343
64.21188374772336 0.185606
64.24268884388195 0.186869
65.7434349217985 0.188131
66.01290723964755 0.189394
66.14552195726286 0.190657
66.60663873854233 0.191919
67.14807585504535 0.193182
67.26061235766844 0.194444
67.51452088878654 0.195707
68.96678838359595 0.19697
69.23829673550719 0.198232
69.88284960067328 0.199495
70.05032541219244 0.200758
70.21513400141995 0.20202
70.21895346078685 0.203283
70.61480458307919 0.204545
70.71544875132533 0.205808
70.77231340388244 0.207071
70.9387208606213 0.208333
72.44025178257222 0.209596
72.57761811224964 0.210859
72.68704765653631 0.212121
72.99868753487557 0.213384
73.14853667725903 0.214646
73.1504581218123 0.215909
73.27658187359727 0.217172
73.45828100686674 0.218434
73.59057573452532 0.219697
74.05596436686044 0.22096
74.16382492380899 0.222222
74.44486642412474 0.223485
74.73674822391155 0.224747
75.71886746105511 0.22601
76.15982162356893 0.227273
76.75443420284122 0.228535
76.79016172035104 0.229798
77.25806004794866 0.231061
77.39288397704426 0.232323
77.46968345411219 0.233586
77.54932646260944 0.234848
78.14248882587277 0.236111
78.52715145889245 0.237374
78.72311432597415 0.238636
78.98679252882978 0.239899
79.01016928512432 0.241162
79.19224974772163 0.242424
79.5783624436002 0.243687
79.94452625561401 0.244949
80.01896881234104 0.246212
80.24533275361536 0.247475
80.27656543655765 0.248737
80.57600659868145 0.25
80.71224043120478 0.251263
81.21797684438427 0.252525
81.52670990197738 0.253788
81.57698529699834 0.255051
82.03922353935886 0.256313
82.39871711800667 0.257576
82.8623097297326 0.258838
83.56511918842192 0.260101
83.68814039364956 0.261364
83.87004548771341 0.262626
84.10247797605864 0.263889
84.31962495197111 0.265152
85.84225355482839 0.266414
86.24429836813488 0.267677
86.38060455312207 0.268939
87.01704438946304 0.270202
87.35365389442312 0.271465
87.54389742783677 0.272727
87.55204235078709 0.27399
87.59911042680122 0.275253
88.44608495272333 0.276515
88.82918173502259 0.277778
88.99242695080973 0.27904
89.49413230129322 0.280303
89.63966613699206 0.281566
89.93453071328501 0.282828
90.34118505253291 0.284091
90.6186741165509 0.285354
93.20329516292661 0.286616
