# Transverse-field Ising model
# L=inf, J=1, f=0.5, W_J=0.2
# Values of V in the thermodynamic limit as a function of W
# W V_inf
6.999999999999999556e-01 5.999999999999999778e-01
9.000000000000000222e-01 4.777070063694267565e-01
1.199999999999999956e+00 3.409090909090908839e-01
1.500000000000000000e+00 2.491694352159468662e-01
2.000000000000000000e+00 1.575630252100840289e-01
3.000000000000000000e+00 7.684426229508196926e-02
