# Interacting fermions with random potentials (interaction = pair hopping)
# L=14, t=1, V=W=24.0
# Mean gap ratio for middle Z/3 levels.
# W/L W/L^2 <r>
7.142857142857142461e-02 5.102040816326530205e-03 5.310079832447052173e-01
1.428571428571428492e-01 1.020408163265306041e-02 5.308944290720999382e-01
2.142857142857142738e-01 1.530612244897959148e-02 5.307957181158249327e-01
2.857142857142856984e-01 2.040816326530612082e-02 5.305309397052500042e-01
3.571428571428571508e-01 2.551020408163265363e-02 5.306949351392999947e-01
4.285714285714285476e-01 3.061224489795918297e-02 5.298537572169500498e-01
5.000000000000000000e-01 3.571428571428571230e-02 5.274892905914999597e-01
5.714285714285713969e-01 4.081632653061224164e-02 5.222490890023500087e-01
7.142857142857143016e-01 5.102040816326530726e-02 5.061355595822000231e-01
8.571428571428570953e-01 6.122448979591836593e-02 4.869729573050999849e-01
1.000000000000000000e+00 7.142857142857142461e-02 4.692238334969999758e-01
1.142857142857142794e+00 8.163265306122448328e-02 4.547414371315500192e-01
1.428571428571428603e+00 1.020408163265306145e-01 4.342081437471999594e-01
1.571428571428571397e+00 1.122448979591836732e-01 4.265362440395499832e-01
1.714285714285714191e+00 1.224489795918367319e-01 4.211171195573000237e-01
1.928571428571428603e+00 1.377551020408163129e-01 4.152117495830000005e-01
2.142857142857142794e+00 1.530612244897959218e-01 4.105958050550500560e-01
2.357142857142857206e+00 1.683673469387755028e-01 4.069471510727999952e-01
2.571428571428571619e+00 1.836734693877551117e-01 4.039897316247499925e-01
