# Interacting fermions with random potentials (interaction = pair hopping)
# L=12, t=1, V=W=24.0
# Mean gap ratio for middle Z/3 levels.
# W/L W/L^2 <r>
8.333333333333332871e-02 6.944444444444444059e-03 5.309255453857302243e-01
1.666666666666666574e-01 1.388888888888888812e-02 5.305814954145501305e-01
2.500000000000000000e-01 2.083333333333333218e-02 5.306022969511750009e-01
3.333333333333333148e-01 2.777777777777777624e-02 5.301590620639999862e-01
4.166666666666666852e-01 3.472222222222222376e-02 5.262914213225250437e-01
5.000000000000000000e-01 4.166666666666666435e-02 5.191586753902750484e-01
5.833333333333333703e-01 4.861111111111111188e-02 5.094190533994499281e-01
6.666666666666666297e-01 5.555555555555555247e-02 4.978649135661499803e-01
8.333333333333333703e-01 6.944444444444444753e-02 4.764981008436500187e-01
1.000000000000000000e+00 8.333333333333332871e-02 4.581320725984500131e-01
1.166666666666666741e+00 9.722222222222222376e-02 4.445348572984499924e-01
1.333333333333333259e+00 1.111111111111111049e-01 4.348760062031500340e-01
1.666666666666666741e+00 1.388888888888888951e-01 4.224595552074499882e-01
1.833333333333333259e+00 1.527777777777777901e-01 4.183310248598500203e-01
2.000000000000000000e+00 1.666666666666666574e-01 4.141870676308000432e-01
2.250000000000000000e+00 1.875000000000000000e-01 4.107551419771000023e-01
2.500000000000000000e+00 2.083333333333333426e-01 4.075465145724500027e-01
2.750000000000000000e+00 2.291666666666666574e-01 nan
3.000000000000000000e+00 2.500000000000000000e-01 nan
