# Interacting fermions with random potentials (interaction = pair hopping)
# L=10, t=1, V=W=24.0
# Mean gap ratio for middle Z/3 levels.
# W/L W/L^2 <r>
1.000000000000000056e-01 1.000000000000000021e-02 5.306579089349650058e-01
2.000000000000000111e-01 2.000000000000000042e-02 5.306163095046749767e-01
2.999999999999999889e-01 2.999999999999999889e-02 5.293215089794250927e-01
4.000000000000000222e-01 4.000000000000000083e-02 5.215673300514499511e-01
5.000000000000000000e-01 5.000000000000000278e-02 5.105627977183500033e-01
5.999999999999999778e-01 5.999999999999999778e-02 4.972601130946500136e-01
6.999999999999999556e-01 7.000000000000000666e-02 4.839438812588000016e-01
8.000000000000000444e-01 8.000000000000000167e-02 4.724416472598499950e-01
1.000000000000000000e+00 1.000000000000000056e-01 4.552308992444000224e-01
1.199999999999999956e+00 1.199999999999999956e-01 4.434109023516000225e-01
1.399999999999999911e+00 1.400000000000000133e-01 4.352749767986499596e-01
1.600000000000000089e+00 1.600000000000000033e-01 4.294184917675999968e-01
2.000000000000000000e+00 2.000000000000000111e-01 4.205795465005000011e-01
2.200000000000000178e+00 2.200000000000000011e-01 4.173589875675000060e-01
2.399999999999999911e+00 2.399999999999999911e-01 4.150868222411500108e-01
2.700000000000000178e+00 2.700000000000000178e-01 4.119291204291999908e-01
3.000000000000000000e+00 2.999999999999999889e-01 4.094757789642000101e-01
3.299999999999999822e+00 3.300000000000000155e-01 nan
3.600000000000000089e+00 3.599999999999999867e-01 nan
