# Interacting fermions with random potentials (interaction = pair hopping)
# L=14, t=1, V=3
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W <r>
2.000000000000000000e+00 5.308368093107499464e-01
3.000000000000000000e+00 5.307957181158249327e-01
4.000000000000000000e+00 5.304333889224999155e-01
5.000000000000000000e+00 5.304099922357750074e-01
6.000000000000000000e+00 5.284193285895250058e-01
7.000000000000000000e+00 5.212895534580750390e-01
8.000000000000000000e+00 5.071740435557999804e-01
1.000000000000000000e+01 4.704456307934999360e-01
