# Transverse-field Ising model
# L=12, J=1, f=0.5, W_J=0.2, W=1.2
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e3
1.010000000000000000e+02 1.087218351905490765e+00
2.010000000000000000e+02 1.655868220825835735e+00
3.010000000000000000e+02 1.983784886734424102e+00
4.010000000000000000e+02 2.246061576608692878e+00
5.010000000000000000e+02 2.396417318769967331e+00
6.010000000000000000e+02 2.535905675410842885e+00
7.010000000000000000e+02 2.627504381742788553e+00
8.010000000000000000e+02 2.678376306588668321e+00
9.010000000000000000e+02 2.690996100385119494e+00
1.001000000000000000e+03 2.704779194003712028e+00
1.101000000000000000e+03 2.710979291791257406e+00
1.201000000000000000e+03 2.700727139247011355e+00
1.301000000000000000e+03 2.694607641965354627e+00
