# long range t-V model of spinless fermions
# L = 18, t = 1.0, V = 1.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 0.00521667
1 9.9999999999999995E-007 0.00521667
1 1.9999999999999999E-006 0.00521667
1 3.0000000000000001E-006 0.00521697
1 3.9999999999999998E-006 0.00521697
1 5.0000000000000004E-006 0.00521697
1 6.0000000000000002E-006 0.00521697
1 6.9999999999999999E-006 0.00521709
1 7.9999999999999996E-006 0.00521709
1 9.0000000000000002E-006 0.0052171
1 1.0000000000000001E-005 0.0052171
1 1.1000000000000000E-005 0.00521719
1 1.2000000000000000E-005 0.00521719
1 1.2999999999999999E-005 0.00521851
1 1.4000000000000000E-005 0.00521851
1 1.5000000000000000E-005 0.00521851
1 1.5999999999999999E-005 0.00521905
1 1.7000000000000000E-005 0.00521911
1 1.8000000000000000E-005 0.00521922
1 1.9000000000000001E-005 0.00521932
1 2.0000000000000002E-005 0.00521938
1 2.0999999999999999E-005 0.00521945
1 2.1999999999999999E-005 0.00521989
1 2.3000000000000000E-005 0.00522029
1 2.4000000000000001E-005 0.00522029
1 2.5000000000000001E-005 0.00522033
1 2.5999999999999998E-005 0.00522035
1 2.6999999999999999E-005 0.00522061
1 2.8000000000000000E-005 0.00522064
1 2.9000000000000000E-005 0.00522064
1 3.0000000000000001E-005 0.00522064
1 3.1000000000000001E-005 0.00522081
1 3.1999999999999999E-005 0.00522099
1 3.3000000000000003E-005 0.005221
1 3.4000000000000000E-005 0.00522146
1 3.4999999999999997E-005 0.00522147
1 3.6000000000000001E-005 0.00522147
1 3.6999999999999998E-005 0.00522181
1 3.8000000000000002E-005 0.00522181
1 3.8999999999999999E-005 0.00522182
1 4.0000000000000003E-005 0.00522182
1 4.1000000000000000E-005 0.00522182
1 4.1999999999999998E-005 0.00522182
1 4.3000000000000002E-005 0.00522182
1 4.3999999999999999E-005 0.00522221
1 4.5000000000000003E-005 0.0052233
1 4.6000000000000000E-005 0.00522376
1 4.6999999999999997E-005 0.00522412
1 4.8000000000000001E-005 0.00522439
1 4.8999999999999998E-005 0.00522441
1 5.0000000000000002E-005 0.00522443
1 5.1000000000000000E-005 0.00522443
1 5.1999999999999997E-005 0.00522455
1 5.3000000000000001E-005 0.00522455
1 5.3999999999999998E-005 0.00522482
1 5.5000000000000002E-005 0.00522482
1 5.5999999999999999E-005 0.00522482
1 5.7000000000000003E-005 0.00522486
1 5.8000000000000000E-005 0.00522486
1 5.8999999999999998E-005 0.00522499
1 6.0000000000000002E-005 0.00522573
1 6.0999999999999999E-005 0.00522573
1 6.2000000000000003E-005 0.00522573
1 6.3000000000000000E-005 0.00522573
1 6.3999999999999997E-005 0.00522604
1 6.4999999999999994E-005 0.00522608
1 6.6000000000000005E-005 0.00522608
1 6.7000000000000002E-005 0.00522608
1 6.7999999999999999E-005 0.00522631
1 6.8999999999999997E-005 0.00522644
1 6.9999999999999994E-005 0.00522644
1 7.1000000000000005E-005 0.00522644
1 7.2000000000000002E-005 0.00522675
1 7.2999999999999999E-005 0.00522675
1 7.3999999999999996E-005 0.00522675
1 7.4999999999999993E-005 0.00522675
1 7.6000000000000004E-005 0.00522677
1 7.7000000000000001E-005 0.00522677
1 7.7999999999999999E-005 0.00522682
1 7.8999999999999996E-005 0.00522733
1 8.0000000000000007E-005 0.00522733
1 8.1000000000000004E-005 0.00522733
1 8.2000000000000001E-005 0.00522794
1 8.2999999999999998E-005 0.00522795
1 8.3999999999999995E-005 0.00522796
1 8.5000000000000006E-005 0.00522797
1 8.6000000000000003E-005 0.00522798
1 8.7000000000000001E-005 0.00522798
1 8.7999999999999998E-005 0.00522806
1 8.8999999999999995E-005 0.00522843
1 9.0000000000000006E-005 0.00522911
1 9.1000000000000003E-005 0.00522911
1 9.2000000000000000E-005 0.00523057
1 9.2999999999999997E-005 0.00523059
1 9.3999999999999994E-005 0.00523116
1 9.5000000000000005E-005 0.00523178
1 9.6000000000000002E-005 0.00523178
1 9.7000000000000000E-005 0.00523178
1 9.7999999999999997E-005 0.00523178
1 9.8999999999999994E-005 0.00523195
1 1.0000000000000000E-004 0.00523204
1 1.1000000000000000E-004 0.00523726
1 1.2000000000000000E-004 0.00523895
1 1.2999999999999999E-004 0.00524239
1 1.3999999999999999E-004 0.00524275
1 1.4999999999999999E-004 0.00524519
1 1.6000000000000001E-004 0.0052495
1 1.7000000000000001E-004 0.0052506
1 1.8000000000000001E-004 0.00525333
1 1.9000000000000001E-004 0.00525576
1 2.0000000000000001E-004 0.00525808
1 2.1000000000000001E-004 0.00525952
1 2.2000000000000001E-004 0.00526257
1 2.3000000000000001E-004 0.00526577
1 2.4000000000000001E-004 0.0052688
1 2.5000000000000001E-004 0.00527095
1 2.5999999999999998E-004 0.00527348
1 2.7000000000000000E-004 0.00527746
1 2.7999999999999998E-004 0.00527935
1 2.9000000000000000E-004 0.00528062
1 2.9999999999999997E-004 0.0052819
1 3.1000000000000000E-004 0.00528411
1 3.2000000000000003E-004 0.00528633
1 3.3000000000000000E-004 0.00529107
1 3.4000000000000002E-004 0.00529378
1 3.5000000000000000E-004 0.00529767
1 3.6000000000000002E-004 0.00530075
1 3.6999999999999999E-004 0.00530368
1 3.8000000000000002E-004 0.00530955
1 3.8999999999999999E-004 0.0053119
1 4.0000000000000002E-004 0.00531826
1 4.0999999999999999E-004 0.00532273
1 4.2000000000000002E-004 0.00532595
1 4.2999999999999999E-004 0.00533118
1 4.4000000000000002E-004 0.00533464
1 4.4999999999999999E-004 0.00533743
1 4.6000000000000001E-004 0.00534172
1 4.6999999999999999E-004 0.00534577
1 4.8000000000000001E-004 0.00534929
1 4.8999999999999998E-004 0.00535289
1 5.0000000000000001E-004 0.00535819
1 5.1000000000000004E-004 0.00536
1 5.1999999999999995E-004 0.00536556
1 5.2999999999999998E-004 0.00537027
1 5.4000000000000001E-004 0.00537423
1 5.5000000000000003E-004 0.00537952
1 5.5999999999999995E-004 0.00538455
1 5.6999999999999998E-004 0.00538858
1 5.8000000000000000E-004 0.00539379
1 5.9000000000000003E-004 0.00540203
1 5.9999999999999995E-004 0.00540398
1 6.0999999999999997E-004 0.00540997
1 6.2000000000000000E-004 0.00541784
1 6.3000000000000003E-004 0.0054203
1 6.4000000000000005E-004 0.005426
1 6.4999999999999997E-004 0.00543212
1 6.6000000000000000E-004 0.0054351
1 6.7000000000000002E-004 0.00544163
1 6.8000000000000005E-004 0.00544785
1 6.8999999999999997E-004 0.00545227
1 6.9999999999999999E-004 0.00545942
1 7.1000000000000002E-004 0.00546468
1 7.2000000000000005E-004 0.00547073
1 7.2999999999999996E-004 0.00547483
