# long range t-V model of spinless fermions
# L = 18, t = 1.0, V = 0.8
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 0.0156902
1 9.9999999999999995E-007 0.0156902
1 1.9999999999999999E-006 0.0156902
1 3.0000000000000001E-006 0.0156902
1 3.9999999999999998E-006 0.0156903
1 5.0000000000000004E-006 0.0156905
1 6.0000000000000002E-006 0.0156905
1 6.9999999999999999E-006 0.0156912
1 7.9999999999999996E-006 0.0156912
1 9.0000000000000002E-006 0.0156912
1 1.0000000000000001E-005 0.0156912
1 1.1000000000000000E-005 0.0156912
1 1.2000000000000000E-005 0.0156912
1 1.2999999999999999E-005 0.0156912
1 1.4000000000000000E-005 0.0156912
1 1.5000000000000000E-005 0.0156912
1 1.5999999999999999E-005 0.0156914
1 1.7000000000000000E-005 0.0156914
1 1.8000000000000000E-005 0.0156914
1 1.9000000000000001E-005 0.0156914
1 2.0000000000000002E-005 0.0156933
1 2.0999999999999999E-005 0.0156933
1 2.1999999999999999E-005 0.0156934
1 2.3000000000000000E-005 0.0156937
1 2.4000000000000001E-005 0.0156947
1 2.5000000000000001E-005 0.0156962
1 2.5999999999999998E-005 0.0156962
1 2.6999999999999999E-005 0.0156964
1 2.8000000000000000E-005 0.0156964
1 2.9000000000000000E-005 0.0156965
1 3.0000000000000001E-005 0.0156966
1 3.1000000000000001E-005 0.0156966
1 3.1999999999999999E-005 0.0156966
1 3.3000000000000003E-005 0.0156966
1 3.4000000000000000E-005 0.0156968
1 3.4999999999999997E-005 0.0156969
1 3.6000000000000001E-005 0.0156972
1 3.6999999999999998E-005 0.0156972
1 3.8000000000000002E-005 0.0157028
1 3.8999999999999999E-005 0.0157028
1 4.0000000000000003E-005 0.0157029
1 4.1000000000000000E-005 0.0157029
1 4.1999999999999998E-005 0.0157037
1 4.3000000000000002E-005 0.0157038
1 4.3999999999999999E-005 0.0157048
1 4.5000000000000003E-005 0.0157048
1 4.6000000000000000E-005 0.0157048
1 4.6999999999999997E-005 0.0157051
1 4.8000000000000001E-005 0.0157051
1 4.8999999999999998E-005 0.0157052
1 5.0000000000000002E-005 0.0157064
1 5.1000000000000000E-005 0.0157064
1 5.1999999999999997E-005 0.0157078
1 5.3000000000000001E-005 0.015711
1 5.3999999999999998E-005 0.0157114
1 5.5000000000000002E-005 0.0157124
1 5.5999999999999999E-005 0.0157128
1 5.7000000000000003E-005 0.015714
1 5.8000000000000000E-005 0.0157144
1 5.8999999999999998E-005 0.0157144
1 6.0000000000000002E-005 0.0157144
1 6.0999999999999999E-005 0.0157147
1 6.2000000000000003E-005 0.0157148
1 6.3000000000000000E-005 0.0157162
1 6.3999999999999997E-005 0.0157167
1 6.4999999999999994E-005 0.0157168
1 6.6000000000000005E-005 0.0157176
1 6.7000000000000002E-005 0.0157197
1 6.7999999999999999E-005 0.0157202
1 6.8999999999999997E-005 0.0157209
1 6.9999999999999994E-005 0.015723
1 7.1000000000000005E-005 0.0157261
1 7.2000000000000002E-005 0.0157261
1 7.2999999999999999E-005 0.0157267
1 7.3999999999999996E-005 0.0157274
1 7.4999999999999993E-005 0.0157275
1 7.6000000000000004E-005 0.0157275
1 7.7000000000000001E-005 0.0157275
1 7.7999999999999999E-005 0.0157283
1 7.8999999999999996E-005 0.0157283
1 8.0000000000000007E-005 0.0157337
1 8.1000000000000004E-005 0.0157337
1 8.2000000000000001E-005 0.0157347
1 8.2999999999999998E-005 0.0157363
1 8.3999999999999995E-005 0.0157382
1 8.5000000000000006E-005 0.0157384
1 8.6000000000000003E-005 0.0157408
1 8.7000000000000001E-005 0.0157408
1 8.7999999999999998E-005 0.0157408
1 8.8999999999999995E-005 0.0157408
1 9.0000000000000006E-005 0.0157454
1 9.1000000000000003E-005 0.0157454
1 9.2000000000000000E-005 0.0157454
1 9.2999999999999997E-005 0.0157454
1 9.3999999999999994E-005 0.0157461
1 9.5000000000000005E-005 0.0157461
1 9.6000000000000002E-005 0.0157461
1 9.7000000000000000E-005 0.0157463
1 9.7999999999999997E-005 0.0157466
1 9.8999999999999994E-005 0.015747
1 1.0000000000000000E-004 0.015752
1 1.1000000000000000E-004 0.0157582
1 1.2000000000000000E-004 0.0157691
1 1.2999999999999999E-004 0.0157797
1 1.3999999999999999E-004 0.0157913
1 1.4999999999999999E-004 0.0158118
1 1.6000000000000001E-004 0.0158171
1 1.7000000000000001E-004 0.0158238
1 1.8000000000000001E-004 0.0158258
1 1.9000000000000001E-004 0.0158346
1 2.0000000000000001E-004 0.0158401
1 2.1000000000000001E-004 0.0158502
1 2.2000000000000001E-004 0.0158637
1 2.3000000000000001E-004 0.0158695
1 2.4000000000000001E-004 0.0158741
1 2.5000000000000001E-004 0.0158892
1 2.5999999999999998E-004 0.0159093
1 2.7000000000000000E-004 0.0159171
1 2.7999999999999998E-004 0.0159292
1 2.9000000000000000E-004 0.0159478
1 2.9999999999999997E-004 0.0159585
1 3.1000000000000000E-004 0.0159664
1 3.2000000000000003E-004 0.015977
1 3.3000000000000000E-004 0.0159888
1 3.4000000000000002E-004 0.0160084
1 3.5000000000000000E-004 0.0160173
1 3.6000000000000002E-004 0.0160427
1 3.6999999999999999E-004 0.0160534
1 3.8000000000000002E-004 0.0160681
1 3.8999999999999999E-004 0.0160847
1 4.0000000000000002E-004 0.0160971
1 4.0999999999999999E-004 0.016114
1 4.2000000000000002E-004 0.0161251
1 4.2999999999999999E-004 0.0161393
1 4.4000000000000002E-004 0.0161523
1 4.4999999999999999E-004 0.0161807
1 4.6000000000000001E-004 0.0161975
1 4.6999999999999999E-004 0.0162128
1 4.8000000000000001E-004 0.0162324
1 4.8999999999999998E-004 0.0162485
1 5.0000000000000001E-004 0.0162637
1 5.1000000000000004E-004 0.0162811
1 5.1999999999999995E-004 0.016297
1 5.2999999999999998E-004 0.016319
1 5.4000000000000001E-004 0.0163577
1 5.5000000000000003E-004 0.0163739
1 5.5999999999999995E-004 0.0163931
1 5.6999999999999998E-004 0.0164143
1 5.8000000000000000E-004 0.0164425
1 5.9000000000000003E-004 0.0164569
1 5.9999999999999995E-004 0.0164752
1 6.0999999999999997E-004 0.0164884
1 6.2000000000000000E-004 0.016502
1 6.3000000000000003E-004 0.0165146
1 6.4000000000000005E-004 0.0165304
1 6.4999999999999997E-004 0.0165551
1 6.6000000000000000E-004 0.016579
1 6.7000000000000002E-004 0.0165966
1 6.8000000000000005E-004 0.0166122
1 6.8999999999999997E-004 0.0166275
1 6.9999999999999999E-004 0.0166621
1 7.1000000000000002E-004 0.0166731
1 7.2000000000000005E-004 0.0167003
1 7.2999999999999996E-004 0.0167139
1 7.3999999999999999E-004 0.016741
1 7.5000000000000002E-004 0.0167687
1 7.6000000000000004E-004 0.0167889
1 7.6999999999999996E-004 0.0168138
1 7.7999999999999999E-004 0.0168521
1 7.9000000000000001E-004 0.0168646
1 8.0000000000000004E-004 0.0168863
1 8.0999999999999996E-004 0.016913
1 8.1999999999999998E-004 0.0169561
1 8.3000000000000001E-004 0.0169865
1 8.4000000000000003E-004 0.0170053
1 8.4999999999999995E-004 0.0170226
1 8.5999999999999998E-004 0.0170457
1 8.7000000000000001E-004 0.017067
1 8.8000000000000003E-004 0.0170894
1 8.8999999999999995E-004 0.0171239
1 8.9999999999999998E-004 0.0171462
1 9.1000000000000000E-004 0.0171776
1 9.2000000000000003E-004 0.0172014
1 9.3000000000000005E-004 0.017224
1 9.3999999999999997E-004 0.0172564
1 9.5000000000000000E-004 0.0172756
1 9.6000000000000002E-004 0.0172979
1 9.7000000000000005E-004 0.017324
1 9.7999999999999997E-004 0.0173575
1 9.8999999999999999E-004 0.0173821
1 1.0000000000000000E-003 0.0174035
1 1.1000000000000001E-003 0.0177206
1 1.1999999999999999E-003 0.0180047
1 1.2999999999999999E-003 0.0183327
1 1.4000000000000000E-003 0.018678
1 1.5000000000000000E-003 0.0190467
1 1.6000000000000001E-003 0.0193304
1 1.6999999999999999E-003 0.0196907
1 1.8000000000000000E-003 0.0200022
1 1.9000000000000000E-003 0.0203309
1 2.0000000000000000E-003 0.0206655
1 2.0999999999999999E-003 0.0209913
1 2.2000000000000001E-003 0.0213466
1 2.3000000000000000E-003 0.0216966
1 2.3999999999999998E-003 0.0220871
1 2.5000000000000001E-003 0.0224763
1 2.5999999999999999E-003 0.022821
1 2.7000000000000001E-003 0.0231695
1 2.8000000000000000E-003 0.0235539
1 2.8999999999999998E-003 0.0238967
1 3.0000000000000001E-003 0.0242537
1 3.0999999999999999E-003 0.0246303
1 3.2000000000000002E-003 0.0249738
1 3.3000000000000000E-003 0.0253067
1 3.3999999999999998E-003 0.025722
1 3.5000000000000001E-003 0.0261235
1 3.5999999999999999E-003 0.026488
1 3.7000000000000002E-003 0.026887
1 3.8000000000000000E-003 0.0272628
1 3.8999999999999998E-003 0.0276747
1 4.0000000000000001E-003 0.0280485
1 4.1000000000000003E-003 0.0284147
1 4.1999999999999997E-003 0.0288476
1 4.3000000000000000E-003 0.0292385
1 4.4000000000000003E-003 0.0296168
1 4.4999999999999997E-003 0.0300463
1 4.5999999999999999E-003 0.0304652
1 4.7000000000000002E-003 0.0308501
1 4.7999999999999996E-003 0.031249
1 4.8999999999999998E-003 0.031627
1 5.0000000000000001E-003 0.0320294
1 5.1000000000000004E-003 0.0324279
1 5.1999999999999998E-003 0.0328028
1 5.3000000000000000E-003 0.0331764
1 5.4000000000000003E-003 0.0335388
1 5.4999999999999997E-003 0.0339787
1 5.5999999999999999E-003 0.0343222
1 5.7000000000000002E-003 0.0346638
1 5.7999999999999996E-003 0.0350585
1 5.8999999999999999E-003 0.0354558
1 6.0000000000000001E-003 0.0358418
1 6.1000000000000004E-003 0.0362292
1 6.1999999999999998E-003 0.0365936
1 6.3000000000000000E-003 0.0369396
1 6.4000000000000003E-003 0.0373293
1 6.4999999999999997E-003 0.0377762
1 6.6000000000000000E-003 0.0381313
1 6.7000000000000002E-003 0.0385006
1 6.7999999999999996E-003 0.0389007
1 6.8999999999999999E-003 0.0392528
1 7.0000000000000001E-003 0.0395708
1 7.1000000000000004E-003 0.0399478
1 7.1999999999999998E-003 0.0404037
1 7.3000000000000001E-003 0.0407988
1 7.4000000000000003E-003 0.0411356
1 7.4999999999999997E-003 0.0414907
1 7.6000000000000000E-003 0.0418897
1 7.7000000000000002E-003 0.0422763
1 7.7999999999999996E-003 0.0426303
1 7.9000000000000008E-003 0.0430082
1 8.0000000000000002E-003 0.0433723
1 8.0999999999999996E-003 0.0437395
1 8.2000000000000007E-003 0.0441562
1 8.3000000000000001E-003 0.0445367
1 8.3999999999999995E-003 0.0449098
1 8.5000000000000006E-003 0.045294
1 8.6000000000000000E-003 0.0456253
1 8.6999999999999994E-003 0.0460215
1 8.8000000000000005E-003 0.0463833
1 8.8999999999999999E-003 0.0467391
1 8.9999999999999993E-003 0.0470907
1 9.1000000000000004E-003 0.0474909
1 9.1999999999999998E-003 0.0478592
1 9.2999999999999992E-003 0.0483034
1 9.4000000000000004E-003 0.0486936
1 9.4999999999999998E-003 0.0490637
1 9.5999999999999992E-003 0.0494545
1 9.7000000000000003E-003 0.0498506
1 9.7999999999999997E-003 0.0502
1 9.9000000000000008E-003 0.050577
1 1.0000000000000000E-002 0.050957
1 1.0999999999999999E-002 0.0547813
1 1.2000000000000000E-002 0.0583523
1 1.2999999999999999E-002 0.0618623
1 1.4000000000000000E-002 0.0654448
1 1.4999999999999999E-002 0.0690818
1 1.6000000000000000E-002 0.0726196
1 1.7000000000000001E-002 0.0760783
1 1.7999999999999999E-002 0.0794098
1 1.9000000000000000E-002 0.0827269
1 2.0000000000000000E-002 0.0859889
1 2.1000000000000001E-002 0.0892824
1 2.1999999999999999E-002 0.0925407
1 2.3000000000000000E-002 0.0956541
1 2.4000000000000000E-002 0.0987129
1 2.5000000000000001E-002 0.101788
1 2.5999999999999999E-002 0.104796
1 2.7000000000000000E-002 0.107873
1 2.8000000000000001E-002 0.110832
1 2.9000000000000001E-002 0.113718
1 2.9999999999999999E-002 0.116557
1 3.1000000000000000E-002 0.119444
1 3.2000000000000001E-002 0.122283
1 3.3000000000000002E-002 0.12512
1 3.4000000000000002E-002 0.127862
1 3.5000000000000003E-002 0.130662
1 3.5999999999999997E-002 0.133273
1 3.6999999999999998E-002 0.135841
1 3.7999999999999999E-002 0.138561
1 3.9000000000000000E-002 0.141195
1 4.0000000000000001E-002 0.143717
1 4.1000000000000002E-002 0.146195
1 4.2000000000000003E-002 0.148673
1 4.2999999999999997E-002 0.151124
1 4.3999999999999997E-002 0.153686
1 4.4999999999999998E-002 0.156042
1 4.5999999999999999E-002 0.158362
1 4.7000000000000000E-002 0.160775
1 4.8000000000000001E-002 0.163152
1 4.9000000000000002E-002 0.16548
1 5.0000000000000003E-002 0.167813
1 5.0999999999999997E-002 0.170089
1 5.1999999999999998E-002 0.172427
1 5.2999999999999999E-002 0.174717
1 5.3999999999999999E-002 0.17693
1 5.5000000000000000E-002 0.179181
1 5.6000000000000001E-002 0.181408
1 5.7000000000000002E-002 0.183536
1 5.8000000000000003E-002 0.185776
1 5.8999999999999997E-002 0.187974
1 5.9999999999999998E-002 0.190182
1 6.0999999999999999E-002 0.192416
1 6.2000000000000000E-002 0.194593
1 6.3000000000000000E-002 0.19677
1 6.4000000000000001E-002 0.198831
1 6.5000000000000002E-002 0.200984
1 6.6000000000000003E-002 0.203136
1 6.7000000000000004E-002 0.205187
1 6.8000000000000005E-002 0.207198
1 6.9000000000000006E-002 0.209256
1 7.0000000000000007E-002 0.211343
1 7.0999999999999994E-002 0.213347
1 7.1999999999999995E-002 0.215363
1 7.2999999999999995E-002 0.217388
1 7.3999999999999996E-002 0.219439
1 7.4999999999999997E-002 0.221457
1 7.5999999999999998E-002 0.223548
1 7.6999999999999999E-002 0.225606
1 7.8000000000000000E-002 0.22763
1 7.9000000000000001E-002 0.229658
1 8.0000000000000002E-002 0.231668
1 8.1000000000000003E-002 0.233607
1 8.2000000000000003E-002 0.235671
1 8.3000000000000004E-002 0.237699
1 8.4000000000000005E-002 0.239648
1 8.5000000000000006E-002 0.241591
1 8.5999999999999993E-002 0.243513
1 8.6999999999999994E-002 0.245432
1 8.7999999999999995E-002 0.247415
1 8.8999999999999996E-002 0.249379
1 8.9999999999999997E-002 0.25134
1 9.0999999999999998E-002 0.253248
1 9.1999999999999998E-002 0.255251
1 9.2999999999999999E-002 0.257185
1 9.4000000000000000E-002 0.259012
1 9.5000000000000001E-002 0.26095
1 9.6000000000000002E-002 0.262807
1 9.7000000000000003E-002 0.26478
1 9.8000000000000004E-002 0.26667
1 9.9000000000000005E-002 0.26861
1 0.10000000000000001 0.270529
1 0.11000000000000000 0.289197
1 0.12000000000000000 0.307687
1 0.13000000000000000 0.325503
1 0.14000000000000001 0.342909
1 0.14999999999999999 0.359967
1 0.16000000000000000 0.37692
1 0.17000000000000001 0.393731
1 0.17999999999999999 0.410205
1 0.19000000000000000 0.426246
1 0.20000000000000001 0.441673
1 0.20999999999999999 0.456996
1 0.22000000000000000 0.471935
1 0.23000000000000001 0.486487
1 0.23999999999999999 0.500768
1 0.25000000000000000 0.514421
1 0.26000000000000001 0.527799
1 0.27000000000000002 0.540945
1 0.28000000000000003 0.55363
1 0.28999999999999998 0.56601
1 0.29999999999999999 0.577919
1 0.31000000000000000 0.58958
1 0.32000000000000001 0.600839
1 0.33000000000000002 0.611676
1 0.34000000000000002 0.622024
1 0.34999999999999998 0.631837
1 0.35999999999999999 0.64132
1 0.37000000000000000 0.650358
1 0.38000000000000000 0.658945
1 0.39000000000000001 0.66715
1 0.40000000000000002 0.674912
1 0.40999999999999998 0.682269
1 0.41999999999999998 0.689275
1 0.42999999999999999 0.695917
1 0.44000000000000000 0.702191
1 0.45000000000000001 0.708214
1 0.46000000000000002 0.713856
1 0.46999999999999997 0.719275
1 0.47999999999999998 0.724387
1 0.48999999999999999 0.729318
