# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=W=4.0
# Mean gap ratio for middle Z/3 levels.
# L <r>
1.000000000000000000e+01 5.215673300514499511e-01
1.200000000000000000e+01 5.301590620639999862e-01
1.400000000000000000e+01 5.305309397052500042e-01
1.600000000000000000e+01 5.307436006859500566e-01
1.800000000000000000e+01 5.307133242865285094e-01
