# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=W=10.0
# Mean gap ratio for middle Z/3 levels.
# L <r>
1.000000000000000000e+01 4.552308992444000224e-01
1.200000000000000000e+01 4.764981008436500187e-01
1.400000000000000000e+01 5.061355595822000231e-01
1.600000000000000000e+01 5.269276182766500227e-01
1.800000000000000000e+01 5.305684210780476917e-01
