# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=W=16.0
# Mean gap ratio for middle Z/3 levels.
# L <r>
1.000000000000000000e+01 4.294184917675999968e-01
1.200000000000000000e+01 4.348760062031500340e-01
1.400000000000000000e+01 4.547414371315500192e-01
1.600000000000000000e+01 4.851501451715728441e-01
1.800000000000000000e+01 5.196367297595237966e-01
