# Interacting fermions with random potentials (interaction = pair hopping)
# t=1, V=W=12.0
# Mean gap ratio for middle Z/3 levels.
# L <r>
1.000000000000000000e+01 4.434109023516000225e-01
1.200000000000000000e+01 4.581320725984500131e-01
1.400000000000000000e+01 4.869729573050999849e-01
1.600000000000000000e+01 5.172191852298557713e-01
1.800000000000000000e+01 nan
