# XXZ model at half-filling
# L=28, J=1, Delta=0.40
# Integrated conductivity, I_s(omega) via MCLM
# omega/Delta I_s(omega)

0.3675 0.0879417
0.36875 0.0879676
0.37 0.0880002
0.37125 0.0880289
0.3725 0.088059
0.37375 0.0881011
0.375 0.0881299
0.37625 0.0881685
0.3775 0.0881993
0.37875 0.0882378
0.38 0.0882711
0.38125 0.0883066
0.3825 0.0883353
0.38375 0.0883638
0.385 0.0883926
0.38625 0.0884243
0.3875 0.0884595
0.38875 0.0884903
0.39 0.0885288
0.39125 0.088567
0.3925 0.0885933
0.39375 0.0886318
0.395 0.0886646
0.39625 0.088703
0.3975 0.0887311
0.39875 0.0887622
0.4 0.0887904
0.40125 0.0888255
0.4025 0.0888565
0.40375 0.0888854
0.405 0.0889211
0.40625 0.08896
0.4075 0.0889864
0.40875 0.0890181
0.41 0.0890558
0.41125 0.0890873
0.4125 0.0891261
0.41375 0.0891637
0.415 0.0891967
0.41625 0.0892303
0.4175 0.0892645
0.41875 0.0893014
0.42 0.0893309
0.42125 0.0893694
0.4225 0.0894026
0.42375 0.0894278
0.425 0.0894572
0.42625 0.0894987
0.4275 0.089538
0.42875 0.0895749
0.43 0.0896226
0.43125 0.0896626
0.4325 0.0897002
0.43375 0.0897335
0.435 0.0898071
0.43625 0.0898412
0.4375 0.0898801
0.43875 0.0899158
0.44 0.0899491
0.44125 0.0899952
0.4425 0.0900285
0.44375 0.0900636
0.445 0.0900941
0.44625 0.0901376
0.4475 0.0901789
0.44875 0.0902125
0.45 0.0902506
0.45125 0.0902871
0.4525 0.0903193
0.45375 0.0903513
0.455 0.0903825
0.45625 0.0904135
0.4575 0.0904641
0.45875 0.0905051
0.46 0.0905464
0.46125 0.0905803
0.4625 0.0906199
0.46375 0.0906593
0.465 0.0907008
0.46625 0.0907338
0.4675 0.0907775
0.46875 0.0908155
0.47 0.090854
0.47125 0.0908886
0.4725 0.0909361
0.47375 0.0909848
0.475 0.0910204
0.47625 0.091052
0.4775 0.0910894
0.47875 0.0911274
0.48 0.0911602
0.48125 0.0912006
0.4825 0.0912348
0.48375 0.0912664
0.485 0.0913089
0.48625 0.0913486
0.4875 0.091388
0.48875 0.0914247
0.49 0.091474
0.49125 0.0915079
0.4925 0.091544
0.49375 0.0915743
0.495 0.0916125
0.49625 0.0916476
0.4975 0.0916858
0.49875 0.0917238
0.5 0.0917604
0.50125 0.0918019
0.5025 0.091848
0.50375 0.0918881
0.505 0.0919309
0.50625 0.0919723
0.5075 0.092016
0.50875 0.0920503
0.51 0.0920854
0.51125 0.0921332
0.5125 0.0921792
0.51375 0.0922221
0.515 0.0922597
0.51625 0.0922969
0.5175 0.0923446
0.51875 0.0923793
0.52 0.0924154
0.52125 0.0924609
0.5225 0.0925059
0.52375 0.0925509
0.525 0.0925891
0.52625 0.0926267
0.5275 0.0926672
0.52875 0.0927194
0.53 0.0927608
0.53125 0.0928021
0.5325 0.0928409
0.53375 0.0928763
0.535 0.092915
0.53625 0.0929566
0.5375 0.0930017
0.53875 0.0930412
0.54 0.0930809
0.54125 0.0931265
0.5425 0.0931661
0.54375 0.0932093
0.545 0.0932505
0.54625 0.0932891
0.5475 0.0933257
0.54875 0.0933708
0.55 0.093413
0.55125 0.0934568
0.5525 0.0935056
0.55375 0.0935476
0.555 0.0935948
0.55625 0.0936427
0.5575 0.0936839
0.55875 0.0937291
0.56 0.0937662
0.56125 0.0938072
0.5625 0.0938582
0.56375 0.093906
0.565 0.0939467
0.56625 0.0939884
0.5675 0.0940262
0.56875 0.0940672
0.57 0.0941076
0.57125 0.0941504
0.5725 0.0941986
0.57375 0.09425
0.575 0.094291
0.57625 0.0943741
0.5775 0.0944172
0.57875 0.0944588
0.58 0.0945041
0.58125 0.0945542
0.5825 0.0945944
0.58375 0.0946382
0.585 0.0946765
0.58625 0.0947266
0.5875 0.0947674
0.58875 0.0948043
0.59 0.0948428
0.59125 0.0948964
0.5925 0.0949421
0.59375 0.0949958
0.595 0.0950378
0.59625 0.0950841
0.5975 0.0951315
0.59875 0.0951958
0.6 0.0952361
0.60125 0.0952795
0.6025 0.0953251
0.60375 0.0953648
0.605 0.0954112
0.60625 0.0954573
0.6075 0.0955087
0.60875 0.0955515
0.61 0.0956135
0.61125 0.0956591
0.6125 0.0957089
0.61375 0.095756
0.615 0.0957999
0.61625 0.0958444
0.6175 0.0958954
0.61875 0.0959403
0.62 0.0959864
0.62125 0.0960326
0.6225 0.0960819
0.62375 0.0961329
0.625 0.0961861
0.62625 0.096235
0.6275 0.0962856
0.62875 0.0963317
0.63 0.0963791
0.63125 0.0964381
0.6325 0.0964905
0.63375 0.0965428
0.635 0.096609
0.63625 0.0966513
0.6375 0.0966963
0.63875 0.0967656
0.64 0.096817
0.64125 0.0968701
0.6425 0.0969156
0.64375 0.0969562
0.645 0.0970088
0.64625 0.0970606
0.6475 0.0971018
0.64875 0.0971504
0.65 0.097199
0.65125 0.0972524
0.6525 0.0972983
0.65375 0.0973434
0.655 0.0974027
0.65625 0.0974534
0.6575 0.0975077
0.65875 0.0975673
0.66 0.097618
0.66125 0.0976919
