# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=2.0, h_i in [-W,W]
# Cumulative distribution function (CDF) of the fitting parameter mu; for 10^3 realizations of the disorder
# mu CDF

0.4938619676910272 0.00128535
0.5520438842585008 0.00257069
0.6111130403224228 0.00385604
0.6123385512676673 0.00514139
0.6163422750121819 0.00642674
0.6309178724360022 0.00771208
0.6529513311102464 0.00899743
0.6605404354319887 0.0102828
0.6714513136506247 0.0115681
0.6833398512520861 0.0128535
0.6982536990160895 0.0141388
0.7043124063223789 0.0154242
0.7055183007945719 0.0167095
0.7071028650076795 0.0179949
0.7112807627742356 0.0192802
0.7176032513464098 0.0205656
0.7197433453531489 0.0218509
0.7197528685841413 0.0231362
0.7222397312778176 0.0244216
0.725481741145223 0.0257069
0.7405694171631669 0.0269923
0.7447063264991519 0.0282776
0.7449890731465965 0.029563
0.745055462397611 0.0308483
0.7574311919015266 0.0321337
0.7604481726851696 0.033419
0.761972936936259 0.0347044
0.7672987157291947 0.0359897
0.7678646430381647 0.0372751
0.7690537483896095 0.0385604
0.7694653403176243 0.0398458
0.7746398659460872 0.0411311
0.7764224572645175 0.0424165
0.7792708186237046 0.0437018
0.7813574779374045 0.0449871
0.7866200806988751 0.0462725
0.7894840992642501 0.0475578
0.7898413821655663 0.0488432
0.7907178167096911 0.0501285
0.79224495921738 0.0514139
0.7932908284431212 0.0526992
0.7959982671877108 0.0539846
0.7982371255694913 0.0552699
0.7995176943002368 0.0565553
0.799900852883045 0.0578406
0.79999254022452 0.059126
0.8028351899279025 0.0604113
0.805709811280958 0.0616967
0.806469513234551 0.062982
0.8089936065046139 0.0642674
0.8111355850002303 0.0655527
0.8122807377097171 0.066838
0.8124502697474362 0.0681234
0.8127208891248058 0.0694087
0.8128237086172979 0.0706941
0.8140301178384429 0.0719794
0.8142299877697403 0.0732648
0.8152274316466228 0.0745501
0.815861529505208 0.0758355
0.816388196375317 0.0771208
0.8172170284489881 0.0784062
0.8181986567267772 0.0796915
0.8189417435234205 0.0809769
0.819673163146014 0.0822622
0.820357440958033 0.0835476
0.82207733734431 0.0848329
0.822080094954892 0.0861183
0.8223977767211912 0.0874036
0.8228209256498957 0.0886889
0.8228629191547717 0.0899743
0.8230285539657316 0.0912596
0.8234405467769659 0.092545
0.8238628629140555 0.0938303
0.8256612195926731 0.0951157
0.8259420937984783 0.096401
0.8318424891158224 0.0976864
0.8342436303805447 0.0989717
0.8346820979813737 0.100257
0.8347715420237319 0.101542
0.8347858753349079 0.102828
0.8348217754175616 0.104113
0.835420167330406 0.105398
0.8369248272164168 0.106684
0.8371929424427202 0.107969
0.841674097855493 0.109254
0.8418123879348075 0.11054
0.842016870351682 0.111825
0.8436686691822006 0.113111
0.8438987266741539 0.114396
0.8448048252872563 0.115681
0.8454537909103628 0.116967
0.8457042724654146 0.118252
0.8465387427933003 0.119537
0.8469184727913228 0.120823
0.8479513265333757 0.122108
0.8498946521884589 0.123393
0.8509854758597085 0.124679
0.8517622248034401 0.125964
0.8543934502892917 0.127249
0.855068225176798 0.128535
0.857070645338452 0.12982
0.857960396442891 0.131105
0.8594578444228748 0.132391
0.860500932916239 0.133676
0.8610217974784238 0.134961
0.8614186524985035 0.136247
0.8614715819612184 0.137532
0.8627421816056621 0.138817
0.863740213103399 0.140103
0.8645963236744568 0.141388
0.8653015228684127 0.142674
0.8656399722709109 0.143959
0.8662239677040293 0.145244
0.8663205680868614 0.14653
0.8693817254043538 0.147815
0.8694480185527022 0.1491
0.8695603770822666 0.150386
0.8704090512102982 0.151671
0.8707824039324816 0.152956
0.8712057347875566 0.154242
0.871952992783696 0.155527
0.8721879604195562 0.156812
0.8725432307508927 0.158098
0.8740242068153666 0.159383
0.8740529665026052 0.160668
0.874638652811621 0.161954
0.8760654270502695 0.163239
0.8760974661656197 0.164524
0.8765017292692979 0.16581
0.8765125035825657 0.167095
0.8771410860693349 0.16838
0.8773355881562547 0.169666
0.880197621161174 0.170951
0.8809825984720715 0.172237
0.8810352963198655 0.173522
0.8811618505886585 0.174807
0.8827670148649595 0.176093
0.8828446371923486 0.177378
0.8829264204966187 0.178663
0.8831565253254483 0.179949
0.8832414224939307 0.181234
0.8833774076572385 0.182519
0.8834010750588634 0.183805
0.8842474315921071 0.18509
0.8842800988823849 0.186375
0.885187451275449 0.187661
0.8862805772676053 0.188946
0.8866029913600294 0.190231
0.8871283710669904 0.191517
0.8883073202905526 0.192802
0.8885725097874408 0.194087
0.8888634954651793 0.195373
0.8909362388976736 0.196658
0.8914916819099373 0.197943
0.8915833182792372 0.199229
0.8920655366373957 0.200514
0.8926177151552132 0.201799
0.8940564250365085 0.203085
0.8948258327157045 0.20437
0.8954323282600946 0.205656
