# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=4.0, h_i in [-W,W]
# Cumulative distribution function (CDF) of the fitting parameter mu; for 10^3 realizations of the disorder
# mu CDF

0.4454272564006532 0.00138504
0.7368367071614755 0.00277008
0.7830836719165132 0.00415512
0.789418674849122 0.00554017
0.8350536203667537 0.00692521
0.9037037172172774 0.00831025
0.9093359221221708 0.00969529
0.9695873430012071 0.0110803
0.9793352751831804 0.0124654
0.9848590333334684 0.0138504
0.9971292093669331 0.0152355
1.0019878798235915 0.0166205
1.0048657706757713 0.0180055
1.0088097298881598 0.0193906
1.0148155478753837 0.0207756
1.0225922476832678 0.0221607
1.0257795319186613 0.0235457
1.027132545368489 0.0249307
1.0430706880360436 0.0263158
1.049120094490194 0.0277008
1.0504823548143114 0.0290859
1.055907472861774 0.0304709
1.0559437745637184 0.031856
1.06024664953363 0.033241
1.0609626303696744 0.034626
1.0614782362330435 0.0360111
1.0643735384983375 0.0373961
1.07178726228256 0.0387812
1.073173181163213 0.0401662
1.0750348049370269 0.0415512
1.0759399498826148 0.0429363
1.077482828411524 0.0443213
1.0813843541425485 0.0457064
1.0839688141874724 0.0470914
1.0856509468572024 0.0484765
1.0863797611988695 0.0498615
1.089648077744048 0.0512465
1.090168221390089 0.0526316
1.0919793614760263 0.0540166
1.092783927470646 0.0554017
1.0935436850471492 0.0567867
1.0936832685894229 0.0581717
1.0945280266421955 0.0595568
1.095159540734618 0.0609418
1.0953012677423966 0.0623269
1.0981214926363314 0.0637119
1.0981275113086915 0.065097
1.0998915925451116 0.066482
1.1000769670310475 0.067867
1.1003181122886618 0.0692521
1.103284986335627 0.0706371
1.1033737080053099 0.0720222
1.1037395672171058 0.0734072
1.1041845143770916 0.0747922
1.1053207474984441 0.0761773
1.1071663954658773 0.0775623
1.1083979910055468 0.0789474
1.1104963892659743 0.0803324
1.1122535231419743 0.0817175
1.1122967492224705 0.0831025
1.1126649954127554 0.0844875
1.1149159548768595 0.0858726
1.116561738967012 0.0872576
1.119560366153037 0.0886427
1.120090195525281 0.0900277
1.123294969335272 0.0914127
1.1253446207520663 0.0927978
1.126231315828188 0.0941828
1.12708030344819 0.0955679
1.127962368364543 0.0969529
1.1290090557421357 0.098338
1.1294147386102067 0.099723
1.1294549004033174 0.101108
1.1295476560167093 0.102493
1.1299807413760068 0.103878
1.1303913137278798 0.105263
1.130434403066906 0.106648
1.131811015975365 0.108033
1.133432729325663 0.109418
1.1351368431935138 0.110803
1.1351864449461857 0.112188
1.1364590409851696 0.113573
1.136998517202274 0.114958
1.1383249596284557 0.116343
1.1400475431552526 0.117729
1.1403754017089565 0.119114
1.1409617972364086 0.120499
1.1455463543222353 0.121884
1.1483168789838467 0.123269
1.1484394201432984 0.124654
1.149889124504881 0.126039
1.149917348157162 0.127424
1.1513083253653436 0.128809
1.1514128875378569 0.130194
1.1521185293606773 0.131579
1.1523270769417724 0.132964
1.1524035192370425 0.134349
1.1527738853130498 0.135734
1.1532855892761067 0.137119
1.1536181970831707 0.138504
1.153796577202337 0.139889
1.1543776550529068 0.141274
1.1562221292945862 0.142659
1.1571018598943126 0.144044
1.157384363676087 0.145429
1.1579137106860424 0.146814
1.1615803670897145 0.148199
1.1619674250512506 0.149584
1.1623133175404483 0.15097
1.163122222821863 0.152355
1.1637555944607834 0.15374
1.1643161780701412 0.155125
1.1649716118184834 0.15651
1.165320761899028 0.157895
1.1653746300868528 0.15928
1.1656527282684357 0.160665
1.166857362899828 0.16205
1.1669690569927837 0.163435
1.1676466428140693 0.16482
1.1680097933172702 0.166205
1.1682765519786202 0.16759
1.1684907609627915 0.168975
1.169552722881915 0.17036
1.169595718162292 0.171745
1.169823060118601 0.17313
1.1700123501380097 0.174515
1.1714075975965332 0.1759
1.1719111838483411 0.177285
1.1721440165527823 0.17867
1.175908744091938 0.180055
1.1767807497233291 0.18144
1.1771058498761457 0.182825
1.1775613140962238 0.184211
1.1781500582811508 0.185596
1.1783802168442956 0.186981
1.178652962559544 0.188366
1.1798624764525087 0.189751
1.1811433606460007 0.191136
1.1814637788547173 0.192521
1.1826654535640588 0.193906
1.1831055894780653 0.195291
1.1833925567764565 0.196676
1.1837288554924312 0.198061
1.184255333633403 0.199446
1.1856916951668823 0.200831
1.185945916515253 0.202216
1.1870754262303949 0.203601
1.1874111199806443 0.204986
1.1881948232653536 0.206371
1.1886302214259665 0.207756
1.188922331830914 0.209141
1.1894176119284552 0.210526
1.1916195529834985 0.211911
1.1917791105927238 0.213296
1.193395875647069 0.214681
1.1952390297691893 0.216066
1.1955764140876706 0.217452
1.1957257889353514 0.218837
1.1967078373219169 0.220222
1.1974214442260185 0.221607
1.197706794599872 0.222992
1.198160972099857 0.224377
1.1982169297770064 0.225762
1.1987836866518635 0.227147
1.199617395120979 0.228532
1.1998610193274228 0.229917
1.2007938402720764 0.231302
1.2014936051113028 0.232687
1.2021895395256472 0.234072
1.2022682930542608 0.235457
1.2023548440067486 0.236842
1.203091789841312 0.238227
1.2041898378773097 0.239612
1.2062246926657123 0.240997
1.206352071472885 0.242382
1.2072643483383985 0.243767
1.207346095820916 0.245152
1.2078696177848645 0.246537
1.2080742760213259 0.247922
1.2084401676226801 0.249307
1.2085932417306613 0.250693
1.2096900759704963 0.252078
1.2098350494062784 0.253463
1.2100709561545262 0.254848
1.2103485729428998 0.256233
1.2119985155586306 0.257618
1.2120968983663716 0.259003
1.2123286162771931 0.260388
1.2137645795263028 0.261773
1.2158367176177376 0.263158
1.2161571436753638 0.264543
1.2162833591404052 0.265928
