# XXZ spin chain 
# ED for L=20, Delta=0.150
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 613.60869385379169 615.309
5.0000000000000001E-004 5.8444269480378287E-006 1.70001
1.0000000000000000E-003 1.3122176858718525E-005 1.70001
1.5000000000000000E-003 2.9448991012166687E-005 1.70003
2.0000000000000000E-003 5.1295223980599627E-005 1.70005
2.5000000000000001E-003 5.8776124729911059E-005 1.70006
3.0000000000000001E-003 8.5102451418162669E-005 1.70009
3.5000000000000001E-003 1.3589315589764139E-004 1.70014
4.0000000000000001E-003 1.8034524868874629E-004 1.70018
4.5000000000000005E-003 1.9797450175989623E-004 1.7002
5.0000000000000001E-003 2.3275378544398352E-004 1.70023
5.4999999999999997E-003 2.9558637908415065E-004 1.7003
6.0000000000000001E-003 3.7388991369948182E-004 1.70037
6.5000000000000006E-003 4.1857250112108856E-004 1.70042
7.0000000000000001E-003 4.2536994941255404E-004 1.70043
7.4999999999999997E-003 6.0932049491301021E-004 1.70061
8.0000000000000002E-003 6.8050351454728634E-004 1.70068
8.5000000000000006E-003 6.8821827832018644E-004 1.70069
9.0000000000000011E-003 7.6320383971601586E-004 1.70076
9.4999999999999998E-003 8.0696159367631940E-004 1.70081
1.0000000000000000E-002 1.0172172278601185E-003 1.70102
1.0500000000000001E-002 1.2218125499925253E-003 1.70122
1.0999999999999999E-002 3.4152402472046746E-003 1.70342
1.1500000000000000E-002 4.1006112265666323E-003 1.7041
1.2000000000000000E-002 6.8173729833278891E-003 1.70682
1.2500000000000001E-002 1.1842848570406610E-002 1.71184
1.3000000000000001E-002 3.8273473929449721E-002 1.73827
1.3500000000000000E-002 4.7245571622620580E-002 1.74725
1.4000000000000000E-002 3.9047854257274375E-002 1.73905
1.4500000000000001E-002 3.8643930507649693E-002 1.73864
1.4999999999999999E-002 5.7404818608954959E-002 1.7574
1.5500000000000000E-002 8.0203993318055750E-002 1.7802
1.6000000000000000E-002 9.3753510414496199E-002 1.79375
1.6500000000000001E-002 8.2531418993220002E-002 1.78253
1.7000000000000001E-002 7.7818941926552990E-002 1.77782
1.7500000000000002E-002 6.1414776107186347E-002 1.76141
1.8000000000000002E-002 7.1152889529944280E-002 1.77115
1.8499999999999999E-002 8.5394359790209817E-002 1.78539
1.9000000000000000E-002 8.0291430181763421E-002 1.78029
1.9500000000000000E-002 6.6069525685900923E-002 1.76607
2.0000000000000000E-002 7.7411075722754394E-002 1.77741
2.0500000000000001E-002 9.7687438183974726E-002 1.79769
2.1000000000000001E-002 0.11016456188427291 1.81016
2.1500000000000002E-002 9.3723192696353708E-002 1.79372
2.1999999999999999E-002 0.11799577677061712 1.818
2.2499999999999999E-002 0.16321678095615380 1.86322
2.3000000000000000E-002 0.21103895407056719 1.91104
2.3500000000000000E-002 0.20053356091081337 1.90053
2.4000000000000000E-002 0.21135231757008616 1.91135
2.4500000000000001E-002 0.21381425210279406 1.91381
2.5000000000000001E-002 0.21719727272844447 1.9172
2.5500000000000002E-002 0.23561855934482054 1.93562
2.6000000000000002E-002 0.25824690776958953 1.95825
2.6499999999999999E-002 0.24986565006773861 1.94987
2.7000000000000000E-002 0.26096612473252040 1.96097
2.7500000000000000E-002 0.26365763965970868 1.96366
2.8000000000000001E-002 0.23145106334197896 1.93145
2.8500000000000001E-002 0.25810599111130916 1.95811
2.9000000000000001E-002 0.25141312428208762 1.95141
2.9500000000000002E-002 0.25981789944178979 1.95982
2.9999999999999999E-002 0.27458693096332115 1.97459
3.0499999999999999E-002 0.30353075858203465 2.00353
3.1000000000000000E-002 0.36519368291009907 2.06519
3.1500000000000000E-002 0.41547339810983891 2.11547
3.2000000000000001E-002 0.46410830916103873 2.16411
3.2500000000000001E-002 0.44963130421983111 2.14963
3.3000000000000002E-002 0.46180429151043262 2.1618
3.3500000000000002E-002 0.38384648234090019 2.08385
3.4000000000000002E-002 0.45131409470373496 2.15131
3.4500000000000003E-002 0.45669994482627757 2.1567
3.5000000000000003E-002 0.47004103691519078 2.17004
3.5500000000000004E-002 0.48991727717917843 2.18992
3.6000000000000004E-002 0.47492523181831392 2.17493
3.6499999999999998E-002 0.50393510624987659 2.20394
3.6999999999999998E-002 0.49914314658411957 2.19914
3.7499999999999999E-002 0.58240325036184837 2.2824
3.7999999999999999E-002 0.54886718579671434 2.24887
3.8500000000000000E-002 0.60094310256962891 2.30094
3.9000000000000000E-002 0.55674596361515150 2.25675
3.9500000000000000E-002 0.69210248170342870 2.3921
4.0000000000000001E-002 0.73503857136218220 2.43504
4.0500000000000001E-002 0.67645945122020024 2.37646
4.1000000000000002E-002 0.70926685258387978 2.40927
4.1500000000000002E-002 0.72731754764686019 2.42732
4.2000000000000003E-002 0.77326261421917553 2.47326
4.2500000000000003E-002 0.82255215805580240 2.52255
4.3000000000000003E-002 0.72951448973058797 2.42951
4.3500000000000004E-002 0.79316255065096131 2.49316
4.3999999999999997E-002 0.74919879492748953 2.4492
4.4499999999999998E-002 0.86901894287252091 2.56902
4.4999999999999998E-002 0.75091149069291951 2.45091
4.5499999999999999E-002 0.88774298902260684 2.58774
4.5999999999999999E-002 0.93577494266467065 2.63577
4.6500000000000000E-002 0.94981541933625457 2.64982
4.7000000000000000E-002 0.96764127991157023 2.66764
4.7500000000000001E-002 0.99965985525136269 2.69966
4.8000000000000001E-002 0.88077467393178466 2.58077
4.8500000000000001E-002 0.94543569570952157 2.64544
4.9000000000000002E-002 1.0223304756332958 2.72233
4.9500000000000002E-002 0.91453933699388112 2.61454
5.0000000000000003E-002 1.0606060023680350 2.76061
5.0500000000000003E-002 1.0810247709675982 2.78102
5.1000000000000004E-002 0.93466928594999865 2.63467
5.1500000000000004E-002 0.98693372726011597 2.68693
5.2000000000000005E-002 0.93363998788595381 2.63364
5.2499999999999998E-002 0.97857014603452108 2.67857
5.2999999999999999E-002 0.94038905926375693 2.64039
5.3499999999999999E-002 0.98286937332338253 2.68287
5.3999999999999999E-002 0.91157104303496084 2.61157
5.4500000000000000E-002 0.86408083363578536 2.56408
5.5000000000000000E-002 0.86498232449096402 2.56498
5.5500000000000001E-002 0.84407907048390540 2.54408
5.6000000000000001E-002 0.93013062643914890 2.63013
5.6500000000000002E-002 0.77707387847774856 2.47707
5.7000000000000002E-002 0.80781991370048645 2.50782
5.7500000000000002E-002 0.70684728509919381 2.40685
5.8000000000000003E-002 0.70433851123324642 2.40434
5.8500000000000003E-002 0.69866185450435581 2.39866
5.9000000000000004E-002 0.62225178448206031 2.32225
5.9500000000000004E-002 0.79373709193142672 2.49374
5.9999999999999998E-002 0.61371597081329421 2.31372
6.0499999999999998E-002 0.69716152123250885 2.39716
6.0999999999999999E-002 0.56570634566388978 2.26571
6.1499999999999999E-002 0.65632056510216963 2.35632
6.2000000000000000E-002 0.54928296558578515 2.24928
6.2500000000000000E-002 0.51975158475274130 2.21975
6.3000000000000000E-002 0.65376910298896229 2.35377
6.3500000000000001E-002 0.53449441194285563 2.23449
6.4000000000000001E-002 0.54889207685442154 2.24889
6.4500000000000002E-002 0.50996978482890876 2.20997
6.5000000000000002E-002 0.44609275048684460 2.14609
6.5500000000000003E-002 0.44218855875067825 2.14219
6.6000000000000003E-002 0.47536188581778954 2.17536
6.6500000000000004E-002 0.48518242639626463 2.18518
6.7000000000000004E-002 0.45490037837488945 2.1549
6.7500000000000004E-002 0.41406862498718250 2.11407
6.8000000000000005E-002 0.34483498056845879 2.04483
6.8500000000000005E-002 0.42839023256098802 2.12839
6.9000000000000006E-002 0.37743310559517240 2.07743
6.9500000000000006E-002 0.45725243923493469 2.15725
7.0000000000000007E-002 0.35185325308796261 2.05185
7.0500000000000007E-002 0.39386975770937871 2.09387
7.1000000000000008E-002 0.41509245276872192 2.11509
7.1500000000000008E-002 0.39688337546877578 2.09688
7.2000000000000008E-002 0.33320083166305486 2.0332
7.2499999999999995E-002 0.28565792740307006 1.98566
7.2999999999999995E-002 0.34768561235783924 2.04769
7.3499999999999996E-002 0.33515711687073491 2.03516
7.3999999999999996E-002 0.37718939485859576 2.07719
7.4499999999999997E-002 0.34399783302161346 2.044
7.4999999999999997E-002 0.35730460912445100 2.0573
7.5499999999999998E-002 0.30566568736742017 2.00567
7.5999999999999998E-002 0.31474521338950667 2.01475
7.6499999999999999E-002 0.34318570084183758 2.04319
7.6999999999999999E-002 0.27658083544612988 1.97658
7.7499999999999999E-002 0.30296566527308072 2.00297
7.8000000000000000E-002 0.29222866177886525 1.99223
7.8500000000000000E-002 0.34891359400076538 2.04891
7.9000000000000001E-002 0.30809380729499425 2.00809
7.9500000000000001E-002 0.27940434436970252 1.9794
8.0000000000000002E-002 0.25005399051693306 1.95005
8.0500000000000002E-002 0.24309128406246447 1.94309
8.1000000000000003E-002 0.27914616857428892 1.97915
8.1500000000000003E-002 0.26984480501953256 1.96984
8.2000000000000003E-002 0.30193868323210205 2.00194
8.2500000000000004E-002 0.29578627853700096 1.99579
8.3000000000000004E-002 0.25913910755053432 1.95914
8.3500000000000005E-002 0.30930512233317659 2.00931
8.4000000000000005E-002 0.27956495314244112 1.97956
8.4500000000000006E-002 0.22366691376735001 1.92367
8.5000000000000006E-002 0.19348364873977206 1.89348
8.5500000000000007E-002 0.23821458591292935 1.93821
8.6000000000000007E-002 0.27289393780992660 1.97289
8.6500000000000007E-002 0.23594428619454896 1.93594
8.7000000000000008E-002 0.25075818638648506 1.95076
8.7500000000000008E-002 0.23780298130201730 1.9378
8.7999999999999995E-002 0.26833591207025098 1.96834
8.8499999999999995E-002 0.21305485803654922 1.91305
8.8999999999999996E-002 0.23740177767663248 1.9374
8.9499999999999996E-002 0.26709530409769788 1.9671
8.9999999999999997E-002 0.21546561177048337 1.91547
9.0499999999999997E-002 0.19803249414918650 1.89803
9.0999999999999998E-002 0.19972425436259902 1.89972
9.1499999999999998E-002 0.22289461184233800 1.92289
9.1999999999999998E-002 0.23172446150958270 1.93172
9.2499999999999999E-002 0.26552854068783210 1.96553
9.2999999999999999E-002 0.21013166424823940 1.91013
9.3500000000000000E-002 0.20788440917388587 1.90788
9.4000000000000000E-002 0.26035379835012007 1.96035
9.4500000000000001E-002 0.24397135108488424 1.94397
9.5000000000000001E-002 0.19335537496675506 1.89336
9.5500000000000002E-002 0.19941924652920423 1.89942
9.6000000000000002E-002 0.19854167625506991 1.89854
9.6500000000000002E-002 0.20914315620572374 1.90914
9.7000000000000003E-002 0.23247383987075493 1.93247
9.7500000000000003E-002 0.18155926893876387 1.88156
9.8000000000000004E-002 0.20513308765781044 1.90513
9.8500000000000004E-002 0.16881573230372413 1.86882
9.9000000000000005E-002 0.20806157798901179 1.90806
9.9500000000000005E-002 0.22291409507904367 1.92291
0.10000000000000001 0.20785500302169432 1.90786
0.10050000000000001 0.20124116543511583 1.90124
0.10100000000000001 0.19503241306218183 1.89503
0.10150000000000001 0.18244497773525498 1.88244
0.10200000000000001 0.17096804914143029 1.87097
0.10250000000000001 0.19548650783324978 1.89549
0.10300000000000001 0.17742480103640593 1.87742
0.10350000000000001 0.17987317635974084 1.87987
0.10400000000000001 0.20820670178079231 1.90821
0.10450000000000000 0.17502865041312260 1.87503
0.10500000000000000 0.20719742043779324 1.9072
0.10550000000000000 0.21461335707911827 1.91461
0.10600000000000000 0.15371646059369717 1.85372
0.10650000000000000 0.21709480575200274 1.91709
0.10700000000000000 0.17026748475795947 1.87027
0.10750000000000000 0.17577152986973993 1.87577
0.10800000000000000 0.16104747334232677 1.86105
0.10850000000000000 0.16744910295206508 1.86745
0.10900000000000000 0.18199212016882241 1.88199
0.10950000000000000 0.16824455504924676 1.86824
0.11000000000000000 0.16646015013030221 1.86646
0.11050000000000000 0.17366645690002147 1.87367
0.11100000000000000 0.17961829722866030 1.87962
0.11150000000000000 0.14832191556334140 1.84832
0.11200000000000000 0.15073151896906606 1.85073
0.11250000000000000 0.15000940638000843 1.85001
0.11300000000000000 0.18310065931811639 1.8831
0.11350000000000000 0.15258100104463262 1.85258
0.11400000000000000 0.15892986360718259 1.85893
0.11450000000000000 0.15982647993577956 1.85983
0.11500000000000000 0.14946804598122732 1.84947
0.11550000000000001 0.13598188925599916 1.83598
0.11600000000000001 0.15647468028799730 1.85647
0.11650000000000001 0.13658473780585995 1.83658
0.11700000000000001 0.12235527637606908 1.82236
0.11750000000000001 0.13434315487036003 1.83434
0.11800000000000001 0.15121390054919334 1.85121
0.11850000000000001 0.12925514046187334 1.82926
0.11900000000000001 0.12021711777690458 1.82022
0.11950000000000001 0.14370763671478484 1.84371
0.12000000000000000 0.11864745428108443 1.81865
0.12050000000000000 0.12297456279926362 1.82297
0.12100000000000000 0.10527969039315968 1.80528
0.12150000000000000 0.13033088413866800 1.83033
0.12200000000000000 0.12473779585337537 1.82474
0.12250000000000000 0.10887009996932023 1.80887
0.12300000000000000 0.10572901891132092 1.80573
0.12350000000000000 9.0925983089972642E-002 1.79093
0.12400000000000000 0.11067137444243744 1.81067
0.12450000000000000 0.13701868258515781 1.83702
0.12500000000000000 0.12947760766451233 1.82948
0.12550000000000000 9.0200908984027786E-002 1.7902
0.12600000000000000 9.5296611114526072E-002 1.7953
0.12650000000000000 9.8239707839406762E-002 1.79824
0.12700000000000000 0.11743544365013953 1.81744
0.12750000000000000 9.5304141597650632E-002 1.7953
0.12800000000000000 8.4109576342755857E-002 1.78411
0.12850000000000000 8.9146995662495010E-002 1.78915
0.12900000000000000 9.2129275163925189E-002 1.79213
0.12950000000000000 6.6616045833084656E-002 1.76662
0.13000000000000000 0.12328036917157538 1.82328
0.13050000000000000 8.0039647427114766E-002 1.78004
0.13100000000000001 9.8229228263833457E-002 1.79823
0.13150000000000001 8.9241996071354177E-002 1.78924
0.13200000000000001 8.6793252585474240E-002 1.78679
0.13250000000000001 8.1891742792964503E-002 1.78189
0.13300000000000001 7.4949947439205258E-002 1.77495
0.13350000000000001 8.9841278030054678E-002 1.78984
0.13400000000000001 8.6786202942402857E-002 1.78679
0.13450000000000001 8.3792547150170496E-002 1.78379
0.13500000000000001 9.3500230615889302E-002 1.7935
0.13550000000000001 7.8736219469859217E-002 1.77874
0.13600000000000001 8.7922009531851267E-002 1.78792
0.13650000000000001 7.1534521583490510E-002 1.77153
0.13700000000000001 7.9444213059298593E-002 1.77944
0.13750000000000001 8.7987967572024900E-002 1.78799
0.13800000000000001 9.0803737426359735E-002 1.7908
0.13850000000000001 7.7309307462660584E-002 1.77731
0.13900000000000001 8.4446062586937182E-002 1.78445
0.13950000000000001 8.7591229914415383E-002 1.78759
0.14000000000000001 8.7112209426366619E-002 1.78711
0.14050000000000001 7.5139390454252830E-002 1.77514
0.14100000000000001 8.3683403073078547E-002 1.78368
0.14150000000000001 9.1762218672424914E-002 1.79176
0.14200000000000002 9.0287189881408825E-002 1.79029
0.14250000000000002 8.7697600349560895E-002 1.7877
0.14300000000000002 8.2837146326597055E-002 1.78284
0.14350000000000002 8.6863994351319737E-002 1.78686
0.14400000000000002 6.7255207733509043E-002 1.76726
0.14449999999999999 7.4748349037468492E-002 1.77475
0.14499999999999999 6.2494356388385630E-002 1.76249
0.14549999999999999 6.7171191003858988E-002 1.76717
0.14599999999999999 7.4624786060370485E-002 1.77462
0.14649999999999999 6.7084035619821916E-002 1.76708
0.14699999999999999 6.3716615973018725E-002 1.76372
0.14749999999999999 7.1201948319961683E-002 1.7712
0.14799999999999999 7.2123277895326326E-002 1.77212
0.14849999999999999 6.9582574666049252E-002 1.76958
0.14899999999999999 6.6684658414070383E-002 1.76668
0.14949999999999999 6.1913135415286487E-002 1.76191
0.14999999999999999 6.6611737327898046E-002 1.76661
0.15049999999999999 5.9128794442339302E-002 1.75913
0.15100000000000000 7.3872276979001394E-002 1.77387
0.15150000000000000 6.2385764578408442E-002 1.76239
0.15200000000000000 6.3735459733602479E-002 1.76374
