# XXZ spin chain 
# ED for L=20, Delta=0.875
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 204.15292673176845 204.403
5.0000000000000001E-004 7.7900255896420708E-007 0.250001
1.0000000000000000E-003 2.2991593734316097E-006 0.250002
1.5000000000000000E-003 5.1387033462438334E-006 0.250005
2.0000000000000000E-003 7.5086107703254642E-006 0.250008
2.5000000000000001E-003 1.1476588394969336E-005 0.250011
3.0000000000000001E-003 1.7377654708096669E-005 0.250017
3.5000000000000001E-003 2.1390034877917378E-005 0.250021
4.0000000000000001E-003 2.7132625080164493E-005 0.250027
4.5000000000000005E-003 3.5799353746472951E-005 0.250036
5.0000000000000001E-003 3.9229594769178481E-005 0.250039
5.4999999999999997E-003 4.6247467908274511E-005 0.250046
6.0000000000000001E-003 5.7023812904004865E-005 0.250057
6.5000000000000006E-003 6.7838490102206049E-005 0.250068
7.0000000000000001E-003 7.8910708198662584E-005 0.250079
7.4999999999999997E-003 8.3668386980018518E-005 0.250084
8.0000000000000002E-003 1.0520377380981674E-004 0.250105
8.5000000000000006E-003 1.0972742416561130E-004 0.25011
9.0000000000000011E-003 2.7818868408062338E-004 0.250278
9.4999999999999998E-003 1.4064532367868369E-004 0.250141
1.0000000000000000E-002 3.9018258036742901E-004 0.25039
1.0500000000000001E-002 2.3354497931044711E-004 0.250234
1.0999999999999999E-002 2.5927452187760909E-004 0.250259
1.1500000000000000E-002 2.7629000738050669E-004 0.250276
1.2000000000000000E-002 2.9580592897174285E-004 0.250296
1.2500000000000001E-002 3.7000142306581601E-004 0.25037
1.3000000000000001E-002 2.6736858340262035E-004 0.250267
1.3500000000000000E-002 2.9295626717281792E-004 0.250293
1.4000000000000000E-002 2.7221509380384536E-004 0.250272
1.4500000000000001E-002 3.1080277883203917E-004 0.250311
1.4999999999999999E-002 3.4197724242918175E-004 0.250342
1.5500000000000000E-002 2.6149335611153233E-003 0.252615
1.6000000000000000E-002 3.0108471738982774E-003 0.253011
1.6500000000000001E-002 7.9726362745959449E-003 0.257973
1.7000000000000001E-002 1.4641152964405026E-002 0.264641
1.7500000000000002E-002 8.6665587324788063E-003 0.258667
1.8000000000000002E-002 1.8660912194928193E-002 0.268661
1.8499999999999999E-002 2.2215182786575804E-002 0.272215
1.9000000000000000E-002 1.4373680509981352E-002 0.264374
1.9500000000000000E-002 3.7467019690136563E-002 0.287467
2.0000000000000000E-002 2.1541243401199589E-002 0.271541
2.0500000000000001E-002 1.7948868546128271E-002 0.267949
2.1000000000000001E-002 2.1889914945003353E-002 0.27189
2.1500000000000002E-002 2.1342473709345909E-002 0.271342
2.1999999999999999E-002 3.0994166794057008E-002 0.280994
2.2499999999999999E-002 1.1458946593647136E-002 0.261459
2.3000000000000000E-002 2.1467480575115657E-002 0.271467
2.3500000000000000E-002 6.1268734624187766E-003 0.256127
2.4000000000000000E-002 6.7901583125355913E-003 0.25679
2.4500000000000001E-002 7.2970115483018440E-004 0.25073
2.5000000000000001E-002 9.4899115975263654E-003 0.25949
2.5500000000000002E-002 6.7918544194635142E-003 0.256792
2.6000000000000002E-002 1.1657711129192975E-002 0.261658
2.6499999999999999E-002 1.0970823513917756E-003 0.251097
2.7000000000000000E-002 1.0294794525296345E-003 0.251029
2.7500000000000000E-002 1.0488895015447533E-003 0.251049
2.8000000000000001E-002 1.1182742112479265E-003 0.251118
2.8500000000000001E-002 1.0351257816827233E-003 0.251035
2.9000000000000001E-002 1.2556330994045154E-003 0.251256
2.9500000000000002E-002 1.2929549120536587E-003 0.251293
2.9999999999999999E-002 1.1918864762695022E-003 0.251192
3.0499999999999999E-002 1.2276954448893532E-003 0.251228
3.1000000000000000E-002 1.3941220802138499E-003 0.251394
3.1500000000000000E-002 1.4060223174450128E-003 0.251406
3.2000000000000001E-002 2.5836182465565532E-003 0.252584
3.2500000000000001E-002 1.4927806139116971E-003 0.251493
3.3000000000000002E-002 1.3962358478290342E-003 0.251396
3.3500000000000002E-002 1.5429355394081972E-003 0.251543
3.4000000000000002E-002 1.5491649533293168E-003 0.251549
3.4500000000000003E-002 1.6722224207994117E-003 0.251672
3.5000000000000003E-002 1.7168873741789416E-003 0.251717
3.5500000000000004E-002 1.6351278252620352E-003 0.251635
3.6000000000000004E-002 1.8322304946398501E-003 0.251832
3.6499999999999998E-002 1.9372764713366099E-003 0.251937
3.6999999999999998E-002 2.1255611369359680E-003 0.252126
3.7499999999999999E-002 1.8564942926806607E-003 0.251856
3.7999999999999999E-002 2.1276639613127149E-003 0.252128
3.8500000000000000E-002 2.2596664667760267E-003 0.25226
3.9000000000000000E-002 3.7237527700561997E-003 0.253724
3.9500000000000000E-002 2.3254179721166174E-003 0.252325
4.0000000000000001E-002 2.2312417647410744E-003 0.252231
4.0500000000000001E-002 2.4691347386466369E-003 0.252469
4.1000000000000002E-002 2.4404089635814185E-003 0.25244
4.1500000000000002E-002 2.6108811293948414E-003 0.252611
4.2000000000000003E-002 2.6504424351341716E-003 0.25265
4.2500000000000003E-002 5.9521300406950462E-003 0.255952
4.3000000000000003E-002 5.8324802532809493E-003 0.255832
4.3500000000000004E-002 2.5647916274985920E-003 0.252565
4.3999999999999997E-002 4.5056207210749698E-003 0.254506
4.4499999999999998E-002 6.3208933478868037E-003 0.256321
4.4999999999999998E-002 6.4892463414139541E-003 0.256489
4.5499999999999999E-002 8.3290929134424464E-003 0.258329
4.5999999999999999E-002 6.4779434735629769E-003 0.256478
4.6500000000000000E-002 7.2360832860024760E-003 0.257236
4.7000000000000000E-002 5.8637371093891400E-003 0.255864
4.7500000000000001E-002 1.2070925261781553E-002 0.262071
4.8000000000000001E-002 1.0130668629953501E-002 0.260131
4.8500000000000001E-002 1.4323612032760231E-002 0.264324
4.9000000000000002E-002 1.1469791451084890E-002 0.26147
4.9500000000000002E-002 1.3040231891059949E-002 0.26304
5.0000000000000003E-002 1.8049136094190534E-002 0.268049
5.0500000000000003E-002 1.1505782908642317E-002 0.261506
5.1000000000000004E-002 2.8990728129512186E-002 0.278991
5.1500000000000004E-002 1.8667134992939375E-002 0.268667
5.2000000000000005E-002 2.2820761480698792E-002 0.272821
5.2499999999999998E-002 1.6303852340174341E-002 0.266304
5.2999999999999999E-002 1.2726960084930334E-002 0.262727
5.3499999999999999E-002 2.9503608001730328E-002 0.279504
5.3999999999999999E-002 2.4858902814285027E-002 0.274859
5.4500000000000000E-002 3.8816487182359125E-002 0.288816
5.5000000000000000E-002 1.8029940142913956E-002 0.26803
5.5500000000000001E-002 1.8505361479847306E-002 0.268505
5.6000000000000001E-002 3.5282840421149431E-002 0.285283
5.6500000000000002E-002 2.8105173956331081E-002 0.278105
5.7000000000000002E-002 4.0775171333630809E-002 0.290775
5.7500000000000002E-002 3.9064542756624514E-002 0.289065
5.8000000000000003E-002 2.3721288747615147E-002 0.273721
5.8500000000000003E-002 4.4644306725897184E-002 0.294644
5.9000000000000004E-002 3.1534473276562905E-002 0.281534
5.9500000000000004E-002 4.8633334908185950E-002 0.298633
5.9999999999999998E-002 3.7779002182783808E-002 0.287779
6.0499999999999998E-002 4.8348961827200755E-002 0.298349
6.0999999999999999E-002 4.8685379585340235E-002 0.298685
6.1499999999999999E-002 3.7723700524584139E-002 0.287724
6.2000000000000000E-002 4.6021089763387237E-002 0.296021
6.2500000000000000E-002 4.0488836135834587E-002 0.290489
6.3000000000000000E-002 4.8634685430482945E-002 0.298635
6.3500000000000001E-002 6.0349238952181278E-002 0.310349
6.4000000000000001E-002 3.5672788284488145E-002 0.285673
6.4500000000000002E-002 4.5837209823665806E-002 0.295837
6.5000000000000002E-002 5.0501648924817739E-002 0.300502
6.5500000000000003E-002 6.1965284671647115E-002 0.311965
6.6000000000000003E-002 6.7762143089792615E-002 0.317762
6.6500000000000004E-002 5.0488163698920681E-002 0.300488
